mode,index,day1,day120,change,pct_change,trend
normal_synced,CCI4500,652.0,642.0,-10.0,-1.5337423312883436,down
normal_synced,CCI5000,751.0,747.0,-4.0,-0.5326231691078562,down
normal_synced,CCI5500,837.0,834.0,-3.0,-0.35842293906810035,down
normal_synced,CCI3800out,600.8469847069249,588.9045609040668,-11.942423802858116,-1.9875981916898977,down
normal_synced,CCI4700out,734.9112086424553,724.436580821146,-10.474627821309355,-1.4252916132083935,down
normal_synced,CCI5500out,914.2659237343132,892.5564003985153,-21.70952333579794,-2.3745305137399777,down
seasonal_smoothed_synced,CCI4500,652.0,659.0,7.0,1.0736196319018405,up
seasonal_smoothed_synced,CCI5000,754.0,787.0,33.0,4.376657824933687,up
seasonal_smoothed_synced,CCI5500,846.0,879.0,33.0,3.900709219858156,up
seasonal_smoothed_synced,CCI3800out,601.172556588495,607.6305133233208,6.457956734825757,1.074226802945407,up
seasonal_smoothed_synced,CCI4700out,734.6505781311017,745.891500599833,11.240922468731242,1.5301046243409133,up
seasonal_smoothed_synced,CCI5500out,930.6133263470432,969.0605321363188,38.447205789275586,4.131383540379036,up
