iter	RMSE
0	151.4221848
1	137.6077858
2	126.2658504
3	115.3061571
4	105.3714048
5	96.44630836
6	88.30339797
7	81.44409223
8	74.70066411
9	68.37070831
10	63.17229471
11	58.08899007
12	53.42674437
13	49.46563557
14	45.67796354
15	42.50976872
16	39.45572314
17	36.71967643
18	34.01560692
19	31.66483676
20	29.75434035
21	27.82756416
22	26.04335626
23	24.58017857
24	23.21954723
25	21.91738858
26	20.79666526
27	19.68245682
28	18.72069213
29	17.8709834
30	17.18253025
31	16.60632378
32	15.97018546
33	15.43698771
34	14.9080628
35	14.39322141
36	13.95980904
37	13.51058807
38	13.11863203
39	12.90102481
40	12.56795096
41	12.30208288
42	12.12134661
43	11.86593647
44	11.67044541
45	11.41341839
46	11.26737035
47	11.04460245
48	10.86286841
49	10.70577114
50	10.57491176
51	10.41295799
52	10.25688365
53	10.13337168
54	10.04177138
55	9.916683174
56	9.830009419
57	9.710270381
58	9.590349728
59	9.497491131
60	9.445183466
61	9.335024973
62	9.229034873
63	9.141410684
64	9.077740688
65	8.985121226
66	8.848852824
67	8.761114418
68	8.707452642
69	8.633615424
70	8.539258195
71	8.43687778
72	8.395568629
73	8.299479739
74	8.223256817
75	8.183866553
76	8.143112953
77	8.062822342
78	7.949452587
79	7.902424246
80	7.808965641
81	7.753741874
82	7.674869726
83	7.583172927
84	7.512355908
85	7.439742068
86	7.378748964
87	7.314950197
88	7.236289007
89	7.173979945
90	7.131939511
91	7.084254133
92	7.036742846
93	6.98266891
94	6.950314612
95	6.88022522
96	6.850810343
97	6.80454328
98	6.758002762
99	6.68437191
100	6.634141082
101	6.604905122
102	6.57749705
103	6.503886214
104	6.449052586
105	6.411629452
106	6.389557592
107	6.311777927
108	6.26831451
109	6.246928482
110	6.186247986
111	6.124914612
112	6.066163893
113	6.050689882
114	6.006234933
115	5.936056392
116	5.900834096
117	5.856627039
118	5.811077234
119	5.790480256
120	5.776697024
121	5.737363183
122	5.680436817
123	5.669562079
124	5.621702937
125	5.583264118
126	5.552031448
127	5.542014303
128	5.499219628
129	5.477458592
130	5.447412345
131	5.387969606
132	5.364198661
133	5.349926928
134	5.326098804
135	5.273979637
136	5.263701317
137	5.233762641
138	5.199544957
139	5.159427319
140	5.13557903
141	5.118513854
142	5.090055236
143	5.048052409
144	5.023618466
145	4.977628417
146	4.969586564
147	4.947004653
148	4.907532587
149	4.879926444
150	4.861685243
151	4.832365943
152	4.810848146
153	4.804575685
154	4.791964824
155	4.760704123
156	4.743431377
157	4.730802558
158	4.724342301
159	4.717873518
160	4.688850159
161	4.665651595
162	4.660374176
163	4.628809897
164	4.609672857
165	4.597180946
166	4.582743259
167	4.56876325
168	4.549809261
169	4.54200572
170	4.520619512
171	4.516495708
172	4.497362711
173	4.474076862
174	4.447897682
175	4.437429524
176	4.410235113
177	4.391675234
178	4.382283846
179	4.373561965
180	4.35503911
181	4.34051519
182	4.313640625
183	4.301199466
184	4.289313195
185	4.285516327
186	4.264344124
187	4.251327004
188	4.248937347
189	4.237219089
190	4.212125579
191	4.195850847
192	4.181547231
193	4.176805036
194	4.16971266
195	4.151446696
196	4.135413245
197	4.128892356
198	4.12448926
199	4.122034205
