_ID,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE,起拍时间,起拍价,煤种,热值,交货地,可拍量,最早交货,最晚交货,拍卖结果,出价类型
1,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-22,741.00,精煤,5000,曹妃甸,60480.00,2024-03-23,2024-03-27,成交,竞价销售
2,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-17,772.00,精煤,5000,曹妃甸,50400.00,2024-03-18,2024-03-26,流标,竞价销售
3,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-16,772.00,精煤,5000,曹妃甸,50400.00,2024-03-17,2024-03-23,成交,竞价销售
4,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-15,770.00,精煤,5000,曹妃甸,40320.00,2024-03-16,2024-03-20,成交,竞价销售
5,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-13,800.00,精煤,5000,曹妃甸,40320.00,2024-03-14,2024-03-18,流标,竞价销售
6,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-03-07,816.00,精煤,5000,曹妃甸,40320.00,2024-03-08,2024-03-14,流标,竞价销售
7,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-02-26,846.00,精煤,5000,曹妃甸,60000.00,2024-02-27,2024-03-11,流标,竞价销售
8,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-02-25,846.00,精煤,5000,曹妃甸,60000.00,2024-02-26,2024-03-06,成交,竞价销售
9,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-02-24,840.00,精煤,5000,曹妃甸,60000.00,2024-02-25,2024-03-04,成交,竞价销售
10,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-02-23,855.00,精煤,5000,曹妃甸,60000.00,2024-02-24,2024-03-04,流标,竞价销售
11,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-02-22,850.00,精煤,5000,曹妃甸,60000.00,2024-02-23,2024-03-02,成交,竞价销售
12,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-30,795.00,精煤,5000,曹妃甸,60000.00,2024-01-31,2024-02-09,成交,竞价销售
13,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-29,800.00,精煤,5000,曹妃甸,50400.00,2024-01-30,2024-02-04,流标,竞价销售
14,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-29,808.00,精煤,5000,曹妃甸,50000.00,2024-01-30,2024-02-04,流标,竞价销售
15,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-28,808.00,精煤,5000,曹妃甸,50000.00,2024-01-29,2024-02-09,成交,竞价销售
16,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-25,808.00,精煤,5000,曹妃甸,50000.00,2024-01-26,2024-02-04,流标,竞价销售
17,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-24,808.00,精煤,5000,曹妃甸,33600.00,2024-01-25,2024-01-30,成交,竞价销售
18,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-23,807.00,精煤,5000,曹妃甸,33600.00,2024-01-24,2024-01-30,成交,竞价销售
19,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-19,804.00,精煤,5000,曹妃甸,58000.00,2024-01-20,2024-01-30,成交,竞价销售
20,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2024-01-09,821.00,精煤,5000,曹妃甸,42000.00,2024-01-10,2024-01-14,成交,竞价销售
21,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-28,815.00,精煤,5000,曹妃甸,58800.00,2023-12-29,2023-12-30,成交,竞价销售
22,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-28,825.00,精煤,5000,曹妃甸,50000.00,2023-12-29,2023-12-30,流标,竞价销售
23,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-27,825.00,精煤,5000,曹妃甸,50000.00,2023-12-28,2023-12-30,成交,竞价销售
24,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-26,830.00,精煤,5000,曹妃甸,42000.00,2023-12-27,2023-12-30,流标,竞价销售
25,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-26,836.00,精煤,5000,曹妃甸,42000.00,2023-12-27,2023-12-30,流标,竞价销售
26,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-25,836.00,精煤,5000,曹妃甸,16800.00,2023-12-26,2023-12-30,成交,竞价销售
27,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-25,836.00,精煤,5000,曹妃甸,42000.00,2023-12-26,2023-12-30,流标,竞价销售
28,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-24,835.00,精煤,5000,曹妃甸,50400.00,2023-12-25,2023-12-30,成交,竞价销售
29,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-23,840.00,精煤,5000,曹妃甸,50400.00,2023-12-24,2023-12-30,流标,竞价销售
30,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-22,840.00,精煤,5000,曹妃甸,50400.00,2023-12-23,2023-12-30,成交,竞价销售
31,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-21,855.00,精煤,5000,曹妃甸,50400.00,2023-12-22,2023-12-30,流标,竞价销售
32,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-21,855.00,精煤,5000,曹妃甸,50400.00,2023-12-22,2023-12-30,成交,竞价销售
33,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-20,858.00,精煤,5000,曹妃甸,50400.00,2023-12-21,2023-12-30,流标,竞价销售
34,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-18,875.00,精煤,5000,曹妃甸,50400.00,2023-12-19,2023-12-24,流标,竞价销售
35,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-12-13,870.00,精煤,5000,曹妃甸,33600.00,2023-12-14,2023-12-19,成交,竞价销售
36,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-11-13,845.00,精煤,5000,曹妃甸,26000.00,2023-11-14,2023-11-19,成交,竞价销售
37,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-10-08,940.00,精煤,5000,曹妃甸,30240.00,2023-10-09,2023-10-22,成交,竞价销售
38,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-20,906.00,精煤,5000,曹妃甸,60480.00,2023-09-21,2023-09-27,成交,竞价销售
39,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-12,782.00,精煤,5000,曹妃甸,60480.00,2023-09-13,2023-10-29,成交,竞价销售
40,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-07,810.00,精煤,5000,曹妃甸,60480.00,2023-09-08,2023-10-29,流标,竞价销售
41,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-06,782.00,精煤,5000,曹妃甸,60480.00,2023-09-07,2023-10-24,成交,竞价销售
42,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-05,766.00,精煤,5000,曹妃甸,60480.00,2023-09-06,2023-10-19,成交,竞价销售
43,1,0,2024-07-02 13:52:20.654000,0,2024-07-02 13:52:20.654000,,,,2023-09-04,750.00,精煤,5000,曹妃甸,60480.00,2023-09-05,2023-10-14,成交,竞价销售
