时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,宁夏区,115.20,-3.80,349.80,2.00,36,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,青海省,94.80,9.10,276.00,9.90,37,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,甘肃省,148.00,5.60,438.50,8.30,38,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,陕西省,207.50,3.90,650.40,7.40,39,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,西藏区,12.90,7.50,38.40,16.80,40,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,云南省,216.90,16.10,628.90,6.80,41,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,贵州省,159.40,8.00,491.90,11.00,42,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,四川省,305.80,14.10,901.80,7.90,43,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,重庆市,116.40,5.40,351.80,6.00,44,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,海南省,39.70,6.70,113.60,14.60,45,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,广西区,204.00,3.80,598.00,9.20,46,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,广东省,719.50,9.80,1831.00,12.70,47,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,湖南省,189.20,5.40,587.50,8.90,48,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,湖北省,220.60,3.90,673.70,9.40,49,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,河南省,331.50,6.10,1052.00,8.30,50,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,山东省,675.40,3.50,2004.40,5.70,51,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,江西省,170.40,6.50,496.10,8.90,52,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,福建省,260.60,7.20,708.10,11.70,53,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,安徽省,274.50,10.20,843.20,15.20,54,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,浙江省,540.40,6.70,1446.80,12.20,55,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
