时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-02,主焦煤,上海港,8.00,21.00,0.30,80.00,,2160.00,0.00,场地价,1,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,连云港,8.00,21.00,0.30,80.00,,2145.00,0.00,平仓价,2,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,青岛港,9.50,19.00,0.60,82.50,,2085.00,0.00,场地价,3,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,1/3焦煤,防城港,10.00,36.00,0.90,85.00,,1810.00,0.00,场地价,4,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,喷吹煤,日照港,12.00,9.00,0.60,,,1150.00,0.00,场地价,5,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,日照港,9.50,24.00,0.30,80.00,,1900.00,0.00,车板价,6,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,营口港,10.00,21.50,0.25,75.00,,2090.00,0.00,车板价,7,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,澳洲优混,广州港,,,,,5500.00,875.00,-15.00,场地价,8,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,动力煤,宁波港,22.00,25.00,0.70,,5500.00,900.00,0.00,到港价,9,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,动力煤,防城港,10.00,23.00,0.95,,5500.00,910.00,0.00,船板价,10,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,1/3焦煤,天津港,10.00,36.00,0.60,85.00,,1840.00,0.00,场地价,11,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,天津港,7.00,25.00,0.80,95.00,,2045.00,0.00,场地价,12,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,1/3焦煤,京唐港,11.00,30.00,0.70,82.00,,1700.00,0.00,场地价,13,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-02,主焦煤,京唐港,9.00,26.00,0.40,87.00,,2080.00,0.00,场地价,14,2024-07-02 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,主焦煤,上海港,8.00,21.00,0.30,80.00,,2160.00,0.00,场地价,15,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,主焦煤,连云港,8.00,21.00,0.30,80.00,,2145.00,0.00,平仓价,16,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,主焦煤,青岛港,9.50,19.00,0.60,82.50,,2085.00,0.00,场地价,17,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,1/3焦煤,防城港,10.00,36.00,0.90,85.00,,1810.00,0.00,场地价,18,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,喷吹煤,日照港,12.00,9.00,0.60,,,1150.00,0.00,场地价,19,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,主焦煤,日照港,9.50,24.00,0.30,80.00,,1900.00,0.00,车板价,20,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,主焦煤,营口港,10.00,21.50,0.25,75.00,,2090.00,0.00,车板价,21,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,澳洲优混,广州港,,,,,5500.00,890.00,0.00,场地价,22,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,动力煤,宁波港,22.00,25.00,0.70,,5500.00,900.00,0.00,到港价,23,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,动力煤,防城港,10.00,23.00,0.95,,5500.00,910.00,0.00,船板价,24,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
2024-07-01,1/3焦煤,天津港,10.00,36.00,0.60,85.00,,1840.00,0.00,场地价,25,2024-07-01 00:00:00,1,0,2024-07-02 22:07:47,0,2024-07-02 22:07:47,,,
