时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,第三产业用电量,1413.00,9.90,6918.00,12.70,1,2024-05-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2024-04,第三产业用电量,1270.00,10.80,5505.00,13.50,2,2024-04-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2024-03,第三产业用电量,1365.00,11.60,4235.00,14.30,3,2024-03-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2024-02,第三产业用电量,,,2869.00,15.70,4,2024-02-29 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-12,第三产业用电量,1573.80,22.10,16694.00,12.20,5,2023-12-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-11,第三产业用电量,1321.00,20.90,15120.00,11.30,6,2023-11-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-10,第三产业用电量,1262.00,14.40,13800.00,10.40,7,2023-10-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-09,第三产业用电量,1467.00,16.90,12546.00,10.10,8,2023-09-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-08,第三产业用电量,1711.00,6.60,11079.00,9.30,9,2023-08-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-07,第三产业用电量,1735.00,9.60,9368.00,9.80,10,2023-07-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-06,第三产业用电量,1494.00,10.10,7631.00,9.90,11,2023-06-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-05,第三产业用电量,1284.80,20.90,6136.30,9.80,12,2023-05-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-04,第三产业用电量,1155.00,17.90,4852.00,7.00,13,2023-04-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-03,第三产业用电量,1212.00,14.00,3696.00,4.10,14,2023-03-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2023-02,第三产业用电量,,,2485.00,-0.20,15,2023-02-28 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-12,第三产业用电量,0.00,0.00,14859.00,4.40,16,2022-12-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-11,第三产业用电量,1097.00,3.50,13576.00,4.10,17,2022-11-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-10,第三产业用电量,1102.00,-2.00,12479.00,4.20,18,2022-10-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-09,第三产业用电量,1234.00,-4.60,11379.00,4.90,19,2022-09-30 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-08,第三产业用电量,1612.00,15.00,10143.00,6.10,20,2022-08-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
2022-07,第三产业用电量,1591.00,11.50,8531.00,4.60,21,2022-07-31 00:00:00,1,0,2024-07-02 19:26:47,0,2024-07-02 19:26:47,,,
