时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,第一产业用电量,110.00,10.30,495.00,9.70,1,2024-05-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2024-04,第一产业用电量,96.00,10.50,384.00,10.10,2,2024-04-30 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2024-03,第一产业用电量,96.00,7.00,288.00,9.70,3,2024-03-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2024-02,第一产业用电量,,,192.00,11.10,4,2024-02-29 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-12,第一产业用电量,104.60,12.30,1278.00,11.50,5,2023-12-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-11,第一产业用电量,96.00,12.20,1173.00,11.50,6,2023-11-30 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-10,第一产业用电量,101.00,12.20,1076.00,11.40,7,2023-10-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-09,第一产业用电量,117.00,8.60,976.00,11.30,8,2023-09-30 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-08,第一产业用电量,142.00,8.60,859.00,11.70,9,2023-08-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-07,第一产业用电量,139.00,14.00,716.00,12.30,10,2023-07-31 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
2023-06,第一产业用电量,122.00,14.00,578.00,12.10,11,2023-06-30 00:00:00,1,0,2024-07-02 19:24:36,0,2024-07-02 19:24:36,,,
