日期,星期,是否节假日,假日名称,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-01-01,星期一,1,元旦,7306,2024-01-01 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-02,星期二,0,,7307,2024-01-02 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-03,星期三,0,,7308,2024-01-03 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-04,星期四,0,,7309,2024-01-04 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-05,星期五,0,,7310,2024-01-05 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-06,星期六,0,,7311,2024-01-06 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-07,星期天,0,,7312,2024-01-07 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-08,星期一,0,,7313,2024-01-08 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-09,星期二,0,,7314,2024-01-09 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-10,星期三,0,,7315,2024-01-10 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-11,星期四,0,,7316,2024-01-11 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-12,星期五,0,,7317,2024-01-12 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-13,星期六,0,,7318,2024-01-13 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-14,星期天,0,,7319,2024-01-14 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-15,星期一,0,,7320,2024-01-15 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-16,星期二,0,,7321,2024-01-16 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-17,星期三,0,,7322,2024-01-17 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-18,星期四,0,,7323,2024-01-18 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-19,星期五,0,,7324,2024-01-19 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-20,星期六,0,,7325,2024-01-20 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-21,星期天,0,,7326,2024-01-21 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-22,星期一,0,,7327,2024-01-22 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-23,星期二,0,,7328,2024-01-23 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-24,星期三,0,,7329,2024-01-24 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
2024-01-25,星期四,0,,7330,2024-01-25 00:00:00,1,0,2024-07-02 14:13:52,0,2024-07-02 14:13:52,,,
