时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,进口数量(万吨),4381.60,20496.90,12.60,1,2024-05-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-05,进口金额(千美元),4222500.00,20831700.00,-10.50,2,2024-05-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-04,进口数量(万吨),4525.20,16115.40,13.10,3,2024-04-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-04,进口金额(千美元),4573800.00,16613400.00,-11.00,4,2024-04-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-03,进口数量(万吨),4137.90,11589.70,13.90,5,2024-03-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-03,进口金额(千美元),4099300.00,12037400.00,-11.80,6,2024-03-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-02,进口数量(万吨),3375.00,7452.00,22.90,7,2024-02-29 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-02,进口金额(千美元),3525192.00,7930300.00,-5.10,8,2024-02-29 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-01,进口数量(万吨),4077.00,4077.00,29.50,9,2024-01-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2024-01,进口金额(千美元),4405107.00,4405107.00,-0.50,10,2024-01-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-12,进口数量(万吨),4729.70,47441.60,61.80,11,2023-12-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-12,进口金额(千美元),5156900.00,52966400.00,24.10,12,2023-12-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-11,进口数量(万吨),4350.60,42713.90,62.80,13,2023-11-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-11,进口金额(千美元),4545300.00,47797200.00,24.20,14,2023-11-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-10,进口数量(万吨),3599.20,38364.00,66.80,15,2023-10-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-10,进口金额(千美元),3553800.00,43238700.00,26.70,16,2023-10-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-09,进口数量(万吨),4214.00,34765.20,73.10,17,2023-09-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-09,进口金额(千美元),3993284.00,39668842.00,30.50,18,2023-09-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-08,进口数量(万吨),4433.30,30551.30,82.00,19,2023-08-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-08,进口金额(千美元),4080400.00,35658700.00,35.00,20,2023-08-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-07,进口数量(万吨),3926.00,26118.40,88.60,21,2023-07-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-07,进口金额(千美元),3867000.00,31563100.00,41.40,22,2023-07-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-06,进口数量(万吨),3987.10,22193.00,93.00,23,2023-06-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-06,进口金额(千美元),4489700.00,27672400.00,49.20,24,2023-06-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-05,进口数量(万吨),3958.40,18205.90,89.60,25,2023-05-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-05,进口金额(千美元),4612000.00,23167800.00,49.50,26,2023-05-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-04,进口数量(万吨),4067.60,14247.60,88.80,27,2023-04-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-04,进口金额(千美元),4991800.00,18551700.00,53.90,28,2023-04-30 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-03,进口数量(万吨),4117.00,10180.00,96.00,29,2023-03-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-03,进口金额(千美元),5268600.00,13555300.00,63.00,30,2023-03-31 00:00:00,1,0,2024-07-02 18:03:16,0,2024-07-02 18:03:16,,,
2023-02,进口数量(万吨),2917.00,6064.00,71.00,31,2023-02-28 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2023-02,进口金额(千美元),3904518.00,8283806.00,39.00,32,2023-02-28 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2023-01,进口数量(万吨),3148.00,3148.00,29.70,33,2023-01-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2023-01,进口金额(千美元),4379289.00,4379289.00,5.00,34,2023-01-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-12,进口数量(万吨),3090.80,29320.40,-9.20,35,2022-12-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-12,进口金额(千美元),4180000.00,42615500.00,17.80,36,2022-12-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-11,进口数量(万吨),3231.30,26241.10,-10.10,37,2022-11-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-11,进口金额(千美元),4341000.00,38435700.00,24.90,38,2022-11-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-10,进口数量(万吨),2918.20,23009.80,-10.50,39,2022-10-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-10,进口金额(千美元),3708900.00,34065800.00,37.30,40,2022-10-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-09,进口数量(万吨),3304.80,20092.40,-12.70,41,2022-09-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-09,进口金额(千美元),3970700.00,30343200.00,43.30,42,2022-09-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-08,进口数量(万吨),2945.60,16797.80,-14.90,43,2022-08-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-08,进口金额(千美元),4110900.00,26331100.00,53.10,44,2022-08-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-07,进口数量(万吨),2352.30,13852.20,-18.20,45,2022-07-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-07,进口金额(千美元),3783600.00,22208900.00,57.90,46,2022-07-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-06,进口数量(万吨),1898.20,11500.10,-17.50,47,2022-06-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-06,进口金额(千美元),3042500.00,18378500.00,65.40,48,2022-06-30 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-05,进口数量(万吨),2054.90,9595.50,-13.60,49,2022-05-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
2022-05,进口金额(千美元),3399500.00,15312500.00,77.50,50,2022-05-31 00:00:00,1,0,2024-07-02 18:03:22,0,2024-07-02 18:03:22,,,
