时间,耗煤量,环比,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2017-01-01,,,1,2017-01-01 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-02,,,2,2017-01-02 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-03,,,3,2017-01-03 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-04,,,4,2017-01-04 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-05,43.127174523636300,,5,2017-01-05 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-06,43.127174523636300,,6,2017-01-06 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-07,,,7,2017-01-07 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-08,,,8,2017-01-08 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-09,43.071908760000000,,9,2017-01-09 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-10,42.899306260000000,,10,2017-01-10 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-11,42.899306260000000,,11,2017-01-11 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-12,42.943028260000000,,12,2017-01-12 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-13,42.943028260000000,,13,2017-01-13 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-14,,,14,2017-01-14 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
2017-01-15,,,15,2017-01-15 00:00:00,1,0,2024-07-08 14:14:32,0,2024-07-08 14:14:32,,,
