时间,地区,当月值(万千瓦时),同比增长(%),累计值(万千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,西藏区,5775.00,2.90,21911.00,-0.80,39,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,云南省,158430.00,92.20,654550.00,149.40,40,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,贵州省,138051.00,8.30,446492.00,24.20,41,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,四川省,54415.00,36.70,240909.00,85.20,42,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,重庆市,4785.00,4.70,15170.00,25.50,43,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,海南省,30625.00,76.30,100196.00,48.30,44,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,广西区,64698.00,73.20,198097.00,53.40,45,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,广东省,82832.00,33.00,319445.00,21.00,46,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,湖南省,26573.00,-6.40,103481.00,6.70,47,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,湖北省,132447.00,10.30,460083.00,30.60,48,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,河南省,59325.00,1.50,186395.00,-16.00,49,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,山东省,184098.00,30.90,554550.00,14.80,50,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,江西省,53984.00,-9.50,212141.00,2.50,51,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,福建省,5069.00,-7.40,21815.00,21.40,52,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,安徽省,103826.00,-1.70,339583.00,-1.40,53,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,浙江省,127102.00,-24.20,437239.00,-17.60,54,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,江苏省,101560.00,-0.90,327363.00,-1.80,55,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,上海市,6790.00,5.90,21535.00,29.00,56,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,黑龙江省,49329.00,-3.60,193002.00,-11.00,57,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,吉林省,34534.00,5.60,138492.00,,58,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,辽宁省,45545.00,-0.20,182700.00,4.80,59,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,内蒙古区,217873.00,33.20,790938.00,29.60,60,2024-04-30 00:00:00,1,0,2024-07-02 18:58:24,0,2024-07-02 18:58:24,,,
2024-04,山西省,167316.00,22.40,591353.00,10.00,61,2024-04-30 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-04,河北省,236468.00,13.40,807614.00,3.60,62,2024-04-30 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-04,天津市,37362.00,189.80,117948.00,157.40,63,2024-04-30 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-04,北京市,1513.00,-4.70,5438.00,-3.80,64,2024-04-30 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,全国,3111000.00,15.80,7832000.00,17.50,65,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,新疆区,255023.00,42.20,629337.00,50.60,66,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,宁夏区,242320.00,20.90,595393.00,23.80,67,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,青海省,236936.00,9.80,651845.00,22.10,68,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,甘肃省,174164.00,6.30,480835.00,16.70,69,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,陕西省,107254.00,-6.90,267072.00,-5.40,70,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,西藏区,5899.00,10.40,16136.00,-2.00,71,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,云南省,174941.00,146.80,469106.00,163.70,72,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,贵州省,117985.00,31.10,290627.00,24.80,73,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,四川省,62447.00,88.70,175441.00,94.20,74,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,重庆市,5179.00,40.80,10385.00,38.10,75,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
