horizon,level,name,n,direction_n,old_slope_direction_accuracy,new_slope_direction_accuracy,old_mean_correlation,new_mean_correlation
5,overall,all,1230,1099,59.87261146496815,41.31028207461328,0.1953972788810831,-0.11687635510957027
5,market,domestic,615,490,58.57142857142858,33.6734693877551,0.18185001312988475,-0.26392015422753384
5,market,import,615,609,60.91954022988506,47.454844006568145,0.207040843889466,0.010465497067751113
5,data_type,CCI3800outinfer,205,202,59.4059405940594,43.56435643564357,0.21798317215666912,-0.05483276573320693
5,data_type,CCI4500infer,205,165,60.60606060606061,32.72727272727273,0.19543866520221978,-0.2653339767059181
5,data_type,CCI4700outinfer,205,204,68.13725490196079,45.588235294117645,0.3036967327294904,0.017615854090218187
5,data_type,CCI5000infer,205,162,56.79012345679012,33.95061728395062,0.15762415904558075,-0.26523809210558763
5,data_type,CCI5500infer,205,163,58.282208588957054,34.355828220858896,0.19326145607572648,-0.2611969232896196
5,data_type,CCI5500outinfer,205,203,55.172413793103445,53.20197044334976,0.0996027584154171,0.06765781851256952
20,overall,all,960,960,54.37499999999999,41.25,0.10310650556631304,-0.12976811605167934
20,market,domestic,480,480,57.70833333333333,45.0,0.1502288441015431,-0.0864270925631898
20,market,import,480,480,51.041666666666664,37.5,0.055984167031082985,-0.173109139540169
20,data_type,CCI3800outinfer,160,160,66.875,36.875,0.2675629416646995,-0.20576252055230704
20,data_type,CCI4500infer,160,160,59.375,46.875,0.12688622616199613,-0.050074656090954295
20,data_type,CCI4700outinfer,160,160,40.625,36.875,-0.057678951792825964,-0.20563956295105443
20,data_type,CCI5000infer,160,160,56.25,43.75,0.11517823221945052,-0.09652981515948873
20,data_type,CCI5500infer,160,160,57.49999999999999,44.375,0.20862207392318255,-0.11267680643912645
20,data_type,CCI5500outinfer,160,160,45.625,38.75,-0.041931488778624605,-0.10792533511714542
