infer_date,data_type,market,horizon,actual_slope,old_slope,new_slope,old_correlation,new_correlation
2025-10-21,CCI3800outinfer,import,5,0.35599999999999454,2.1852444999999934,-0.3949634341365254,0.6767013238950895,-0.5206216184231175
2025-10-21,CCI4500infer,domestic,5,1.0,-6.02382100000001,-2.7,-0.919321910296436,-0.7317917228850433
2025-10-21,CCI4700outinfer,import,5,0.6399999999999864,1.1109449999999583,-0.02280803840037606,0.7242613569892407,0.3250547737694974
2025-10-21,CCI5000infer,domestic,5,2.1,-1.9964080000000082,-3.8,-0.7157687295236882,-0.8668224820974668
2025-10-21,CCI5500infer,domestic,5,3.2,-3.9845494999999573,-2.7,-0.9783855526882416,-0.9315691512105446
2025-10-21,CCI5500outinfer,import,5,2.06400000000001,-9.605903000000046,-0.5052221708133289,-0.9718656144983114,-0.5967190780908037
2025-10-22,CCI3800outinfer,import,5,-0.3200000000000102,0.7127145000000326,0.3308514902407126,-0.7947677416629261,-0.7809674551829694
2025-10-22,CCI4500infer,domestic,5,0.0,-8.80183500000005,-2.0,,
2025-10-22,CCI4700outinfer,import,5,-0.4149999999999977,2.1288260000000263,0.4785906217993897,-0.19435150168087842,-0.7349094762718448
2025-10-22,CCI5000infer,domestic,5,0.6,-2.8823729999999728,-3.3,-0.7062982847673787,-0.6847367880174609
2025-10-22,CCI5500infer,domestic,5,1.4,-4.116659499999957,-2.0,-0.9637545408227138,-0.8488746876271654
2025-10-22,CCI5500outinfer,import,5,0.27500000000001135,-7.112982499999998,0.5602928280722722,-0.49436414704898507,0.7299257036483128
2025-10-23,CCI3800outinfer,import,5,-0.3840000000000089,-1.8511870000000101,0.15047809894604142,0.9265725182612737,-0.8495220530493607
2025-10-23,CCI4500infer,domestic,5,0.0,-6.961035500000003,-1.7,,
2025-10-23,CCI4700outinfer,import,5,-0.49799999999999045,1.3154440000000023,0.2745943528719977,-0.5245202724755533,-0.8398683317074378
2025-10-23,CCI5000infer,domestic,5,0.0,-2.044167999999968,-2.8,,
2025-10-23,CCI5500infer,domestic,5,0.4,-3.6037935000000174,-1.7,-0.8110510241440624,-0.5640760748177661
2025-10-23,CCI5500outinfer,import,5,-0.332000000000005,-3.7530940000000554,0.7842158011209903,0.698817684849939,-0.289447517783749
2025-10-24,CCI3800outinfer,import,5,-0.19200000000000728,-3.028923499999962,0.18985473866962935,0.6919777347956537,-0.7992269826288843
2025-10-24,CCI4500infer,domestic,5,0.0,0.03989549999998872,-1.0,,
2025-10-24,CCI4700outinfer,import,5,-0.24900000000000092,-0.6056360000000381,0.42981287387221984,-0.16907002566759302,-0.7931859153494584
2025-10-24,CCI5000infer,domestic,5,0.0,-2.0144124999999917,-2.3,,
2025-10-24,CCI5500infer,domestic,5,0.0,-3.079667999999981,-1.5,,
2025-10-24,CCI5500outinfer,import,5,-0.35400000000000775,-0.1352779999999484,1.4827981835361357,-0.7302814987919564,-0.7787788214867568
2025-10-25,CCI3800outinfer,import,5,0.06399999999999864,-5.207388000000009,0.6745719473282179,0.15817170068278727,-0.004319274979910164
2025-10-25,CCI4500infer,domestic,5,0.0,1.587703499999975,0.5,,
2025-10-25,CCI4700outinfer,import,5,0.08299999999999272,-1.9113265000000184,1.1808087291992138,-0.3658304844786272,0.019385213382247406
2025-10-25,CCI5000infer,domestic,5,0.0,2.1633039999999824,-1.0,,
2025-10-25,CCI5500infer,domestic,5,0.0,2.620534500000042,0.0,,
2025-10-25,CCI5500outinfer,import,5,0.10600000000000591,-0.1885629999999651,2.910087398876942,-0.5381156914287174,0.0757353065744514
2025-10-26,CCI3800outinfer,import,5,0.06399999999999864,-5.207388000000009,0.6745719473282179,0.15817170068278727,-0.004319274979910164
2025-10-26,CCI4500infer,domestic,5,0.0,1.587703499999975,0.5,,
2025-10-26,CCI4700outinfer,import,5,0.08299999999999272,-1.9113265000000184,1.1808087291992138,-0.3658304844786272,0.019385213382247406
2025-10-26,CCI5000infer,domestic,5,0.0,2.1633039999999824,-1.0,,
2025-10-26,CCI5500infer,domestic,5,0.0,2.620534500000042,0.0,,
2025-10-26,CCI5500outinfer,import,5,0.10600000000000591,-0.1885629999999651,2.910087398876942,-0.5381156914287174,0.0757353065744514
2025-10-27,CCI3800outinfer,import,5,0.06399999999999864,-5.207388000000009,0.6745719473282179,0.15817170068278727,-0.004319274979910164
2025-10-27,CCI4500infer,domestic,5,0.0,1.587703499999975,0.5,,
2025-10-27,CCI4700outinfer,import,5,0.08299999999999272,-1.9113265000000184,1.1808087291992138,-0.3658304844786272,0.019385213382247406
2025-10-27,CCI5000infer,domestic,5,0.0,2.1633039999999824,-1.0,,
2025-10-27,CCI5500infer,domestic,5,0.0,2.620534500000042,0.0,,
2025-10-27,CCI5500outinfer,import,5,0.10600000000000591,-0.1885629999999651,2.910087398876942,-0.5381156914287174,0.0757353065744514
2025-10-28,CCI3800outinfer,import,5,0.9659999999999969,-1.7830649999999821,1.0356276336094878,-0.3119967837846069,0.5818105380985604
2025-10-28,CCI4500infer,domestic,5,1.0,-0.4551299999999969,1.5,-0.5044531506365982,0.4385290096535146
2025-10-28,CCI4700outinfer,import,5,1.222999999999979,-2.0329515000000016,1.956814394333378,-0.9598714517945066,0.6281629089780969
2025-10-28,CCI5000infer,domestic,5,1.0,3.4461995000000227,0.5,0.29801815523675795,0.0
2025-10-28,CCI5500infer,domestic,5,1.2,-5.929713499999934,1.5,-0.19546769851291643,0.2802242691589025
2025-10-28,CCI5500outinfer,import,5,2.144000000000017,-0.7088990000000195,4.310655707568435,0.21071715753583503,0.6201798339370816
2025-10-29,CCI3800outinfer,import,5,2.9029999999999974,2.282184500000011,0.8241271652418731,0.40603248834168193,0.6657325810052336
2025-10-29,CCI4500infer,domestic,5,3.1,-0.5803120000000377,1.5,-0.5025388081662187,0.6211329522091678
2025-10-29,CCI4700outinfer,import,5,3.240999999999997,-2.3970294999999737,1.728213451579188,-0.9655936856070506,0.7405617405596677
2025-10-29,CCI5000infer,domestic,5,3.1,6.459008000000028,0.5,0.4199052287133461,0.17958213163358983
