data_type,scope,n,old_mae,new_mae,mae_improvement_pct,old_rmse,new_rmse,old_mape,new_mape,mape_improvement_pct,old_bias,new_bias,new_better_pct,ties_pct,direction_n,old_direction_accuracy,new_direction_accuracy
CCI3800outinfer,all,10941,44.51960162693434,44.56498494967423,-0.10194009173801243,57.92755642240119,58.05770160602412,8.343533409166676,8.132071404719197,2.5344418734532086,-23.321907164475846,-26.29089871865494,57.06059775157664,0.0,10834,55.27044489569872,54.458187188480714
CCI3800outinfer,h1,213,5.336739581946446,3.233806810954133,39.40482271434574,7.410132560844572,4.237046276230568,1.045420268269719,0.6228859136303422,40.417654742691745,-2.4511806959316047,1.0098340733757933,63.84976525821596,0.0,159,48.42767295597484,70.44025157232704
CCI3800outinfer,h1_20,4145,24.110570726940004,23.829156144048824,1.167183415433386,31.66851417644719,31.642929664364583,4.711626741735771,4.575066377989844,2.8983697400362876,-7.079061883912233,-6.766906033215158,55.31966224366707,0.0,4038,59.46012877662209,51.659237246161474
CCI4500infer,all,10941,50.02359022027237,43.097248880358286,13.846150005257199,67.7275967851576,53.76751876736595,8.892646596009223,7.2578636945380985,18.383536147773725,20.346560740791517,-12.125856868659172,53.15784663193492,1.380129787039576,10406,67.50912934845282,51.44147607149721
CCI4500infer,h1,213,4.022339812206568,2.0422535211267605,49.22722553352784,5.8918126950680305,2.734752866245252,0.6878782587496038,0.3427139009830484,50.17811703977688,-1.0061218544600878,0.812206572769953,56.8075117370892,15.96244131455399,137,70.8029197080292,92.7007299270073
CCI4500infer,h1_20,4145,34.1505208636912,26.17273823884198,23.3606469918624,47.99104242684749,35.31851962794149,5.997731024885791,4.517753007666225,24.675631686029938,11.242388266586248,0.015440289505428226,57.708082026538,2.9674306393244874,3709,59.42302507414398,49.71690482609868
CCI4700outinfer,all,10941,54.8040090778859,46.40284283532578,15.32947385403981,69.62434437245231,59.010287328076316,8.269474538512405,6.821205332262183,17.51343691192682,-24.322390818513473,-24.848162900841842,55.16863175212503,0.0,10814,52.83891252080636,53.865359718882935
CCI4700outinfer,h1,213,5.087396216448419,3.3599797412822463,33.95482485875861,7.496670746390378,4.4576974209433375,0.7853151098477164,0.5080895138778543,35.30119215758118,-2.0591545893558876,1.3170422546143057,55.86854460093896,0.0,160,46.875,68.125
CCI4700outinfer,h1_20,4145,26.803553989722417,26.11812768199613,2.5572217325699014,36.74664289037061,33.94681554772219,4.097705655438495,3.9842749681374148,2.7681511762694484,-7.861450690864465,-5.062376264283715,45.83835946924005,0.0,4022,61.26305320735952,51.31775236200895
CCI5000infer,all,10941,47.309134024769214,44.5424549858331,5.848086412842784,65.68924095991855,56.23617318814382,7.169118012668934,6.4290403642732326,10.323133851163702,18.9308631893794,-14.83182524449319,44.931907503884474,1.9011059318161045,10425,71.18465227817747,51.15587529976019
CCI5000infer,h1,213,4.003309929577466,2.276995305164319,43.1221827632854,6.174050250982103,2.9921650427729563,0.5910226121745195,0.32906396081876715,44.32294906483209,-1.9751409154929593,1.0469483568075117,52.58215962441315,18.779342723004692,139,79.13669064748201,92.08633093525181
CCI5000infer,h1_20,4145,31.97916411942099,27.53437876960193,13.89900415539547,45.13836528468933,37.12794687406284,4.798529485915398,4.058714797635011,15.417529275414163,12.652567972255731,-3.8668275030156813,49.819059107358264,3.2086851628468036,3703,67.43181204428842,49.63543073183905
CCI5500infer,all,10941,45.79178858970843,48.166072571062976,-5.184955762763453,61.28788538209314,60.277058126656705,6.072645871708354,6.18470984382195,-1.8453895465185395,14.002434492733753,-11.023215428205832,42.71090393931085,1.7365871492550957,10364,74.78772674642995,51.64994210729448
CCI5500infer,h1,213,3.393682863849766,2.4131455399061035,28.89301573781556,5.243685972072088,3.1354403064789733,0.44044225733226494,0.30733795228352784,30.220602776614292,-1.4374541079812309,1.3990610328638498,43.66197183098591,18.779342723004692,133,81.95488721804512,91.72932330827066
CCI5500infer,h1_20,4145,28.483397814234017,28.694330518697225,-0.7405461449469275,39.16108639151138,38.38104301877016,3.7322101331239024,3.7420454493550146,-0.2635252539459659,6.311864179734619,-0.22147165259348614,44.82509047044632,3.618817852834741,3690,70.84010840108401,50.271002710027105
CCI5500outinfer,all,10941,85.01914058620685,66.85890152122947,21.360177178647717,101.73274362234523,83.92153990091816,10.441876809597701,8.011973960443731,23.27074809885243,-27.560797655547944,-21.318482185317606,66.62096700484416,0.0,10862,47.339348186337695,58.51592708525134
CCI5500outinfer,h1,213,8.99233216812821,4.8709326948039955,45.83237580937916,12.863875169555605,6.126722151954365,1.1195575206487827,0.5976976315205735,46.61304841450145,-3.9639017859503887,2.5614251912299295,66.66666666666666,0.0,179,46.927374301675975,75.97765363128491
CCI5500outinfer,h1_20,4145,52.098093971700315,39.91268853120462,23.389349804456963,67.16459913108787,52.19114397968305,6.464215584982054,4.947792350790425,23.45873546845575,-14.356095696608298,2.893377421389252,63.83594692400483,0.0,4066,44.26955238563699,64.19085095917364
