date,漳平_厂级_上网电量,漳平_厂级_供热厂用电量,漳平_厂级_供热用厂用电率,漳平_厂级_供热耗煤量,漳平_厂级_供热量,漳平_厂级_供电煤耗,漳平_厂级_利用小时,漳平_厂级_发电厂用电率,漳平_厂级_发电标煤量,漳平_厂级_发电用厂用电量,漳平_厂级_发电耗煤量,漳平_厂级_日电网调度发电量,漳平_厂级_综合供电煤耗,漳平_厂级_综合厂用电率,漳平_厂级_综合厂用电量,漳平_厂级_耗煤量,漳平_厂级_负荷率,漳平_漳平#6_上网电量,漳平_漳平#6_利用小时,漳平_漳平#6_发电厂用电率,漳平_漳平#6_发电标煤量,漳平_漳平#6_发电用厂用电量,漳平_漳平#6_综合供电煤耗,漳平_漳平#6_综合厂用电率,漳平_漳平#6_综合厂用电量,漳平_漳平#6_负荷率,漳平_漳平#6_运行小时,漳平_漳平#6_发电量
20220101.0,486.05,5.43,7.055072,583.0,7696.59,326.337209,8.817833,5.095734,1638.57176,26.96,2893.0,529.0,337.12,8.131249,43.02,3476.0,73.481944,486.05,17.635667,5.095375,1638.57176,26.9581,337.12,8.131249,43.02,73.481944,24.0,529.07
20220102.0,456.14,4.79,7.052965,501.0,6791.47,325.111549,8.418333,5.088101,1558.584766,25.7,2687.0,505.1,341.69,6.036428,30.49,3188.0,70.152778,456.14,16.836667,5.088398,1558.584766,25.7015,341.69,9.69313,48.96,70.152778,24.0,505.1
20220103.0,537.21,4.17,6.72,475.0,6204.39,333.366132,9.93,4.97,1887.31902,29.63,4373.0,595.78,351.318669,9.83,58.57,3500.0,82.75,496.22,18.34,4.773673,1707.49302,26.27,344.1,9.829005,54.09,76.43,24.0,550.31
20220104.0,968.59,4.92,6.550323,545.0,7511.08,329.713998,17.431167,5.995009,3241.64911,62.7,5879.0,1045.0,334.677119,7.389064,77.28,6424.0,72.629861,486.02,17.493333,4.696246,1629.479254,24.6459,335.27,7.389482,38.78,72.888889,24.0,524.8
20220105.0,757.13,4.88,6.534652,508.0,7467.88,335.576343,13.753333,5.272661,2623.166712,43.51,4728.0,825.0,346.461864,8.250121,68.08,5236.0,73.704895,505.74,18.374,4.640488,1705.001262,25.5793,337.13,8.250789,45.48,76.558333,24.0,551.22
20220106.0,867.03,5.54,6.757622,636.0,8198.15,326.239563,15.468333,5.652408,2856.684111,52.46,5516.0,928.1,329.47927,6.58011,61.07,6152.0,64.451389,467.82,16.692333,4.81199,1551.946068,24.097,331.74,6.579867,32.95,69.551389,24.0,500.77
20220107.0,884.43,5.32,6.498472,601.0,8186.54,326.390217,15.726667,5.363501,2914.632,50.61,5037.0,943.6,329.549201,6.270666,59.17,5638.0,65.527778,480.38,17.084,4.584992,1589.865648,23.499,330.96,6.270975,32.14,71.183333,24.0,512.52
20220108.0,907.79,4.91,6.64999,573.0,7383.47,327.701391,16.161667,5.542951,3001.580895,53.75,5511.0,960.0,330.647054,6.384449,61.91,6084.0,67.340278,487.95,17.374,4.687464,1623.50724,24.432,332.72,6.383101,33.27,72.391667,24.0,521.22
20220109.0,1043.59,5.19,6.800092,557.0,7632.25,327.504943,18.606333,5.686236,3448.299543,63.48,5443.0,1100.0,330.426656,6.520181,72.79,6000.0,77.526389,531.08,18.937333,4.725657,1765.57546,26.8474,332.45,6.519749,37.04,78.905556,24.0,568.12
20220110.0,1043.7,5.96,6.838878,632.0,8714.88,335.279279,18.608,6.15685,3512.855115,68.74,5664.0,1116.0,336.577093,6.653052,74.28,6296.0,77.533333,527.45,18.807667,4.752672,1776.293365,26.816,336.77,6.518618,36.78,78.365278,24.0,564.23
