date,可门_厂级_上网电量,可门_厂级_供热厂用电量,可门_厂级_供热用厂用电率,可门_厂级_供热耗煤量,可门_厂级_供热量,可门_厂级_供电煤耗,可门_厂级_利用小时,可门_厂级_发电厂用电率,可门_厂级_发电标煤量,可门_厂级_发电用厂用电量,可门_厂级_发电耗煤量,可门_厂级_开机率,可门_厂级_综合供电煤耗,可门_厂级_综合厂用电率,可门_厂级_综合厂用电量,可门_厂级_耗煤量,可门_厂级_负荷率,可门_可门#6_上网电量,可门_可门#6_利用小时,可门_可门#6_发电厂用电率,可门_可门#6_发电标煤量,可门_可门#6_发电用厂用电量,可门_可门#6_开机率,可门_可门#6_综合供电煤耗,可门_可门#6_综合厂用电率,可门_可门#6_综合厂用电量,可门_可门#6_负荷率,可门_可门#6_运行小时,可门_可门#6_发电量
20250113.0,4827.75,7.09,5.651204,742.0,12546.0,306.584251,11.569145,4.169594,14955.712,212.25,17897.0,77.272727,309.786381,5.160152,262.6736,18639.0,62.382642,896.25,9.214236,3.529321,3170.39475,32.52,100.0,353.74,2.732033,25.1736,38.39265,24.0,921.4236
20250113.0,4827.75,7.09,5.651204,742.0,12546.0,306.584251,11.569145,4.169594,14955.712,212.25,17897.0,77.272727,309.786381,5.160152,262.6736,18639.0,62.382642,896.25,9.214236,3.529321,3170.39475,32.52,100.0,353.74,2.732033,25.1736,38.39265,24.0,921.4236
20250114.0,5510.1,7.15,5.804985,763.0,12317.0,293.322517,13.215091,4.58006,16274.48953,266.313975,23956.0,79.640152,295.357426,5.23747,304.54,24719.0,69.139596,1650.67,16.940502,2.425548,4632.770422,41.09,100.0,280.66,2.560739,43.3802,70.585425,24.0,1694.0502
20250114.0,5510.1,7.15,5.804985,763.0,12317.0,293.322517,13.215091,4.58006,16274.48953,266.313975,23956.0,79.640152,295.357426,5.23747,304.54,24719.0,69.139596,1650.67,16.940502,2.425548,4632.770422,41.09,100.0,280.66,2.560739,43.3802,70.585425,24.0,1694.0502
20250115.0,5347.85,6.61,5.681623,724.0,11634.0,297.077104,12.718834,3.955677,15967.64413,221.371021,23735.0,87.102273,298.580628,4.439315,248.4368,24459.0,60.842431,1507.36,15.525432,2.602182,4584.786176,40.4,100.0,304.16,2.91027,45.1832,64.6893,24.0,1552.5432
20250115.0,5347.85,6.61,5.681623,724.0,11634.0,297.077104,12.718834,3.955677,15967.64413,221.371021,23735.0,87.102273,298.580628,4.439315,248.4368,24459.0,60.842431,1507.36,15.525432,2.602182,4584.786176,40.4,100.0,304.16,2.91027,45.1832,64.6893,24.0,1552.5432
20250119.0,6046.0,5.32,5.803425,566.0,9167.0,289.358419,14.321805,3.697196,17560.03995,232.982318,24308.0,72.727273,290.440621,4.056027,255.5944,24874.0,82.05201,2327.66,23.983938,3.098324,6781.870176,74.31,100.0,291.36,2.949215,70.7338,99.933075,24.0,2398.3938
20250119.0,6046.0,5.32,5.803425,566.0,9167.0,289.358419,14.321805,3.697196,17560.03995,232.982318,24308.0,72.727273,290.440621,4.056027,255.5944,24874.0,82.05201,2327.66,23.983938,3.098324,6781.870176,74.31,100.0,291.36,2.949215,70.7338,99.933075,24.0,2398.3938
20250120.0,5265.1,4.44,5.833662,477.0,7611.0,289.344598,12.512965,3.706701,15339.96494,204.08,21430.0,71.931818,291.351825,4.3701,240.6048,21907.0,72.481632,2313.49,23.882688,3.009711,6622.596474,71.88,100.0,286.26,3.131088,74.7788,99.5112,24.0,2388.2688
20250120.0,5265.1,4.44,5.833662,477.0,7611.0,289.344598,12.512965,3.706701,15339.96494,204.08,21430.0,71.931818,291.351825,4.3701,240.6048,21907.0,72.481632,2313.49,23.882688,3.009711,6622.596474,71.88,100.0,286.26,3.131088,74.7788,99.5112,24.0,2388.2688
