date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220119.0,925.43,11.3,7.670971,16.574,5.671534,2766.089732,56.4,100.0,975.0,298.897781,6.938578,69.0,5163.0,69.058333,507.23,18.130667,5.277283,1585.803872,28.7042,100.0,312.64,6.745477,36.69,75.544444,24.0,543.92
20220120.0,508.75,10.49,7.914019,9.251167,5.754229,1593.2015,31.94,50.0,552.0,313.16,8.344893,46.32,3174.0,77.093056,508.75,18.502333,5.755094,1593.2015,31.9448,100.0,313.16,8.344893,46.32,77.093056,24.0,555.07
20220121.0,508.97,8.87,7.559416,9.249167,5.51401,1594.704804,30.6,50.0,552.0,313.32,8.285431,45.98,3473.0,77.076389,508.97,18.498333,5.514551,1594.704804,30.603,100.0,313.32,8.285431,45.98,77.076389,24.0,554.95
20220122.0,514.14,7.2,7.2987,9.2565,5.471831,1610.594964,30.39,50.0,552.0,313.26,7.427213,41.25,3599.0,77.1375,514.14,18.513,5.472353,1610.594964,30.3929,100.0,313.26,7.427213,41.25,77.1375,24.0,555.39
20220123.0,517.88,5.21,7.106138,9.278,5.502263,1653.435476,30.63,50.0,552.0,319.27,6.969893,38.8,3324.0,77.316667,517.88,18.556,5.503036,1653.435476,30.6343,100.0,319.27,6.969893,38.8,77.316667,24.0,556.68
20220124.0,518.6,3.36,7.16198,9.277333,5.694884,1692.797799,31.7,50.0,552.0,326.416853,6.83386,38.04,3434.0,77.311111,518.595,18.554667,5.695009,1692.797799,31.7007,100.0,326.42,6.834759,38.045,77.311111,24.0,556.64
20220224.0,964.98,10.2,7.092785,17.235167,5.53326,3007.764943,57.22,100.0,1030.3,311.691946,6.684975,69.13,6362.0,71.813194,485.5941,17.300333,5.776652,1508.740869,29.9814,100.0,310.7,6.438392,33.4159,72.084722,24.0,519.01
20220225.0,985.77,11.02,7.326168,17.599833,5.411983,3076.31529,57.15,100.0,1056.3,312.072318,6.650631,70.23,6216.0,73.332639,486.509,17.402667,5.144652,1507.253533,26.8592,100.0,309.81,6.813324,35.571,72.511111,24.0,522.08
20220226.0,1093.57,10.92,7.976602,19.537167,5.594465,3407.34054,65.58,100.0,1184.7,311.579555,6.710287,78.66,6547.0,81.404861,592.8106,20.973333,5.596917,1850.695412,35.2158,100.0,312.19,5.783439,36.3894,87.388889,24.0,629.2
20220227.0,1009.03,9.24,7.50179,18.0175,5.592711,3149.407754,60.46,100.0,1081.3,312.122311,6.662042,72.02,5947.0,75.072917,496.4085,17.725667,5.362431,1547.106731,28.5158,100.0,311.66,6.649773,35.3615,73.856944,24.0,531.77
20220228.0,952.0,9.37,7.550259,17.034,5.762005,2976.340619,58.89,93.75,1076.3,312.640821,6.853939,70.05,5385.0,75.706667,519.7993,18.542333,5.225556,1612.417429,29.0682,100.0,310.2,6.556295,36.4707,77.259722,24.0,556.27
20220301.0,506.99,10.66,8.21528,9.228333,5.846126,1580.186432,32.37,50.0,552.0,311.68,8.435976,46.71,3356.0,76.902778,506.99,18.456667,5.846487,1580.186432,32.372,100.0,311.68,8.435976,46.71,76.902778,24.0,553.7
20220302.0,506.39,11.82,7.942641,9.257333,5.561357,1573.793942,30.89,50.0,552.0,310.786931,8.832637,49.06,3491.0,77.144444,506.385,18.514667,5.560511,1573.793942,30.8853,100.0,310.79,8.831737,49.055,77.144444,24.0,555.44
20220303.0,512.38,11.88,7.636841,9.308333,5.323187,1590.17133,29.73,50.0,552.0,310.35,8.257833,46.12,3541.0,77.569444,512.38,18.616667,5.323563,1590.17133,29.7321,100.0,310.35,8.257833,46.12,77.569444,24.0,558.5
20220304.0,505.4,13.06,8.471328,9.275667,5.93668,1572.283845,33.04,50.0,552.0,311.096922,9.188917,51.14,4079.0,77.297222,505.395,18.551333,5.936465,1572.283845,33.0388,100.0,311.1,9.189816,51.145,77.297222,24.0,556.54
20220305.0,509.8,11.76,7.60239,9.277667,5.452161,1591.172154,30.35,50.0,552.0,312.116939,8.418065,46.86,4129.0,77.313889,509.795,18.555333,5.452143,1591.172154,30.3499,100.0,312.12,8.418963,46.865,77.313889,24.0,556.66
20220306.0,512.88,10.95,7.301743,9.273667,5.156177,1601.708625,28.69,50.0,552.0,312.296955,7.826821,43.55,4112.0,77.280556,512.875,18.547333,5.156932,1601.708625,28.6942,100.0,312.3,7.825923,43.545,77.280556,24.0,556.42
20220307.0,511.61,11.36,7.337416,9.269833,5.154713,1594.841853,28.67,50.0,552.0,311.73,8.015247,44.58,4103.0,77.248611,511.61,18.539667,5.154965,1594.841853,28.6714,100.0,311.73,8.015247,44.58,77.248611,24.0,556.19
20220308.0,511.34,12.25,7.282122,9.247833,5.055238,1587.081573,28.05,50.0,552.0,310.376965,7.845081,43.53,4098.0,77.065278,511.335,18.495667,5.055617,1587.081573,28.0521,100.0,310.38,7.845982,43.535,77.065278,24.0,554.87
20220309.0,506.66,12.01,7.445647,9.1775,5.231999,1578.397898,28.81,50.0,552.0,311.53,7.988741,43.99,3950.0,76.479167,506.66,18.355,5.232253,1578.397898,28.8114,100.0,311.53,7.988741,43.99,76.479167,24.0,550.65
20220310.0,507.82,11.82,7.059064,9.183333,5.194192,1578.644491,28.62,50.0,552.0,310.866939,7.836661,43.18,3810.0,76.527778,507.815,18.366667,5.194011,1578.644491,28.619,100.0,310.87,7.837568,43.185,76.527778,24.0,551.0
20220311.0,476.41,11.92,7.4855,8.648333,5.426865,1497.975963,28.16,50.0,552.0,314.43,8.188476,42.49,3520.0,72.069444,476.41,17.296667,5.427751,1497.975963,28.1646,100.0,314.43,8.188476,42.49,72.069444,24.0,518.9
20220312.0,503.69,10.88,7.352499,9.103167,5.29303,1584.407264,28.91,50.0,552.0,314.56,7.781175,42.5,3634.0,75.859722,503.69,18.206333,5.292352,1584.407264,28.9063,100.0,314.56,7.781175,42.5,75.859722,24.0,546.19
20220313.0,505.56,9.58,7.293213,9.117167,5.330603,1593.070116,29.16,50.0,552.0,315.11,7.580937,41.47,3435.0,75.976389,505.56,18.234333,5.330731,1593.070116,29.1607,100.0,315.11,7.580937,41.47,75.976389,24.0,547.03
20220314.0,503.2,10.86,7.337174,9.110667,5.475267,1584.510736,29.93,50.0,552.0,314.886871,7.946729,43.44,3458.0,75.922222,503.195,18.221333,5.474499,1584.510736,29.9258,100.0,314.89,7.947644,43.445,75.922222,24.0,546.64
