date,可门_厂级_上网电量,可门_厂级_供热厂用电量,可门_厂级_供热用厂用电率,可门_厂级_供热耗煤量,可门_厂级_供热量,可门_厂级_供电煤耗,可门_厂级_利用小时,可门_厂级_发电厂用电率,可门_厂级_发电标煤量,可门_厂级_发电用厂用电量,可门_厂级_发电耗煤量,可门_厂级_开机率,可门_厂级_综合供电煤耗,可门_厂级_综合厂用电率,可门_厂级_综合厂用电量,可门_厂级_耗煤量,可门_厂级_负荷率,可门_可门#4_上网电量,可门_可门#4_利用小时,可门_可门#4_发电厂用电率,可门_可门#4_发电标煤量,可门_可门#4_发电用厂用电量,可门_可门#4_开机率,可门_可门#4_综合供电煤耗,可门_可门#4_综合厂用电率,可门_可门#4_综合厂用电量,可门_可门#4_负荷率,可门_可门#4_运行小时,可门_可门#4_发电量
20220101.0,3429.75,3.6,5.599627,467.0,6429.0,298.886798,15.075,4.282477,10350.62914,154.94,18910.0,100.0,301.78961,5.203151,188.25,19377.0,62.8125,821.42,14.45,4.326413,2474.11704,37.51,100.0,301.2,5.257209,45.58,60.208333,24.0,867.0
20220102.0,3553.05,3.77,5.790201,448.0,6511.0,298.959379,15.6125,4.235121,10727.58928,158.69,18861.0,100.0,301.926212,5.176141,193.95,19309.0,65.052083,861.08,15.133333,4.227974,2592.970204,38.39,100.0,301.13,5.167401,46.92,63.055556,24.0,908.0
20220103.0,4031.55,3.45,5.821802,419.0,5926.0,298.964123,17.6875,4.190813,12159.16985,177.9,21632.0,100.0,301.600373,5.028269,213.45,22051.0,73.697917,990.22,17.383333,4.217641,2979.472958,43.99,100.0,300.89,5.060403,52.78,72.430556,24.0,1043.0
20220104.0,3894.6,3.61,6.246755,391.0,5779.0,299.72126,17.0875,4.506218,11737.68397,184.8,20044.0,100.0,301.383556,5.032919,206.4,20435.0,71.197917,951.92,16.716667,4.559322,2860.709984,45.73,100.0,300.52,5.092722,51.08,69.652778,24.0,1003.0
20220105.0,4438.35,3.82,6.018591,439.0,6347.0,299.765423,19.420833,4.311736,13369.62778,200.97,22860.0,100.0,301.229686,4.776872,222.65,23299.0,80.920139,1078.59,18.883333,4.33451,3238.574334,49.11,100.0,300.26,4.802295,54.41,78.680556,24.0,1133.0
20220106.0,3509.55,5.1,6.374203,556.0,8001.0,299.570331,15.416667,4.572973,10577.22924,169.2,18248.0,100.0,301.384201,5.147297,190.45,18804.0,64.236111,847.97,14.9,4.573826,2547.556271,40.89,100.0,300.43,5.14877,46.03,62.083333,24.0,894.0
20220107.0,3574.35,4.71,6.339166,511.0,7430.0,299.627072,15.695833,4.550571,10773.33108,171.42,18795.0,100.0,301.40672,5.114149,192.65,19306.0,65.399306,933.67,16.35,4.293578,2805.491616,42.12,100.0,300.48,4.824669,47.33,68.125,24.0,981.0
20220108.0,3573.3,4.69,6.355014,499.0,7380.0,299.624795,15.691667,4.545406,10770.97205,171.18,19032.0,100.0,301.429269,5.116835,192.7,19531.0,65.381944,888.18,15.566667,4.357602,2668.447992,40.7,100.0,300.44,4.905782,45.82,64.861111,24.0,934.0
20220109.0,3917.4,5.21,6.30827,566.0,8259.0,299.554624,17.191667,4.517693,11801.25398,186.4,20851.0,100.0,301.252208,5.055744,208.6,21417.0,71.631944,986.76,17.3,4.411368,2963.24028,45.79,100.0,300.3,4.936416,51.24,72.083333,24.0,1038.0
20220110.0,4208.4,4.31,6.129124,484.0,7032.0,299.723038,18.425,4.355495,12676.48618,192.6,22165.0,100.0,301.218662,4.830393,213.6,22649.0,76.770833,1066.87,18.65,4.200179,3201.570183,47.0,100.0,300.09,4.658624,52.13,77.708333,24.0,1119.0
20220111.0,3883.05,4.21,6.437309,429.0,6540.0,299.693655,17.045833,4.632853,11692.45803,189.53,19481.0,100.0,301.11531,5.083109,207.95,19910.0,71.024306,948.26,16.633333,4.542084,2844.590348,45.33,100.0,299.98,4.983968,49.74,69.305556,24.0,998.0
20220112.0,4209.3,3.71,6.282811,394.0,5905.0,299.710415,18.445833,4.539417,12665.88202,200.96,21432.0,100.0,300.902336,4.917551,217.7,21826.0,76.857639,1027.91,17.983333,4.370714,3081.67418,47.16,100.0,299.8,4.73494,51.09,74.930556,24.0,1079.0
20220113.0,4372.95,3.19,6.349522,333.0,5024.0,299.782102,19.133333,4.43358,13155.66774,203.59,22156.0,100.0,300.841943,4.770253,219.05,22489.0,79.722222,1074.79,18.8,4.384752,3225.337311,49.46,100.0,300.09,4.717199,53.21,78.333333,24.0,1128.0
20220114.0,4029.0,3.34,6.471614,348.0,5161.0,299.719192,17.654167,4.624734,12111.80239,195.95,20148.0,100.0,300.615597,4.909134,208.0,20496.0,73.559028,1060.47,18.55,4.446541,3177.486261,49.49,100.0,299.63,4.719677,52.53,77.291667,24.0,1113.0
20220115.0,4285.2,3.21,6.296587,329.0,5098.0,299.737083,18.720833,4.401068,12874.48705,197.74,20623.0,100.0,300.440751,4.624972,207.8,20952.0,78.003472,1046.79,18.283333,4.355515,3137.648346,47.78,100.0,299.74,4.577028,50.21,76.180556,24.0,1097.0
20220116.0,3409.95,4.34,6.558864,427.0,6617.0,299.648449,14.970833,4.768439,10252.98109,171.33,16412.0,100.0,300.678341,5.094628,183.05,16839.0,62.378472,837.14,14.716667,4.860702,2508.657438,42.92,100.0,299.67,5.193658,45.86,61.319444,24.0,883.0
20220117.0,3169.65,5.04,6.634198,486.0,7597.0,299.756775,13.954167,4.960287,9540.898451,166.12,15363.0,100.0,301.007949,5.35533,179.35,15849.0,58.142361,848.03,14.9,4.762864,2543.326773,42.58,100.0,299.91,5.142058,45.97,62.083333,24.0,894.0
20220118.0,3613.5,3.24,6.761269,313.0,4792.0,299.759016,15.875,4.841207,10867.91302,184.45,17687.0,100.0,300.758628,5.15748,196.5,18000.0,66.145833,841.52,14.783333,4.812852,2520.857312,42.69,100.0,299.56,5.127396,45.48,61.597222,24.0,887.0
20220119.0,3635.85,3.51,6.483192,340.0,5414.0,299.729465,15.954167,4.753983,10931.04366,182.03,17565.0,100.0,300.646167,5.044398,193.15,17905.0,66.475694,907.36,15.916667,4.701571,2719.448656,44.9,100.0,299.71,4.988482,47.64,66.319444,24.0,955.0
20220120.0,3588.15,4.49,6.624373,428.0,6778.0,299.65975,15.770833,4.883487,10788.23047,184.84,17191.0,100.0,300.66275,5.200793,196.85,17619.0,65.711806,933.1,16.366667,4.675153,2796.78063,45.91,100.0,299.73,4.979633,48.9,68.194444,24.0,982.0
20220121.0,2962.05,4.09,6.45314,398.0,6338.0,305.324341,13.041667,4.969968,9081.689337,155.56,14336.0,77.395833,306.601487,5.365815,167.95,14734.0,70.210857,959.7,16.85,4.699308,2924.68575,47.51,100.0,304.75,5.074184,51.3,70.208333,24.0,1011.0
20220122.0,3175.05,4.26,6.345896,421.0,6713.0,299.55739,13.941667,4.548117,9567.323827,152.18,15138.0,75.0,301.328289,5.109085,170.95,15559.0,77.453704,1120.9,19.666667,4.459322,3373.909,52.62,100.0,301.0,5.008475,59.1,81.944444,24.0,1180.0
20220123.0,2835.0,4.52,6.447012,433.0,7011.0,299.496372,12.454167,4.631315,8537.353742,138.43,13336.0,75.0,301.141225,5.152225,154.0,13769.0,69.189815,985.33,17.3,4.561657,2963.971173,47.35,100.0,300.81,5.074181,52.67,72.083333,24.0,1038.0
20220124.0,2461.2,4.7,7.034875,421.0,6681.0,299.454548,10.870833,4.920276,7428.359363,128.37,11696.0,74.270833,301.818599,5.665006,147.8,12117.0,60.986442,848.87,15.0,4.934444,2560.361694,44.41,100.0,301.62,5.681111,51.13,62.5,24.0,900.0
20220125.0,1908.6,3.64,6.283446,356.0,5793.0,299.38447,8.433333,4.717391,5773.689372,95.48,9072.0,50.0,302.509136,5.701581,115.4,9428.0,70.277778,1105.24,19.45,4.377892,3349.871916,51.09,100.0,303.09,5.292202,61.76,81.041667,24.0,1167.0
20220126.0,1987.2,3.68,6.306769,371.0,5835.0,298.087757,8.7625,4.662863,5976.480668,98.06,9585.0,50.0,300.748826,5.506419,115.8,9956.0,73.020833,1053.34,18.516667,4.394239,3185.82683,48.82,100.0,302.45,5.189919,57.66,77.152778,24.0,1111.0
20220127.0,1785.3,3.72,6.483095,365.0,5738.0,298.083815,7.904167,5.04428,5369.413566,95.69,8635.0,50.0,300.756935,5.888245,111.7,9000.0,65.868056,1045.11,18.4,4.568841,3157.799865,50.44,100.0,302.15,5.334239,58.89,76.666667,24.0,1104.0
20220128.0,1850.85,3.78,6.478149,369.0,5835.0,298.046152,8.183333,4.894094,5567.144467,96.12,8921.0,50.0,300.788528,5.761202,113.15,9290.0,68.194444,1056.88,18.6,4.500896,3195.47668,50.23,100.0,302.35,5.297491,59.12,77.5,24.0,1116.0
20220129.0,1911.6,4.11,6.579158,402.0,6247.0,298.061133,8.445833,4.888505,5746.350384,99.09,9338.0,50.0,300.604226,5.693143,115.4,9740.0,70.381944,1047.06,18.433333,4.575949,3163.796496,50.61,100.0,302.16,5.329114,58.94,76.805556,24.0,1106.0
20220130.0,2095.65,3.95,6.23717,405.0,6333.0,298.029323,9.220833,4.549932,6295.30319,100.69,10096.0,50.0,300.398597,5.302756,117.35,10501.0,76.840278,1148.6,20.166667,4.353719,3469.11658,52.68,100.0,302.03,5.07438,61.4,84.027778,24.0,1210.0
20220131.0,2410.5,3.68,6.107884,386.0,6025.0,298.242518,10.570833,4.363816,7236.228402,110.71,11599.0,50.0,300.196159,4.986204,126.5,11985.0,88.090278,1202.72,21.083333,4.3083,3632.575216,54.5,100.0,302.03,4.92332,62.28,87.847222,24.0,1265.0
20220201.0,1923.6,3.96,6.477998,383.0,6113.0,298.091447,8.475,4.662242,5780.49992,94.83,9185.0,50.0,300.504259,5.427729,110.4,9568.0,70.625,1020.1,17.95,4.538533,3081.92612,48.88,100.0,302.12,5.283194,56.9,74.791667,24.0,1077.0
20220202.0,2059.35,3.86,6.297928,389.0,6129.0,298.142447,9.0625,4.554023,6189.288125,99.05,9919.0,50.0,300.545712,5.317241,115.65,10308.0,75.520833,1115.41,19.6,4.412415,3370.211315,51.89,100.0,302.15,5.152211,60.59,81.666667,24.0,1176.0
20220203.0,1690.05,4.09,6.708217,391.0,6097.0,297.970452,7.483333,5.02951,5082.392601,90.33,8223.0,50.0,300.724393,5.89922,105.95,8614.0,62.361111,1015.23,17.9,4.664804,3066.705261,50.1,100.0,302.07,5.472067,58.77,74.583333,24.0,1074.0
20220204.0,1745.55,4.34,6.802508,409.0,6380.0,297.895337,7.733333,5.043103,5250.107428,93.6,8438.0,50.0,300.770956,5.95097,110.45,8847.0,64.444444,973.37,17.183333,4.737148,2941.134792,48.84,100.0,302.16,5.589719,57.63,71.597222,24.0,1031.0
20220205.0,2002.95,3.97,6.453186,390.0,6152.0,297.992072,8.825,4.683192,6015.893748,99.19,9613.0,50.0,300.351669,5.432011,115.05,10003.0,73.541667,1115.51,19.616667,4.503823,3368.393996,53.01,100.0,301.96,5.224299,61.49,81.736111,24.0,1177.0
20220206.0,1972.5,3.91,6.45321,363.0,6059.0,298.065089,8.7,4.721743,5929.73668,98.59,8952.0,50.0,300.620364,5.531609,115.5,9315.0,72.5,1110.1,19.533333,4.507679,3353.83412,52.83,100.0,302.12,5.28157,61.9,81.388889,24.0,1172.0
20220207.0,2169.45,3.88,6.459131,360.0,6007.0,298.10268,9.575,4.596606,6535.513734,105.63,9839.0,50.0,301.252102,5.593995,128.55,10199.0,79.791667,1125.46,19.85,4.521411,3411.26926,53.85,100.0,303.1,5.502939,65.54,82.708333,24.0,1191.0
20220208.0,2049.3,4.19,7.191898,344.0,5826.0,298.510193,9.141667,5.759344,6172.11615,126.36,9287.0,64.145833,301.181679,6.59526,144.7,9631.0,59.380751,921.5,16.266667,4.876025,2780.62625,47.59,100.0,301.75,5.584016,54.5,67.777778,24.0,976.0
20220209.0,3021.0,4.38,6.971192,388.0,6283.0,298.679864,13.333333,4.939375,9085.662248,158.06,13864.0,75.0,300.750157,5.59375,179.0,14252.0,74.074074,969.44,17.133333,5.030156,2907.253616,51.71,100.0,299.89,5.696498,58.56,71.388889,24.0,1028.0
20220210.0,3350.25,4.65,7.295262,393.0,6374.0,299.208886,14.808333,5.43444,10055.99178,193.14,15668.0,92.96875,300.156459,5.732977,203.75,16061.0,66.36788,955.87,16.833333,5.080198,2846.007338,51.31,100.0,297.74,5.359406,54.13,70.138889,24.0,1010.0
20220211.0,3400.8,4.99,7.674562,408.0,6502.0,299.162358,15.0125,5.235082,10214.53973,188.62,15810.0,100.0,300.356967,5.61199,202.2,16218.0,62.552083,890.31,15.733333,5.305085,2650.274808,50.08,100.0,297.68,5.6875,53.69,65.555556,24.0,944.0
