date,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#3_上网电量,邵武_邵武#3_利用小时,邵武_邵武#3_发电厂用电率,邵武_邵武#3_发电标煤量,邵武_邵武#3_发电用厂用电量,邵武_邵武#3_开机率,邵武_邵武#3_综合厂用电率,邵武_邵武#3_综合厂用电量,邵武_邵武#3_负荷率,邵武_邵武#3_运行小时,邵武_邵武#3_发电量
20220101.0,1735.95,282.509456,13.863636,4.91694,4915.721041,89.98,7776.0,100.0,5.139891,94.06,7776.0,57.765152,866.35,13.80303,4.671789,2460.520635,42.56,100.0,4.901207,44.65,57.512626,24.0,911.0
20220102.0,1839.09,282.133557,14.666667,4.737603,5203.332761,91.72,8753.0,100.0,5.005682,96.91,8753.0,61.111111,918.83,14.621212,4.543005,2602.585975,43.84,100.0,4.784456,46.17,60.921717,24.0,965.0
20220103.0,2089.41,282.109395,16.606061,4.467153,5907.596413,97.92,9051.0,100.0,4.680201,102.59,9051.0,69.191919,1043.69,16.560606,4.369625,2951.659689,47.76,100.0,4.511436,49.31,69.002525,24.0,1093.0
20220104.0,2119.25,281.799121,16.878788,4.579892,5990.936598,102.04,9107.0,100.0,4.881508,108.76,9107.0,70.328283,1060.26,16.848485,4.410072,2997.673098,49.04,100.0,4.652878,51.74,70.20202,24.0,1112.0
20220105.0,2304.6,281.947417,18.325758,4.482844,6514.56424,108.44,10270.0,100.0,4.853245,117.4,10270.0,76.357323,1158.38,18.393939,4.352554,3266.979114,52.84,100.0,4.581549,55.62,76.641414,24.0,1214.0
20220106.0,1968.36,282.850016,15.704545,4.789194,5582.667335,99.28,8781.0,100.0,5.047274,104.63,8781.0,65.435606,1047.4,16.666667,4.56,2962.0472,50.16,100.0,4.781818,52.6,69.444444,24.0,1100.0
20220107.0,1916.87,282.914389,15.333333,4.982213,5440.896358,100.84,8973.0,100.0,5.292984,107.13,8973.0,63.888889,1038.53,16.560606,4.698994,2940.701548,51.36,100.0,4.983532,54.47,69.002525,24.0,1093.0
20220108.0,1963.2,283.0284,15.666667,4.858801,5568.640383,100.48,8329.0,100.0,5.067698,104.8,8329.0,65.277778,1031.49,16.439394,4.733641,2919.322998,51.36,100.0,4.931797,53.51,68.497475,24.0,1085.0
20220109.0,2058.1506,282.46396,16.439394,4.897696,5829.265243,106.28,9107.0,100.0,5.154378,111.85,9107.0,68.497475,1048.3538,16.712121,4.801451,2968.308949,52.96,100.0,4.954325,54.6462,69.633838,24.0,1103.0
20220110.0,2124.848,282.252263,16.954545,4.806077,6013.21511,107.56,8558.0,100.0,5.055853,113.15,8558.0,70.643939,1061.0488,16.909091,4.709677,3002.131475,52.56,100.0,4.923943,54.9512,70.454545,24.0,1116.0
20220111.0,2039.96,282.111738,16.30303,4.895911,5773.81168,105.36,10005.0,100.0,5.206784,112.05,10005.0,67.929293,1046.13,16.681818,4.66485,2951.760408,51.36,100.0,4.983651,54.87,69.507576,24.0,1101.0
20220112.0,2198.84,281.925502,17.507576,4.661186,6211.608203,107.72,9520.0,100.0,4.85331,112.16,9520.0,72.948232,1120.71,17.818182,4.513605,3171.497229,53.08,100.0,4.701531,55.29,74.242424,24.0,1176.0
20220113.0,2265.55,281.289619,18.037879,4.556069,6392.36285,108.48,9658.0,100.0,4.848803,115.45,9658.0,75.157828,1133.27,18.0,4.40404,3197.861286,52.32,100.0,4.606902,54.73,75.0,24.0,1188.0
20220114.0,2068.78,282.782128,16.507576,4.860945,5862.29973,105.92,8843.0,100.0,5.058284,110.22,8843.0,68.781566,1032.85,16.469697,4.798528,2927.51004,52.16,100.0,4.981601,54.15,68.623737,24.0,1087.0
20220115.0,2284.88,282.518512,18.204545,4.587599,6477.471432,110.24,9155.0,100.0,4.915522,118.12,9155.0,75.852273,1140.24,18.166667,4.597164,3215.590824,55.12,100.0,4.900751,58.76,75.694444,24.0,1199.0
20220116.0,1760.69,284.524713,14.113636,5.21095,5024.47881,97.08,7564.0,100.0,5.49168,102.31,7564.0,58.806818,891.56,14.242424,4.953191,2544.155616,46.56,100.0,5.153191,48.44,59.343434,24.0,940.0
20220117.0,1632.13,284.07697,13.083333,5.271569,4647.385602,91.04,7000.0,100.0,5.49392,94.88,7000.0,54.513889,815.7,13.045455,5.054588,2316.42486,43.52,100.0,5.261324,45.3,54.356061,24.0,861.0
20220118.0,1781.08,283.711217,14.25,5.110048,5063.904763,96.12,6771.0,100.0,5.312068,99.92,6771.0,59.375,888.97,14.212121,5.078891,2519.785465,47.64,100.0,5.227079,49.03,59.217172,24.0,938.0
