name,index,mape_5,mape_10,mape_20,mape_60,mape_120,dir5_3class,dir5_binary,dir10_3class,dir10_binary,dir20_3class,dir20_binary,slope20_3class,corr20,slope60_3class,corr60,slope120_3class,corr120
seq32_base,CCI4500,1.3888574929556192,2.0010296097024485,3.0119569735649305,5.151256150934421,8.740083058623375,0.6795252225519288,0.7744807121661721,0.8287461773700305,0.8593272171253823,0.7882736156351792,0.8273615635179153,0.6422018348623854,0.2762172396626617,0.8257839721254355,0.4140350434209787,0.6211453744493393,0.20916846762272923
seq32_base,CCI5000,1.3155164664813768,1.8446600700514229,2.6937813456673187,4.935983604729994,8.954075377750687,0.6439169139465876,0.7240356083086054,0.7951070336391437,0.8685015290519877,0.8566775244299675,0.8729641693811075,0.6850152905198776,0.28701820617514645,0.759581881533101,0.37948250560591046,0.6123348017621145,0.16224500465467792
seq32_base,CCI5500,1.0323224310658465,1.479446567480759,2.239467059516381,4.707997553660953,8.774342771339118,0.5608308605341247,0.7151335311572701,0.764525993883792,0.8195718654434251,0.8338762214983714,0.8827361563517915,0.6636085626911316,0.3039053142462428,0.8048780487804879,0.45007706733682346,0.6828193832599119,0.2626952423937526
seq32_base,CCI3800out,1.4609242406147431,2.00639619860415,2.878667499181267,5.1027045825066315,6.6993279999353055,0.49851632047477745,0.6261127596439169,0.6788990825688074,0.7522935779816514,0.6905537459283387,0.7654723127035831,0.5137614678899083,0.052165424928917264,0.6655052264808362,0.2774491860988147,0.6916299559471366,0.379079469302846
seq32_base,CCI4700out,1.2416087477140463,1.7093218705595241,2.4960755706059463,5.020999460320241,8.547620256289786,0.49851632047477745,0.685459940652819,0.672782874617737,0.764525993883792,0.7068403908794788,0.7850162866449512,0.5045871559633027,0.0682951014356061,0.7839721254355401,0.396256596922174,0.7136563876651982,0.3525867643659768
seq32_base,CCI5500out,1.0943933971206539,1.5482628115179122,2.262356671522645,4.120509094302657,7.305676113262801,0.6172106824925816,0.7181008902077152,0.7064220183486238,0.7981651376146789,0.8175895765472313,0.8631921824104235,0.5718654434250765,0.1367195898577321,0.7491289198606271,0.34034072789705083,0.6563876651982379,0.21961582107286404
seq64_acc05_sync08,CCI4500,2.0233794356862993,2.5479809012208614,3.498317638581397,5.40704854360868,9.275579705755314,0.4629080118694362,0.5489614243323442,0.636085626911315,0.7125382262996942,0.6970684039087948,0.749185667752443,0.5657492354740061,0.18308767589167746,0.8327526132404182,0.46937882207888204,0.6343612334801763,0.302687847083834
seq64_acc05_sync08,CCI5000,1.8828724710222307,2.3787757953605184,3.277044345761994,5.4484844445534755,9.601322379004948,0.43026706231454004,0.5044510385756676,0.5779816513761468,0.6452599388379205,0.6970684039087948,0.7361563517915309,0.5351681957186545,0.13211083553382724,0.8013937282229965,0.45850352335428957,0.6607929515418502,0.3056155807159451
seq64_acc05_sync08,CCI5500,1.6121184612320878,2.026770699700104,2.836127000430959,5.4065148070392075,9.581626323160231,0.42136498516320475,0.516320474777448,0.5840978593272171,0.6666666666666666,0.7231270358306189,0.7687296416938111,0.5045871559633027,0.07647407692755018,0.7491289198606271,0.4146364018607508,0.6651982378854625,0.2838917243693498
seq64_acc05_sync08,CCI3800out,1.9647319467798592,2.368221152504913,3.1164760594669443,5.181823895559659,7.200540023474659,0.486646884272997,0.5548961424332344,0.6055045871559633,0.6422018348623854,0.6938110749185668,0.7231270358306189,0.6483180428134556,0.18711492554452613,0.7142857142857143,0.40613116929008675,0.5726872246696035,0.4128452627463828
