index,day1,day30,day60,day120,change_30,change_60,change_120,pct_30,pct_60,pct_120
CCI4500,650.0,641.0,626.0,642.0,-9.0,-24.0,-8.0,-1.3846153846153841,-3.6923076923076947,-1.2307692307692353
CCI5000,749.0,737.0,719.0,737.0,-12.0,-30.0,-12.0,-1.602136181575431,-4.005340453938588,-1.602136181575431
CCI5500,834.0,830.0,808.0,823.0,-4.0,-26.0,-11.0,-0.47961630695443347,-3.1175059952038398,-1.3189448441247031
CCI3800out,609.022108393116,603.9941237707101,587.8537584562866,597.4280539619317,-5.027984622405938,-21.168349936829372,-11.594054431184304,-0.8255832675224339,-3.4757933488952175,-1.9037165106821519
CCI4700out,740.240221327927,731.7116303114049,713.9490832319461,724.7666822025232,-8.528591016522114,-26.29113809598084,-15.473539125403818,-1.1521382884629783,-3.5517035333228475,-2.0903402273448
CCI5500out,941.9096437386052,908.1959865258124,884.2296476052179,916.581981227042,-33.71365721279278,-57.67999613338725,-25.327662511563176,-3.5792878262693395,-6.123729225708441,-2.688969444142564
