name,seq_len,acc_loss_weight,sync_loss_weight,index,mape_5,mape_10,mape_60,acc_month_1,acc_month_2,acc_month_3,acc_month_avg,acc_week_avg
seq32_base,32,0.0,0.05,CCI4500,1.40043302564561,2.050349935248481,5.260205371385243,0.8105726872246696,0.7841409691629956,0.6255506607929515,0.7400881057268722,0.6353201295465869
seq32_base,32,0.0,0.05,CCI5000,1.3279802238655132,1.8972485357304183,5.117897882374777,0.8678414096916299,0.8061674008810573,0.5374449339207048,0.737151248164464,0.6062344294967613
seq32_base,32,0.0,0.05,CCI5500,1.0414979380848526,1.520687465750932,4.865212657858557,0.8634361233480177,0.8281938325991189,0.6167400881057269,0.7694566813509546,0.6262518684603887
seq32_base,32,0.0,0.05,CCI3800out,1.4591776572181399,2.0212399121313602,5.0646537976916415,0.6960352422907489,0.5638766519823789,0.8193832599118943,0.6930983847283407,0.6008158943697061
seq32_base,32,0.0,0.05,CCI4700out,1.244505299548525,1.7451539957633215,5.054150914942119,0.7268722466960352,0.6255506607929515,0.7400881057268722,0.697503671071953,0.5787369207772796
seq32_base,32,0.0,0.05,CCI5500out,1.0948985665274467,1.5713594654976804,4.262969095990813,0.8414096916299559,0.6960352422907489,0.5770925110132159,0.7048458149779736,0.5833582461385153
seq64_acc05_sync08,64,0.5,0.08,CCI4500,2.0400320805695875,2.601462436310823,5.504486138764439,0.762114537444934,0.762114537444934,0.7797356828193832,0.7679882525697503,0.6120640259093175
seq64_acc05_sync08,64,0.5,0.08,CCI5000,1.9014705473906606,2.4363061343066397,5.570070572906986,0.7268722466960352,0.7048458149779736,0.8634361233480177,0.7650513950073421,0.6089872944693573
seq64_acc05_sync08,64,0.5,0.08,CCI5500,1.629992538210716,2.083170789806815,5.46819167708238,0.7444933920704846,0.5859030837004405,0.8502202643171806,0.7268722466960353,0.5879795714997509
seq64_acc05_sync08,64,0.5,0.08,CCI3800out,1.96949714047773,2.3986217509963055,5.0965602861050385,0.6916299559471366,0.6696035242290749,0.7577092511013216,0.7063142437591777,0.6516380169407076
seq64_acc05_sync08,64,0.5,0.08,CCI4700out,1.6977784552177226,2.1652272908980685,5.55993864844075,0.7048458149779736,0.6607929515418502,0.801762114537445,0.7224669603524229,0.6106813652217239
seq64_acc05_sync08,64,0.5,0.08,CCI5500out,1.5336959062907294,1.9389120469411134,4.802436708238968,0.7797356828193832,0.5594713656387665,0.8237885462555066,0.7209985315712188,0.5695939212755355
seq96_acc05_sync08,96,0.5,0.08,CCI4500,2.427957842996391,3.2193136559474334,4.926282555448017,0.7577092511013216,0.8325991189427313,0.8370044052863436,0.8091042584434655,0.6781826108619832
seq96_acc05_sync08,96,0.5,0.08,CCI5000,2.363024046522327,3.1570266841801398,5.257844498990508,0.6651982378854625,0.8149779735682819,0.9118942731277533,0.7973568281938327,0.6597969606377677
seq96_acc05_sync08,96,0.5,0.08,CCI5500,2.0584632876188595,2.8360063122009613,5.10492772228672,0.7048458149779736,0.8281938325991189,0.9295154185022027,0.8208516886930983,0.6815582959641255
seq96_acc05_sync08,96,0.5,0.08,CCI3800out,2.48579352428379,3.251606333970239,5.829742821835616,0.6123348017621145,0.6916299559471366,0.6563876651982379,0.6534508076358296,0.631284255107125
seq96_acc05_sync08,96,0.5,0.08,CCI4700out,2.1965223793353443,2.9538414545896066,5.785021862410461,0.6167400881057269,0.6828193832599119,0.6960352422907489,0.6651982378854626,0.5948991031390134
seq96_acc05_sync08,96,0.5,0.08,CCI5500out,1.7749657063073143,2.2854260304355773,4.308602366911261,0.748898678414097,0.7312775330396476,0.8414096916299559,0.7738619676945668,0.6547272047832585
seq64_acc08_sync10,64,0.8,0.1,CCI4500,2.478756597169073,3.0424498778728566,5.546440345592631,0.7797356828193832,0.762114537444934,0.8370044052863436,0.7929515418502202,0.6198056801195814
seq64_acc08_sync10,64,0.8,0.1,CCI5000,2.3449044447234146,2.89446760584659,5.632608756617614,0.7312775330396476,0.7841409691629956,0.9162995594713657,0.8105726872246697,0.6183669656203289
seq64_acc08_sync10,64,0.8,0.1,CCI5500,1.9948045331787818,2.459778678411139,5.322728367972932,0.7533039647577092,0.7665198237885462,0.933920704845815,0.8179148311306902,0.6243211260587941
seq64_acc08_sync10,64,0.8,0.1,CCI3800out,2.539135822476702,2.970420068442423,5.7491935997733234,0.6696035242290749,0.6387665198237885,0.6519823788546255,0.6534508076358296,0.6376432486297956
seq64_acc08_sync10,64,0.8,0.1,CCI4700out,2.113712046418474,2.5436314350836904,5.626116095719231,0.7004405286343612,0.6696035242290749,0.6872246696035242,0.6857562408223202,0.5930929247633283
seq64_acc08_sync10,64,0.8,0.1,CCI5500out,1.9109268306377123,2.294885701166504,4.589315717866854,0.775330396475771,0.6696035242290749,0.8325991189427313,0.7591776798825257,0.5995702541106128
