name,seq_len,short_first,index,mape_5,mape_10,acc_month_1,acc_month_2,acc_month_3,acc_month_avg,acc_week_avg
seq32_base,32,0,CCI4500,1.1290312865175993,1.738758727127533,0.8105726872246696,0.7841409691629956,0.6255506607929515,0.7400881057268722,0.6353201295465869
seq32_base,32,0,CCI5000,0.9857604933450191,1.4725343027133246,0.8678414096916299,0.8061674008810573,0.5374449339207048,0.737151248164464,0.6062344294967613
seq32_base,32,0,CCI5500,0.7884184090510824,1.1873586807545675,0.8634361233480177,0.8281938325991189,0.6167400881057269,0.7694566813509546,0.6262518684603887
seq32_base,32,0,CCI3800out,1.1593714065095968,1.7309817907782628,0.6960352422907489,0.5638766519823789,0.8193832599118943,0.6930983847283407,0.6008158943697061
seq32_base,32,0,CCI4700out,1.0064180685338768,1.51906490471069,0.7268722466960352,0.6255506607929515,0.7400881057268722,0.697503671071953,0.5787369207772797
seq32_base,32,0,CCI5500out,0.9042119761248403,1.3330039084010068,0.8414096916299559,0.6960352422907489,0.5770925110132159,0.7048458149779736,0.5833582461385154
seq64_acc05_sync08,64,0,CCI4500,1.5606802806894053,2.1152113683548652,0.762114537444934,0.762114537444934,0.7797356828193832,0.7679882525697503,0.6120640259093172
seq64_acc05_sync08,64,0,CCI5000,1.3451118662624966,1.838311741490227,0.7268722466960352,0.7048458149779736,0.8634361233480177,0.7650513950073421,0.6089872944693571
seq64_acc05_sync08,64,0,CCI5500,1.1738053997771887,1.5760081862790516,0.7444933920704846,0.5859030837004405,0.8502202643171806,0.7268722466960353,0.5879795714997508
seq64_acc05_sync08,64,0,CCI3800out,1.6082263723700894,2.0032665517276342,0.6916299559471366,0.6696035242290749,0.7577092511013216,0.7063142437591777,0.6516380169407073
seq64_acc05_sync08,64,0,CCI4700out,1.2360466011631785,1.6826413953698844,0.7048458149779736,0.6607929515418502,0.801762114537445,0.7224669603524229,0.6106813652217239
seq64_acc05_sync08,64,0,CCI5500out,1.2876539749572664,1.6604536032647788,0.7797356828193832,0.5594713656387665,0.8237885462555066,0.7209985315712188,0.5695939212755355
seq96_acc05_sync08,96,0,CCI4500,1.8788756279042647,2.5153915236953055,0.7577092511013216,0.8325991189427313,0.8370044052863436,0.8091042584434655,0.6781826108619827
seq96_acc05_sync08,96,0,CCI5000,1.793214047150622,2.452564799923593,0.6651982378854625,0.8149779735682819,0.9118942731277533,0.7973568281938327,0.6597969606377677
seq96_acc05_sync08,96,0,CCI5500,1.5662218730692266,2.2310323963965173,0.7048458149779736,0.8281938325991189,0.9295154185022027,0.8208516886930983,0.6815582959641254
seq96_acc05_sync08,96,0,CCI3800out,2.1520392211261092,2.8302328942674255,0.6123348017621145,0.6916299559471366,0.6563876651982379,0.6534508076358296,0.6312842551071255
seq96_acc05_sync08,96,0,CCI4700out,1.6243220319158806,2.1989194867274557,0.6167400881057269,0.6828193832599119,0.6960352422907489,0.6651982378854626,0.5948991031390131
