unit,source_rows,source_last_date,last_actual,day1,day30,day60,day90,day180,min_pred,max_pred,has_negative,pct_day30_vs_day1,pct_day90_vs_day1,pct_day180_vs_day1
yongan_7,1121,20260512.0,588.19,573.1053932162306,560.00509303091,558.3988399719855,561.4727514069319,560.9148918718231,556.1844060878537,573.1053932162306,False,-2.2858448621121186,-2.029756122868953,-2.1270959039479953
yongan_8,990,20260402.0,412.88,437.2226218212396,494.4589576088356,472.98708172553216,522.3938203991556,477.78125133384987,437.2226218212396,523.8807022267167,False,13.090890757019725,19.48005302725133,9.276425209579585
kemen_1,1244,20260423.0,927.0,1041.4829192435989,1062.389954677621,1150.3312602725832,1167.2633897504052,1140.888275620783,1023.0577200134164,1204.3095726311906,False,2.0074295072651127,12.07705553137226,9.544597855659465
kemen_2,1219,20260510.0,899.0,1053.1771394909586,1080.745669966642,1123.3904694123426,1114.01797999351,1112.057467113297,1053.1771394909586,1143.3027799025976,False,2.617653711037482,5.776885788838726,5.590733544672033
kemen_3,1331,20260512.0,1364.0,1260.0729118932086,1190.5675338205506,1198.2185715128792,1183.919119217127,1183.6631037161176,1123.374410874675,1260.0729118932086,False,-5.515980656089892,-6.043602077094379,-6.0639195919455435
kemen_4,1214,20260512.0,1365.0,1270.8694811876885,1118.3193043595777,1147.7509150346816,1132.994983756418,1135.468833348271,1101.4224890679911,1270.8694811876885,False,-12.003606907417852,-10.848832194980417,-10.654174157434259
kemen_5,639,20260512.0,2224.1628,2004.5661049036812,2020.224239065724,2008.036010494684,2069.630563668744,2042.1952179194916,1889.860095337663,2149.59622096337,False,0.7811233624942071,3.2458125778889624,1.8771699732804903
kemen_6,562,20260512.0,2190.2076,1988.858102868989,1940.061894928871,1858.4835543098984,1835.7342772856905,1859.9933794571973,1698.8612480717147,1994.2842966804888,False,-2.4534786000935838,-7.699082471615881,-6.479332196997878
shaowu_3,1290,20260512.0,1319.0,1250.804108222006,1242.843554468381,1249.3020047719176,1264.862978631838,1244.4107350527331,1205.484693203815,1296.131523978412,False,-0.6364348902675898,1.1239865873015287,-0.5111410433693786
shaowu_4,1139,20260403.0,985.0,1158.7256075412647,1219.8957873297609,1239.4829439219063,1223.470104375986,1241.9762707170962,1125.9628802509567,1306.5248067343691,False,5.279091045402451,5.58756071440456,7.184674493600229
zhangping_5,1144,20260512.0,582.6,547.7388498616109,518.3461215800138,521.1865148470553,532.1165478430129,521.5675306695906,505.2652807812155,547.7388498616109,False,-5.3661938146296055,-2.8521442330674662,-4.778065167119805
zhangping_6,1047,20260403.0,491.13,460.3414912324004,472.2669042710126,470.0308634809229,483.314164236223,477.927328072286,459.5003711743273,490.779294658758,False,2.5905579370406384,4.990354647877049,3.8201720189952493
