date,forecast_day,yongan_7,yongan_8,kemen_1,kemen_2,kemen_3,kemen_4,kemen_5,kemen_6,shaowu_3,shaowu_4,zhangping_5,zhangping_6
2026-05-13,1,573.1053932162306,437.2226218212396,1041.4829192435989,1053.1771394909586,1260.0729118932086,1270.8694811876885,2004.5661049036812,1988.858102868989,1250.804108222006,1158.7256075412647,547.7388498616109,460.3414912324004
2026-05-14,2,567.1845698750478,453.5416593466565,1023.0577200134164,1068.4336990878137,1217.8165645480017,1205.9906797333672,2025.095920380639,1958.4038360889865,1217.9040951878703,1125.9628802509567,539.3411415500428,463.53578770132617
2026-05-15,3,565.8113793895199,462.9541295469081,1038.8187232828593,1063.3752062884075,1216.7268524454132,1178.3346165540088,2009.2733592003397,1959.8752974536296,1214.1154008416088,1188.008544518094,531.9249191418464,466.07270432344336
2026-05-16,4,565.3574451582382,460.61590181918166,1054.855713644359,1074.9363938724346,1206.409915481277,1182.8999802131725,1972.8552521852305,1921.6438379846963,1253.0134635399008,1218.5486126641756,537.4935307895882,466.350180000379
2026-05-17,5,566.1683103079973,462.7320806824856,1056.2819993305425,1099.0139142498012,1194.1727862350476,1161.27151204363,2037.5002501435704,1899.4346745875948,1216.6687745123709,1188.6809679999587,531.5397845662711,462.721933363727
2026-05-18,6,564.1407809858437,466.68501584107895,1065.7736907940323,1110.8309380690737,1157.4816297912053,1151.6819766812937,1932.4028433333328,1849.4732527810552,1242.251325765868,1190.7754795816802,522.3175105268085,467.1237155920748
2026-05-19,7,566.9539040680539,462.8066565249005,1049.2948133357354,1092.0508883565278,1172.079218097036,1137.6523136947012,2036.535707703907,1900.9652110793504,1219.013995085987,1212.115340577462,527.7274506899372,459.5003711743273
2026-05-20,8,566.2047912175019,459.44294863737815,1077.4987531411346,1104.010851989516,1174.1752901861748,1143.28863645088,1980.5635018123385,1866.9504156510795,1253.996155047996,1184.2905228724069,525.9918410034866,472.4694868660928
2026-05-21,9,564.9085925759333,465.9249181461372,1058.2588416145288,1084.3420043750727,1193.9391219434324,1152.745628831375,2065.150559443905,1970.2607175454243,1255.907347290037,1253.939625250448,536.6233219419329,465.97609215795296
2026-05-22,10,562.4199405240162,466.784073568022,1088.0228230383616,1097.662363341819,1178.1237640761676,1167.424508232393,1963.6059543182844,1860.2626014442512,1273.542795403359,1234.359437990485,526.0588402653188,475.13771584526944
2026-05-23,11,564.8740798600262,469.950031650986,1097.875902082016,1084.8006855660997,1181.5632947293325,1175.365933151993,2027.0698283078389,1951.030903352968,1247.242688402464,1210.1502092760925,528.1889008686212,471.0482443307304
2026-05-24,12,565.5216317600843,462.2591049669687,1072.2841558403984,1070.670341003667,1192.5951370557946,1172.4825290491317,2053.009783135053,1918.6960974780527,1231.2432339173174,1224.2216490608612,515.7022369453451,474.3733946826821
2026-05-25,13,563.6250854517244,470.21252631717294,1106.9697122049415,1095.3877045910494,1172.228150135142,1156.6106328621345,1943.6659550389668,1927.8698083283005,1240.7230307777918,1229.368831438966,528.4747945931579,470.2758144705277
2026-05-26,14,564.1753837380544,469.909195269258,1080.0465737470788,1096.8957268464428,1190.7637355670645,1179.795892235055,2033.8034989752575,1861.9943247497,1214.0460120124412,1201.4579231987173,529.1185811058474,477.7339239475664
2026-05-27,15,564.0317290148878,479.3377041786538,1087.8091249311046,1064.088068887802,1186.500175122663,1172.6824941156124,1971.645181578084,1934.68714172428,1236.02813064173,1201.878486585143,524.9605944260201,478.8864018126331
2026-05-28,16,562.784097756223,472.3231124078063,1088.797546073098,1096.42558050752,1176.6510170408478,1169.0711892316388,2020.0834244144796,1850.2055549392792,1251.697070948887,1213.5314510287672,530.1968553082438,480.0400573266882
2026-05-29,17,561.9118278473886,477.6337409158883,1062.0056736843503,1077.950140853495,1192.3113024278653,1184.5954193132995,2045.5195813296657,1914.6273952821907,1220.709877085149,1201.3753930832263,530.0851287378621,475.2111795669023
2026-05-30,18,560.0044915884017,483.97609886318406,1069.4698047758611,1091.792836003311,1181.0078654214751,1169.5990599715662,2007.2627686772769,1866.771329435102,1243.6026671882455,1188.618512591298,534.9074081900567,476.0831342511624
2026-05-31,19,559.7908624507805,486.6869440313077,1068.91768519828,1086.727690349843,1190.6764711121766,1168.7245166978194,1965.4781445167084,1883.5872587356355,1251.5178008514545,1215.4081158862452,534.1906732387779,471.9114790186636
2026-06-01,20,557.6771395744364,495.61853550443817,1082.366799053476,1089.5829208711166,1179.7612153138364,1163.6046291336434,2023.7894031137976,1863.3772180327244,1228.8003641664134,1201.4801878735657,531.4632987469425,477.4427389980549
2026-06-02,21,559.1596899550785,491.195558135161,1081.0495948164566,1095.422584823328,1171.4710745554055,1143.9488931504468,2007.5071844848585,1860.603401837748,1229.4527155711578,1193.2028594154262,534.9661579587515,479.9667509245768
2026-06-03,22,558.068853317732,487.2072921102842,1066.0455523464425,1106.6993193266037,1172.0983704284763,1153.913408359363,2072.7326320648444,1827.4089413407244,1224.8885990503952,1212.1850614460564,537.0460431357611,476.7794394423996
2026-06-04,23,557.6566833262518,496.0025296250522,1067.8237326309595,1096.8768076137212,1178.7181471793613,1144.453925281877,2027.381263799523,1909.8688714887655,1228.1341537423352,1232.9365510343705,529.8170717552441,472.933040072896
2026-06-05,24,559.3431281193668,489.60976193181375,1086.3582435166304,1103.5815232135196,1194.0578430062037,1138.867048275532,2049.5120179846845,1898.793018018157,1226.2325489957948,1175.7274931149293,532.8462312140636,474.9381627746864
2026-06-06,25,560.1001029399517,494.33739998292464,1083.601934736023,1101.896720446148,1196.5415699797804,1121.6723618674769,1957.4870521035823,1873.580097893558,1205.484693203815,1164.7405475297217,525.5384844861894,470.89477239537615
2026-06-07,26,560.0561454157938,486.1158371774849,1071.630939338256,1119.955927570901,1182.9566663159062,1107.2007030415657,1937.599017728328,1844.808114846606,1217.6078335426885,1197.6960333257537,532.9275118564886,474.9298922627062
2026-06-08,27,557.0794263698891,501.5344507682655,1064.5610971570447,1095.2522722502697,1194.7144668005487,1106.738375534417,2069.6647434548267,1907.6889291983848,1248.3875237415878,1216.4376763223202,532.4652381669379,473.4774645033663
2026-06-09,28,557.5531721894214,493.1007074751436,1062.373028454753,1095.0336440507476,1200.465037650158,1105.765763773922,2045.3201655363057,1899.995027977777,1220.8211509505256,1243.1029610554478,523.805097200244,472.7563387865016
2026-06-10,29,558.6364511794413,499.0294516287333,1092.5869905450866,1133.0749106753922,1178.2145782914167,1113.7931069106005,2030.8557957964815,1873.4892356322453,1251.8275867570492,1213.3616252070035,523.7435652354474,478.8973107977287
2026-06-11,30,560.00509303091,494.4589576088356,1062.389954677621,1080.745669966642,1190.5675338205506,1118.3193043595777,2020.224239065724,1940.061894928871,1242.843554468381,1219.8957873297609,518.3461215800138,472.2669042710126
2026-06-12,31,559.546039335404,506.20978434509954,1085.196701160999,1102.4530613783031,1188.3360269699358,1122.5763332676304,2013.14098401816,1879.418989141067,1249.253089798365,1210.8158906866065,519.136370759007,472.36114315915216
2026-06-13,32,561.8635251712176,499.8820876893104,1057.930373538683,1106.5012072984223,1181.1766866440787,1141.4688249379542,2076.074869076173,1852.197272531236,1231.348227705334,1230.3941083526915,521.3872597056338,473.2448383745494
2026-06-14,33,560.3732622808066,497.3593711778116,1070.7841738402597,1105.651476402169,1165.9573522552653,1127.253412808686,1990.2844908395923,1910.3786254712595,1266.1848210980877,1214.258134755955,531.6110991688903,474.3887490679671
2026-06-15,34,561.4592135483182,495.1640458554972,1089.6081934104857,1111.138856144932,1167.487079669636,1151.6045105903097,1986.7095177996543,1893.329250641451,1234.1469327990203,1221.0539360766206,515.6028306729098,478.4481006364304
2026-06-16,35,560.9400120005357,495.2988333388992,1102.6366264119588,1092.6003939741051,1175.8846372292576,1140.061521577795,1992.908851219551,1898.927686366176,1248.3690584394992,1211.4333101604248,531.9898734116281,475.5302415355992
2026-06-17,36,561.0550549871349,491.8931630359239,1115.418623543691,1117.2016770812222,1159.0889753182614,1145.4365593904822,1928.0083012141552,1845.627035033709,1226.0311312481415,1196.5720219105433,520.3281600008002,479.4116827047754
2026-06-18,37,561.5497252436306,492.8281449871285,1089.383851289779,1108.9927310091982,1158.9866053757066,1176.0619963280876,2053.1415472216395,1892.381282846578,1242.907480031956,1174.620126833993,523.248394264632,478.8694427682302
2026-06-19,38,561.4408893598036,493.19420982537,1104.4638406434678,1086.6639101718852,1147.1040749670549,1163.2756892794894,2017.1349628084968,1961.9705462769853,1248.1739877209905,1187.89527221005,516.1404765841249,481.7627555288854
2026-06-20,39,561.2845773330728,489.5505599815838,1124.2891517066118,1090.0023902335788,1149.5272630291588,1149.1131746812111,2025.2794092026732,1955.67597996054,1259.7948356890963,1229.9068611287908,511.1339716376248,488.0422900796851
2026-06-21,40,562.5723233664565,492.0784724531305,1128.9270155272925,1102.8624242282365,1150.083250824849,1172.7181489844968,1997.391712186865,1826.0482506189576,1258.965852087218,1243.3892408369036,516.7608307963422,483.35253671490506
2026-06-22,41,561.9504786318106,492.7149848304352,1109.3949055369785,1110.451318737878,1150.913771940635,1176.7690294000606,2010.450463504933,1833.6968927723865,1257.6323332298,1238.9273393944036,515.19350141999,483.3172252246244
2026-06-23,42,560.3663673006746,486.5982865346725,1109.296059182136,1121.0758080344042,1145.287574284587,1178.1760674468444,2037.9193822985037,1877.156724036011,1249.166762167789,1224.1507574546474,522.9225141128825,484.6710001595396
2026-06-24,43,559.79784566649,482.2499764201423,1102.0207578568393,1108.8192658784349,1146.1216714769148,1155.8392802476435,2010.0303706755385,1799.93580175463,1253.9963023419211,1245.3924417709868,515.2607536087405,479.34345997062576
2026-06-25,44,562.1585615331282,487.5578833337969,1111.3627031356596,1107.1633876030005,1161.365219675905,1163.0150161811282,2034.4482379430644,1889.9147210398,1260.2123202347905,1224.0502943935005,518.6712992901796,488.09191764640974
2026-06-26,45,561.1926268576283,477.38065756478215,1124.0930219767058,1113.6190443938735,1155.1394136928038,1147.3832285986389,1988.6332936885387,1822.1949846417751,1243.7079287833992,1229.4186773147942,531.7375266668856,489.45698362811527
2026-06-27,46,559.5476617895954,482.03068239099497,1113.2607361020755,1099.9986647005996,1154.3597208178471,1147.6363375585288,2047.428643730754,1889.1453933704083,1253.9208075100323,1195.357546910796,521.5224113842531,482.2606673191541
2026-06-28,47,559.2438883047805,474.38118626886313,1124.90302110155,1123.4959463183593,1139.147221325941,1128.08988090582,2002.1182810963687,1824.260574819869,1253.136507528944,1231.8125465058515,516.3602017499309,477.9361289757953
2026-06-29,48,560.5468594771081,472.56139527135497,1115.084182219546,1102.0660945339512,1145.451989008949,1142.1681260201372,2043.4850497878008,1811.665439083446,1244.0971195050809,1217.680614019608,524.1892824008461,478.4544113966587
2026-06-30,49,560.4097251830503,478.2762158702972,1146.0504222280351,1121.6905068761778,1138.9021182678223,1142.6116487650029,2035.8315586049648,1866.5631836096711,1219.016418740576,1203.6238015683923,517.5373667812797,481.6167854872784
2026-07-01,50,558.7873700315847,478.5741328150995,1138.7204287266277,1122.276831880397,1151.0096330145202,1166.2955727483495,2067.213607848715,1845.1274774054093,1216.039220190154,1225.894454065305,518.0040301313752,479.8293480546189
2026-07-02,51,559.1169605261022,476.4312158447118,1137.0492095698698,1110.769902980942,1148.9881643733772,1179.737149687974,1988.452130709936,1828.545796597044,1211.3190926217976,1226.360490278215,519.6871065372756,479.4911740114982
