[2025-10-09 21:46:28] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000270-CCTD-煤炭价格_朔州_朔州市, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:29] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000271-CCTD-煤炭价格_朔州_右玉县, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:29] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000273-CCTD-煤炭价格_到岸价格_印尼, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:29] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:29] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:30] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:30] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000351--煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:30] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000347--煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:30] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000349--煤炭运费_水运价格_国际煤炭海运费, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:30] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000352--煤炭运费_水运指数_中国沿海煤炭运价综合指数, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:31] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000353--煤炭运费_水运指数_中国沿海散货运价指数, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:31] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000354--煤炭运费_水运指数_国际航运指数, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:31] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000355--煤炭运费_水运指数_海运煤炭价格指数, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:31] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000357--港口煤炭数据_港口库存及调度_港口库存及调度(日)_秦皇岛港, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:31] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000362--港口煤炭数据_港口库存及调度_港口库存及调度(日)_广州港, 请求时间范围:2025-10-07 到 2025-10-07, 记录数:0, 是否有空值:False
[2025-10-09 21:46:32] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\60+, 表:输入00000019-CCI指数_处理后, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:33] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:33] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000232--煤炭价格_国内煤价_地区价格_浙江省_金华市, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:33] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000233--煤炭价格_国内煤价_地区价格_浙江省_宁波市, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:33] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000234--煤炭价格_国内煤价_地区价格_浙江省_衢州市, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:34] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000235--煤炭价格_国内煤价_地区价格_浙江省_绍兴市, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
[2025-10-09 21:46:34] 来源:C:\Users\ASUS\AppData\Local\Temp\coal_direct_g5tfpqdv\500+, 表:输入00000236--煤炭价格_国内煤价_地区价格_浙江省_台州市, 请求时间范围:2025-10-06 到 2025-10-06, 记录数:0, 是否有空值:False
