unit,source_rows,source_last_date,last_actual,day1,day30,day60,day90,day180,min_pred,max_pred,has_negative,pct_day30_vs_day1,pct_day90_vs_day1,pct_day180_vs_day1
yongan_7,1121,20260512.0,588.19,574.0976004851295,559.661595528934,558.0095067885578,561.5924330638942,560.9910805919542,556.1321328106926,574.0976004851295,False,-2.514555877606306,-2.1782302191592717,-2.282977647372142
yongan_8,990,20260402.0,412.88,438.32783846509744,495.25815485119904,483.2027630005393,516.6231780287111,482.3877306492254,438.32783846509744,528.5381605375563,False,12.988067695051209,17.862278571623968,10.051812437561214
kemen_1,1244,20260423.0,927.0,1016.4365378413742,1093.2803689636587,1168.927405872449,1178.3623272448517,1155.927600238966,1016.4365378413742,1220.9922129764498,False,7.5601208989868995,15.930732847066121,13.72353877536041
kemen_2,1219,20260510.0,899.0,1050.9118766385557,1090.517849373433,1151.613154384525,1132.8079684858233,1105.0475959143994,1033.001349469896,1216.3202514007685,False,3.7687244397276,7.792860054947726,5.151309113472213
kemen_3,1331,20260512.0,1364.0,1268.8971015247648,1192.1157732059671,1199.7774894195811,1184.8969349197812,1185.4008429940534,1122.69606892128,1268.8971015247648,False,-6.051028741931375,-6.619935257480314,-6.580222969252469
kemen_4,1214,20260512.0,1365.0,1223.5192088784577,1136.543555563566,1135.706158869619,1135.772546773551,1138.6102059774344,1080.4803541126016,1223.5192088784577,False,-7.108646328047275,-7.171661995020074,-6.939735991464769
kemen_5,639,20260512.0,2224.1628,2016.985451525291,2032.3840518974455,2007.375824892782,2066.919161126445,2025.419996325756,1872.104240007044,2137.522085125017,False,0.763446278727975,2.4756603754079176,0.41817578773741815
kemen_6,562,20260512.0,2190.2076,2020.517693423724,1947.0576390323629,1849.542600735018,1832.8673173951504,1844.4363685181304,1698.3279914928034,2020.517693423724,False,-3.6357045835557433,-9.287242405217654,-8.71466384475098
shaowu_3,1290,20260512.0,1319.0,1250.935226596226,1242.4867014584784,1260.232660186837,1272.351080424923,1242.1716531426437,1204.2661439502626,1295.12573410476,False,-0.675376706812858,1.7119874293547,-0.7005617291174882
shaowu_4,1139,20260403.0,985.0,1136.4082253965998,1200.49065977739,1210.462672260076,1195.9503120276836,1211.044625270712,1119.751332096015,1274.2393616248112,False,5.6390329591662125,5.2394980342828745,6.567745481432485
zhangping_5,1144,20260512.0,582.6,560.6934597501607,531.1528938867368,521.7628070324278,530.2746668961586,524.3266840502034,517.1237078031038,560.6934597501607,False,-5.268576857769469,-5.425209145039156,-6.486035295678672
zhangping_6,1047,20260403.0,491.13,459.3565811318021,470.2383274760088,469.28199559017673,483.2514431904775,477.8482952395969,459.3565811318021,490.744162962216,False,2.3689105133522403,5.201811194214567,4.025568559882897
