day,yongan_7,yongan_8,kemen_1,kemen_2,kemen_3,kemen_4,kemen_5,kemen_6,shaowu_3,shaowu_4,zhangping_5,zhangping_6
1,574.0976004851295,438.32783846509744,1016.4365378413742,1050.9118766385557,1268.8971015247648,1223.5192088784577,2016.985451525291,2020.517693423724,1250.935226596226,1136.4082253965998,560.6934597501607,459.3565811318021
2,567.7331268592657,458.06013767214415,1028.7659160209723,1033.001349469896,1222.4830081733508,1195.9064973631423,2044.168367419485,1963.763855561767,1222.5929161019246,1119.751332096015,553.5318208716814,462.7339885339068
3,566.4556251565087,463.7631868557999,1045.758535239431,1065.228366928511,1217.9724382097472,1180.501956101025,2015.80776575984,1962.1264740234997,1223.321538979255,1179.9262265139232,545.9248747851778,466.79695845136143
4,566.1915738881291,466.5714983452701,1058.8495268094252,1055.8981968944756,1210.2711190683422,1186.6251749243468,1992.223738643479,1940.677040977404,1244.3254116989208,1201.8219606181913,544.1845553837408,465.7149867009259
5,566.6887651611264,468.3242383973219,1067.6591714577344,1090.5800880464033,1197.5858837468045,1154.8579456331206,2039.6021047404197,1905.8169932773235,1225.3505395808124,1177.91291591616,541.6469336185354,462.3917691316653
6,564.9553970480121,483.5401991584689,1074.6247059419718,1098.3106242818292,1162.6050305006067,1148.9697592655475,1942.04431126804,1867.985817183167,1246.0510403758124,1187.6913434900966,531.2290045111582,466.9390224739952
7,567.613013028046,478.20173975042616,1074.831552382062,1074.787142806744,1170.60664650292,1140.9106001820865,2033.094167290408,1900.3609114025912,1219.080846442533,1201.6422248468125,534.021233780196,460.5707372389297
8,566.4536551621853,469.9419416596119,1106.2024042370597,1104.6581122604182,1173.1536492707526,1130.4053113399168,1970.8186728899093,1868.7639137171648,1248.8094672761108,1184.0114672307332,533.2477257260439,471.4892873614484
9,565.4339255959931,485.0105291212952,1082.3804357491367,1088.6942817016864,1187.4294871804414,1150.8938768368166,2066.670321160162,1971.785939187556,1266.347420201249,1242.1558894147129,536.7395424602618,462.9760538340055
10,563.1664495246672,480.2099481844258,1091.1157207257938,1091.2347277405972,1179.0652985378272,1136.0463041529538,1975.151681281775,1855.15607608218,1274.050879103462,1226.2146852377296,532.5307917896066,472.924598756864
11,565.742912182788,483.9356863022677,1110.0513025212272,1098.6170033073258,1180.8680446298986,1160.609582245432,2028.5616293411017,1947.238216465141,1239.9262643744808,1201.8944361635374,535.5158880228755,471.09410072378586
12,565.788384117573,467.0425876426648,1084.7511489372027,1109.0259208225254,1191.7489782806892,1157.442601461008,2066.606891364835,1920.184867153941,1239.896912712278,1208.9241990674457,527.1596057841549,472.2081117184577
13,564.6835612408206,472.0710304372452,1113.6529955618878,1150.2211851994086,1177.3501677830516,1135.9495595258022,1973.4193324196808,1931.219744026132,1240.1555876257976,1216.8749261631715,533.9063138576321,470.3971392854024
14,564.8121997092678,475.3950903033543,1087.0076616144283,1113.825226413398,1192.276606005747,1154.151454017015,2035.57450234395,1864.2301048247368,1220.5110035052962,1189.9889298419785,533.087386841699,477.4873188555656
15,564.6573534735602,486.882711850306,1097.0280915684702,1097.3114254946086,1186.9026313966813,1165.41793234704,1988.8523274656268,1948.4563494098304,1238.5518111961896,1179.4539096380186,531.8418560239353,478.6207116152692
16,563.7827120084881,479.54697193703294,1096.2054220087196,1088.1192692494608,1179.5543818303584,1159.963614566212,2025.1988895143047,1853.962172224144,1247.3033868900395,1206.6518524413043,536.458573019045,480.2050944942845
17,562.4227946748413,479.8241258171736,1059.718482985434,1097.918459358292,1192.2132483389296,1158.8375596273847,2046.814949716579,1921.091450496228,1218.8611307722515,1180.138522564511,535.9928830180381,475.2824138461752
18,560.4795573401452,489.0005236702663,1093.0986725644557,1104.4179484016493,1180.8463951853205,1147.583767608339,2025.5386396216784,1866.9132626854844,1243.9805698391074,1166.6998802365283,538.5308667923872,475.9534400377512
19,560.1016605680045,498.327109907135,1065.5560912953915,1094.6434641012545,1191.8835416841848,1145.2352894153605,1992.1394268190809,1906.837941477341,1250.4143684956937,1207.180750377696,538.6631631538526,470.9847232028477
20,557.7768673857884,507.162188655745,1086.4194057020552,1112.7042610053018,1182.62775499462,1144.3387792770632,2032.9961026526744,1884.764045464068,1234.1375595492293,1184.0908088078836,542.4359217590543,474.4773064739637
21,558.7685290346873,492.6974710586624,1074.614928231267,1134.167778800438,1175.8499758953803,1136.2113615596472,2001.3876881688448,1857.4003318766404,1225.2515312823052,1177.6240811720168,546.9637043753714,479.71819956535455
