index,day1,day5,day10,day20,day30,day60,day120,pct_5,pct_10,pct_20,pct_30,pct_60,pct_120
CCI4500,650.0,673.0,681.0,668.0,641.0,626.0,642.0,3.5384615384615348,4.76923076923077,2.7692307692307683,-1.3846153846153841,-3.6923076923076947,-1.2307692307692353
CCI5000,749.0,771.0,780.0,766.0,737.0,719.0,737.0,2.9372496662216196,4.1388518024032095,2.2696929238985364,-1.602136181575431,-4.005340453938588,-1.602136181575431
CCI5500,834.0,864.0,873.0,861.0,830.0,808.0,823.0,3.597122302158273,4.6762589928057485,3.237410071942448,-0.47961630695443347,-3.1175059952038398,-1.3189448441247031
CCI3800out,609.022108393116,627.6320879588418,631.6847394646012,626.1237905665395,603.9941237707101,587.8537584562866,597.4280539619317,3.055714941913612,3.721150802107953,2.8080560521104303,-0.8255832675224339,-3.4757933488952175,-1.9037165106821519
CCI4700out,740.240221327927,754.3534310514697,762.1568607491002,757.5565994270924,731.7116303114049,713.9490832319461,724.7666822025232,1.9065715854003296,2.9607469021146526,2.3392917056170415,-1.1521382884629783,-3.5517035333228475,-2.0903402273448
CCI5500out,941.9096437386052,975.683556550152,984.6352372796724,958.5913812525137,908.1959865258124,884.2296476052179,916.581981227042,3.5856850002609963,4.536060738425163,1.7710549652826257,-3.5792878262693395,-6.123729225708441,-2.688969444142564
