index,day1,day30,day60,day120,change,pct_change,trend
CCI4500,653.0,634.0,622.0,620.0,-33.0,-5.053598774885145,down
CCI5000,751.0,730.0,714.0,711.0,-40.0,-5.326231691078561,down
CCI5500,837.0,821.0,800.0,794.0,-43.0,-5.137395459976105,down
CCI3800out,607.7604834665829,597.0070512788672,581.3875953099307,572.635003475338,-35.1254799912449,-5.779493887278416,down
CCI4700out,739.8504324482269,724.3894211178595,707.284302645129,695.2675740749103,-44.58285837331664,-6.025928541501049,down
CCI5500out,934.5701562665982,895.8089381776563,873.5903963064102,868.3448644396223,-66.22529182697599,-7.086176611024199,down
