date,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
2026-05-14,653.0,751.0,837.0,607.7604834665829,739.8504324482269,934.5701562665982
2026-05-15,654.0,751.0,840.0,608.8802884521597,738.3065208556845,934.572645143919
2026-05-16,654.0,752.0,842.0,609.7356143481303,737.1868818409482,934.5464778724324
2026-05-17,655.0,752.0,843.0,610.3264611544947,736.4915154040178,934.4916544521384
2026-05-18,655.0,752.0,844.0,610.6528288712526,736.2204215448926,934.4081748830356
2026-05-19,655.0,752.0,845.0,609.9857402946524,735.813359158778,933.1892803592812
2026-05-20,654.0,751.0,844.0,609.7391754247183,736.2145393195589,932.2422732237628
2026-05-21,654.0,752.0,844.0,610.4764236640546,737.9274693433058,933.4623896146924
2026-05-22,652.0,749.0,841.0,607.6681574589863,734.9008472965226,928.0933314484136
2026-05-23,653.0,750.0,843.0,609.2731740366453,737.6381879513974,931.4218459891008
2026-05-24,653.0,751.0,844.0,610.5261998792164,739.1204891953632,930.5390314385484
2026-05-25,651.0,747.0,841.0,609.1991816923766,736.1730103181459,925.1354188531434
2026-05-26,652.0,749.0,843.0,612.2734932061785,740.1964799668995,929.3562661977958
2026-05-27,649.0,747.0,841.0,610.5934128499916,738.5735774945981,925.4371724351208
2026-05-28,650.0,748.0,842.0,612.0084708592893,741.382961884284,926.5496846502806
2026-05-29,648.0,746.0,839.0,609.3457497799739,738.7351126888127,923.1705885222786
2026-05-30,646.0,744.0,836.0,607.3039164735944,736.2731888216952,920.0358892809838
2026-05-31,643.0,739.0,832.0,603.3920127463689,731.3641503073829,913.2018341532016
2026-06-01,643.0,739.0,832.0,603.3435805743279,731.4889927123024,913.105668124259
2026-06-02,645.0,741.0,834.0,605.3864071128039,734.0995514427459,915.0461181667896
2026-06-03,642.0,738.0,830.0,602.6149383214256,731.3193617126159,910.199982913626
2026-06-04,641.0,737.0,829.0,602.9467277359593,731.3249663272392,908.0301239518784
2026-06-05,645.0,743.0,834.0,608.3020955571352,738.5498247325868,917.723389261248
2026-06-06,642.0,739.0,831.0,605.5727083189715,734.9677378935239,914.7418280715696
2026-06-07,642.0,740.0,832.0,606.848494954864,736.5406458220798,917.6521391838164
2026-06-08,640.0,737.0,829.0,604.5215589681889,733.4376953236668,913.9551262856236
2026-06-09,639.0,735.0,827.0,601.9091262312563,730.9843714326457,910.217487090944
2026-06-10,639.0,735.0,826.0,601.9920941156504,731.0357025977328,906.9652769570424
2026-06-11,636.0,732.0,824.0,599.194365598152,727.3001239695119,900.4537312188859
2026-06-12,634.0,730.0,821.0,597.0070512788672,724.3894211178595,895.8089381776563
2026-06-13,636.0,732.0,823.0,598.0430681018383,725.7530583355382,900.2526524373257
2026-06-14,633.0,728.0,818.0,593.9018110897673,720.3952643083214,893.4538278452119
2026-06-15,633.0,728.0,818.0,593.5513274374607,719.5964975227373,893.8289449229828
2026-06-16,635.0,730.0,820.0,595.848626614097,722.3283559088633,896.7892783791364
2026-06-17,632.0,726.0,815.0,591.4596152836597,717.3163169261992,889.1267263733292
2026-06-18,632.0,727.0,817.0,592.8763829258032,718.6776727894064,889.6783579285727
2026-06-19,630.0,724.0,814.0,590.2784951879266,715.9491006662747,885.9934923189228
2026-06-20,629.0,723.0,813.0,589.1072121487066,715.4344682667531,885.8471799410436
2026-06-21,628.0,722.0,810.0,586.7664267098146,713.0687059096526,883.5914948495266
2026-06-22,627.0,721.0,807.0,584.6777016201105,711.490314480087,880.506837034778
2026-06-23,628.0,722.0,809.0,586.4713778346706,712.9887017419987,882.5546589203391
2026-06-24,631.0,726.0,813.0,590.9513749901416,718.5001358403995,888.0330931850331
2026-06-25,632.0,728.0,816.0,593.6003392103241,720.937317410901,891.3233098967321
2026-06-26,634.0,729.0,818.0,595.4650574148318,723.1168411520589,893.5368626410403
2026-06-27,632.0,727.0,817.0,593.64674045281,720.7528246148393,891.3814512290082
2026-06-28,631.0,726.0,815.0,592.701686618979,720.3702963906567,891.9010404628698
2026-06-29,626.0,719.0,807.0,584.675366240703,711.2514949520885,879.4145759974724
2026-06-30,625.0,719.0,804.0,583.0770291618196,710.407544984288,876.7426502265532
2026-07-01,625.0,719.0,805.0,583.989510954684,711.8386117956243,878.2445386843569
2026-07-02,627.0,722.0,808.0,587.3064283270025,716.509473288485,884.1451662553811
2026-07-03,629.0,724.0,811.0,590.7805837934094,719.6774589221642,888.9762925308762
2026-07-04,633.0,729.0,817.0,596.1312870602396,726.0378830809342,896.1976785893299
2026-07-05,637.0,734.0,823.0,601.8549062374414,732.2612927405735,904.4088439450622
2026-07-06,636.0,732.0,821.0,599.912982463052,730.6400462504871,903.0174053535776
2026-07-07,633.0,728.0,816.0,595.7777476207234,725.9043540602621,896.9743601263729
2026-07-08,630.0,725.0,813.0,592.9939941097683,722.4471117385655,892.6724057822169
2026-07-09,625.0,719.0,805.0,585.7510485793832,714.0869240498305,882.3999314840509
2026-07-10,624.0,717.0,802.0,582.8309450951549,710.7466380466004,879.447257105385
2026-07-11,622.0,714.0,800.0,581.1965079590577,707.6055363784673,875.9692197415789
2026-07-12,622.0,714.0,800.0,581.3875953099307,707.284302645129,873.5903963064102
2026-07-13,624.0,717.0,803.0,584.9944539867186,711.180838155927,877.7778135013704
2026-07-14,624.0,718.0,803.0,584.9476150706412,711.9455383342797,878.8334771848756
2026-07-15,629.0,724.0,809.0,590.6333243814589,719.1602246923954,889.0752644145557
2026-07-16,633.0,729.0,814.0,594.9426046645673,724.8261464812385,898.013077655193
2026-07-17,634.0,730.0,814.0,594.2296455861097,725.2687966416213,899.8859044782763
2026-07-18,640.0,737.0,821.0,600.1250768537316,733.4914129081117,911.5448887141372
2026-07-19,639.0,735.0,820.0,598.6624883454836,731.6535576245894,909.2872343199484
2026-07-20,635.0,730.0,814.0,592.7442738795128,723.6527158760061,898.8838155936444
2026-07-21,635.0,730.0,815.0,593.1152743323933,723.6569519772099,898.2104817757938
2026-07-22,633.0,727.0,811.0,589.5849951773196,718.9014561854939,891.6035133321077
2026-07-23,631.0,725.0,809.0,587.7359884982336,716.0784865334001,888.2702109122527
2026-07-24,631.0,725.0,811.0,589.4227387448865,717.5486251891653,890.0371835082633
2026-07-25,628.0,722.0,807.0,586.0063713590713,713.6417687329788,884.8784987181452
2026-07-26,631.0,725.0,810.0,589.1867908418499,717.9146966316576,889.4754364194226
2026-07-27,628.0,722.0,806.0,586.514753493647,715.3219242040775,885.4648027221729
2026-07-28,626.0,720.0,804.0,584.5169674369388,712.430195935925,882.3361316994727
2026-07-29,626.0,720.0,803.0,584.4543322872016,713.184927037971,882.6699778152315
2026-07-30,620.0,713.0,794.0,575.9598118121119,703.3437375827563,870.0944446170442
2026-07-31,616.0,708.0,788.0,570.4580689743532,696.9735501645401,861.8442104808471
2026-08-01,613.0,704.0,785.0,567.7501136959568,692.6889671343132,855.5463048482396
2026-08-02,609.0,700.0,780.0,562.5711702555118,686.8480858162146,847.7974686008184
2026-08-03,611.0,703.0,783.0,565.1609949841747,690.0220688622546,852.1256549560817
2026-08-04,613.0,705.0,786.0,568.8334084442815,694.2087503424727,857.9934710532838
2026-08-05,615.0,708.0,789.0,572.4698373192385,698.4470726666035,863.8775986949754
2026-08-06,617.0,710.0,791.0,574.8341797054815,702.0924612903557,869.3468069212174
2026-08-07,617.0,710.0,791.0,574.675610451163,702.1954440963054,868.0877688531987
2026-08-08,618.0,711.0,791.0,575.3464008553185,703.0171328068582,868.8304264620617
2026-08-09,615.0,708.0,789.0,572.8854061110219,699.3673420787952,863.8760455159171
2026-08-10,613.0,706.0,786.0,569.9023791846759,696.2149315443437,859.6604323400366
2026-08-11,610.0,701.0,781.0,565.8013849546387,690.4964417088321,853.6720161793362
2026-08-12,607.0,697.0,778.0,562.5707412423249,685.390278054911,847.7132152146319
2026-08-13,604.0,693.0,773.0,558.5345143881555,679.7507208337695,840.1230628064556
2026-08-14,603.0,693.0,773.0,558.713875292412,679.7128413921822,842.664547429753
2026-08-15,603.0,692.0,773.0,558.0888096712628,678.7303171180428,841.1947073972058
2026-08-16,604.0,693.0,773.0,557.8586980624151,678.702102883165,843.0152792397134
2026-08-17,605.0,694.0,774.0,558.2187835615343,679.363799351147,844.9566790129927
2026-08-18,607.0,697.0,775.0,558.760490589082,680.7855285463875,847.5154779831109
2026-08-19,608.0,697.0,776.0,558.4539421613097,680.600563867863,846.782349550384
2026-08-20,609.0,699.0,778.0,560.0162910357694,682.0766922636994,847.4837044249615
2026-08-21,611.0,701.0,781.0,563.053927415627,685.7301826781895,851.2031863920013
2026-08-22,615.0,706.0,787.0,568.0531420354146,691.6640700243024,861.5428318695185
2026-08-23,615.0,706.0,787.0,567.140494229915,689.8882256591378,861.2025913990713
2026-08-24,618.0,709.0,791.0,570.3477310654747,693.2434781422153,866.6560580863261
2026-08-25,618.0,709.0,791.0,569.4946284548362,691.741824142772,866.3148858433715
2026-08-26,622.0,713.0,795.0,573.3391479851739,696.8474192844612,873.6936508612021
2026-08-27,623.0,716.0,798.0,575.7260489593666,699.6692569291529,876.3335598827609
2026-08-28,623.0,715.0,797.0,575.5857869390602,699.1718557577715,874.7978310306462
2026-08-29,624.0,717.0,800.0,577.7066198117127,702.4677702277698,878.874835946304
2026-08-30,628.0,721.0,805.0,582.115269665652,707.4979752842797,885.5509574973959
2026-08-31,628.0,722.0,805.0,583.030995706475,708.2609689577328,887.4476376838143
2026-09-01,631.0,724.0,809.0,586.4275911296156,711.9793074385938,890.1732120783629
2026-09-02,631.0,725.0,809.0,586.4171362113871,712.2729672578057,891.0640185603177
2026-09-03,630.0,723.0,808.0,585.2002709626903,710.6177914401871,889.2790388598548
2026-09-04,628.0,722.0,806.0,583.2220008050458,708.0672544807604,886.9347848464936
2026-09-05,623.0,715.0,799.0,576.8139341531005,699.6919256832466,877.0882704913682
