date,CCI3800out_balanced,CCI5000_balanced,CCI3800out_aggressive,CCI5000_aggressive
2026-07-16,563.94,719.0,563.94,719.0
2026-07-17,552.5819629847704,719.0,556.64588139724,721.0
2026-07-20,556.9757110772235,721.0,562.032199201001,723.0
2026-07-21,560.8213636268556,723.0,566.9108843951225,726.0
2026-07-22,564.1189206336658,725.0,571.2819369796036,729.0
2026-07-23,568.2138285789197,725.0,575.8831098852288,731.0
2026-07-24,572.6284705735136,731.0,581.6170750250844,737.0
2026-07-27,577.7207346680424,736.0,587.2885890558312,744.0
2026-07-28,577.3788700346977,738.0,588.5542428805425,747.0
2026-07-29,584.9654459525709,744.0,597.8977732861223,755.0
2026-07-30,585.4379604130046,746.0,598.4705444481187,756.0
2026-07-31,592.8976015064341,752.0,604.8160777959499,761.0
2026-08-03,597.3088502780311,757.0,608.7190207677818,765.0
2026-08-04,597.468174728355,758.0,609.6956069498228,767.0
2026-08-05,608.3236764769179,766.0,618.8014581884661,774.0
2026-08-06,616.5640116007212,774.0,625.4297047598873,781.0
2026-08-07,621.5004500411499,776.0,630.5622511724752,784.0
2026-08-10,631.0083251998724,782.0,639.7511100254287,791.0
2026-08-11,629.555330183181,782.0,640.7631942401922,793.0
2026-08-12,631.1584972404355,784.0,645.7280505748104,798.0
2026-08-13,628.4472422555705,783.0,646.3953919350417,801.0
2026-08-14,622.7536804870717,781.0,644.0668580792848,801.0
2026-08-17,621.927635723245,780.0,643.8318391261084,802.0
2026-08-18,622.1871943625629,781.0,643.6143653111827,802.0
2026-08-19,625.5077403125977,781.0,646.8106814612661,802.0
2026-08-20,629.2801576838385,782.0,649.5029623815436,803.0
2026-08-21,633.8543263559447,786.0,653.2532066736264,806.0
2026-08-24,634.6484584601801,787.0,653.42709495489,807.0
2026-08-25,643.1003946630368,795.0,658.843254836529,813.0
2026-08-26,647.3659662320956,799.0,661.3248241171816,815.0
2026-08-27,651.1877445756929,800.0,664.5714440659983,815.0
2026-08-28,650.8768119544475,800.0,663.8713203320455,815.0
2026-08-31,657.227802263168,804.0,671.0411031413921,820.0
2026-09-01,663.5232371268924,811.0,676.6281637792264,827.0
2026-09-02,667.5921697702195,813.0,681.072776134747,830.0
2026-09-03,667.9361117347598,814.0,682.1826064065311,832.0
2026-09-04,674.8341876510294,820.0,690.3293588834463,839.0
2026-09-07,679.134969563623,822.0,694.3931620058355,841.0
2026-09-08,677.4368643455584,820.0,693.2903141465953,838.0
2026-09-09,674.175955647951,819.0,688.0195740523518,835.0
2026-09-10,678.1420829525338,822.0,689.9066704407167,836.0
2026-09-11,684.0516734005723,828.0,691.9890850174497,840.0
2026-09-14,685.1935688599609,827.0,693.4877599227889,840.0
2026-09-15,692.9548944971787,833.0,700.561298713698,845.0
2026-09-16,693.2418049640761,834.0,702.7136399874221,848.0
2026-09-17,699.2827563790877,840.0,708.4863048760791,852.0
2026-09-18,694.9531478298193,837.0,707.0675942716927,851.0
2026-09-20,693.4056855723738,836.0,706.1568403721728,852.0
2026-09-21,685.5319377416388,830.0,699.6335641625069,847.0
2026-09-22,683.2021604631115,830.0,696.9494246446907,846.0
2026-09-23,682.1886065421018,829.0,697.0708964620123,846.0
2026-09-24,683.4123228818225,831.0,697.3089078287007,847.0
2026-09-28,684.6527486932445,834.0,698.223445812291,850.0
2026-09-29,690.7109907043971,839.0,704.7452238426711,855.0
2026-09-30,693.5214165560352,840.0,709.1678276537498,859.0
2026-10-08,698.8186103335702,843.0,715.7284170095099,863.0
2026-10-09,699.8766699305258,842.0,716.2419246706004,862.0
2026-10-10,698.7298031813964,841.0,714.4602496243432,860.0
2026-10-12,693.9649594417326,838.0,709.2078820159704,856.0
2026-10-13,694.9784026437856,840.0,708.565507265945,856.0
