date,真实值,预测值
2025-10-15,8.66,8.227817
2025-10-16,8.69,8.44094
2025-10-17,8.72,8.588181
2025-10-20,8.71,8.68755
2025-10-21,8.75,8.718615
2025-10-22,8.81,8.744884
2025-10-23,8.84,8.797533
2025-10-24,8.8,8.763772
2025-10-27,8.78,8.812563
2025-10-28,8.77,8.812563
2025-10-29,8.75,8.728527
2025-10-30,8.73,8.747514
2025-10-31,8.72,8.829938
2025-11-03,8.68,8.880298
2025-11-04,8.63,8.880298
2025-11-05,8.64,8.880298
2025-11-06,8.7,8.880298
2025-11-07,8.74,8.880298
2025-11-10,8.75,8.880298
2025-11-11,8.8,8.880298
2025-11-12,8.89,8.880298
2025-11-13,8.9,8.880298
2025-11-14,8.88,8.880298
2025-11-17,8.86,8.880298
2025-11-18,8.86,8.783579377839057
2025-11-19,8.87,8.786058532252452
2025-11-20,8.92,8.815998607982287
2025-11-21,8.96,8.874326912851036
2025-11-24,8.95,8.925602741819434
2025-11-25,9.01,8.951941813844618
2025-11-26,9.1,8.958735208222361
2025-11-27,9.09,8.987387194777975
2025-11-28,9.08,8.920459548487804
2025-12-01,9.06,8.90620216716419
2025-12-02,9.01,8.976977963303076
2025-12-03,8.97,9.030644898848095
2025-12-04,8.94,9.058844611428
2025-12-05,8.82,6.369646129608152
2025-12-08,8.74,8.9891044362386
2025-12-09,8.66,8.765657662478354
2025-12-10,8.49,8.636670181390008
2025-12-11,8.36,8.419264282457751
2025-12-12,8.14,8.289075376915209
2025-12-15,7.75,8.098833174272015
2025-12-16,7.52,7.7528978578972065
2025-12-17,7.25,7.517849452856813
2025-12-18,7.07,7.210347062891179
2025-12-19,6.84,7.042704943743617
2025-12-22,6.61,6.812618907870665
2025-12-23,6.39,6.536620288328689
2025-12-24,6.26,6.297099287437668
2025-12-25,6.14,6.143529609622374
2025-12-26,6.08,6.085681196270564
2025-12-29,6.09,6.006728776006986
2025-12-30,6.12,5.932872918735848
2025-12-31,6.12,6.000979004773224
2026-01-01,,9.73296324608629
2026-01-02,,9.63722727355115
2026-01-05,6.09,6.403062635603402
2026-01-06,6.11,6.458467864081964
2026-01-07,6.14,6.527999257339534
2026-01-08,6.28,6.601664834951416
2026-01-09,6.28,6.666021810176559
2026-01-12,6.29,6.508206492832726
2026-01-13,6.28,6.458467864081964
2026-01-14,6.25,6.559602454049237
2026-01-15,6.19,6.563702584056101
2026-01-16,6.12,6.559615133706616
2026-01-19,6.18,6.5111219757872645
2026-01-20,6.27,6.597118595915946
2026-01-21,6.18,6.698023300996581
2026-01-22,6.18,6.69616671178247
2026-01-23,6.34,6.652129842419635
2026-01-26,6.32,6.842252097769723
2026-01-27,6.3,6.74713567601653
2026-01-28,6.31,6.709894010205279
2026-01-29,6.33,6.678235631422552
2026-01-30,6.4,6.572021995395806
2026-02-02,6.42,6.671507575831885
2026-02-03,6.43,6.775357217417126
2026-02-04,6.4,6.844345181452754
2026-02-05,6.38,6.409228671513375
2026-02-06,6.36,6.373524916376272
2026-02-09,6.33,6.6276145006203775
2026-02-10,6.28,6.60583003086265
2026-02-11,6.3,6.488363467964152
2026-02-12,6.35,6.422624347688584
2026-02-13,6.43,6.460261451063835
2026-02-16,,9.577089433642946
2026-02-17,,9.55254972636168
2026-02-18,,9.56360815170734
2026-02-19,,9.605019973985618
2026-02-20,,9.694604458753254
2026-02-23,,9.70924755536629
2026-02-24,6.71,7.26812743586467
2026-02-25,7.03,7.516627485188081
2026-02-26,7.25,7.714799428279925
2026-02-27,7.25,7.909974190347446
2026-03-02,7.55,7.888611866178696
2026-03-03,7.92,8.253330597006764
2026-03-04,8.23,8.497817239978746
2026-03-05,8.49,8.599707426358055
2026-03-06,8.51,8.8047453085541
2026-03-09,8.72,8.720540614304337
2026-03-10,8.72,8.785733918854374
2026-03-11,9.3,8.647206204553417
2026-03-12,9.61,9.029492454509612
2026-03-13,9.71,9.168622961312485
2026-03-16,9.76,9.22461913020523
2026-03-17,9.92,9.199105941597008
2026-03-18,10.13,9.34212638472225
2026-03-19,10.33,9.815965645335265
2026-03-20,10.41,9.939612832227642
2026-03-23,10.44,9.98653654958458
2026-03-24,10.29,9.966875026119723
2026-03-25,10.18,9.822924040937496
2026-03-26,9.87,9.767348712745004
2026-03-27,9.87,9.512507053907653
2026-03-30,9.78,9.055381349062417
2026-03-31,9.71,9.068974261039074
2026-04-01,9.65,9.1390542993207
2026-04-02,9.59,9.80162419878996
2026-04-03,9.69,9.811752087159707
2026-04-06,,9.798519027279092
2026-04-07,9.81,9.953584112215648
2026-04-08,9.83,9.994762178446337
2026-04-09,9.86,9.928398078863092
2026-04-10,9.92,9.7986331193633
2026-04-13,9.99,9.845897682156869
2026-04-14,9.99,9.929342814475454
2026-04-15,9.99,10.049200353920735
2026-04-16,9.99,10.312390042055256
2026-04-17,9.99,10.50844810283363
2026-04-20,9.99,10.593103343690624
2026-04-21,9.99,10.536672088684844
2026-04-22,9.99,10.498241184122715
2026-04-23,9.99,10.504127715740337
2026-04-24,9.99,10.495669075179414
2026-04-27,9.99,10.518879342722112
2026-04-28,9.99,10.76447800914308
2026-04-29,9.99,10.850841441437373
2026-04-30,9.99,11.022685920462068
2026-05-01,,9.847807821691491
2026-05-04,,9.794997131825404
2026-05-05,,9.769913857848604
2026-05-06,9.99,11.40481968673726
2026-05-07,9.99,11.341927758098516
2026-05-08,9.99,11.605384910731836
2026-05-11,9.99,11.77149901654906
2026-05-12,9.99,11.906559985194658
2026-05-13,9.99,11.980341839597576
2026-05-14,9.99,12.117893224061396
2026-05-15,9.99,12.17614868263182
2026-05-18,9.99,12.153216837840596
2026-05-19,9.99,12.0692372927987
2026-05-20,9.99,12.240223186504124
2026-05-21,9.99,12.269753004765402
2026-05-22,9.99,12.257905829694424
2026-05-25,9.99,12.356376984806827
2026-05-26,9.99,12.369031778334742
2026-05-27,9.99,9.69156303304034
2026-05-28,9.99,9.749108183470122
2026-05-29,9.99,9.80131300946734
2026-06-01,9.99,9.739660558476867
2026-06-02,9.99,9.743831941909797
2026-06-03,9.99,9.983385056225732
2026-06-04,9.99,9.986662906016088
2026-06-05,9.99,9.965199316477657
2026-06-08,9.99,9.931624447717594
2026-06-09,9.99,9.979325226386557
2026-06-10,9.99,10.13898831794025
2026-06-11,9.99,10.21480284301942
2026-06-12,9.99,10.52998283692372
2026-06-15,9.99,10.526149643186171
2026-06-16,9.99,10.341785979612991
2026-06-17,9.99,10.237153435413498
2026-06-18,9.99,11.181237547158048
2026-06-19,,9.734882110352522
2026-06-22,9.99,11.33062628139131
2026-06-23,9.99,11.278727523004736
2026-06-24,9.99,11.4898855081959
2026-06-25,9.99,11.74030636167953
2026-06-26,9.19,11.856794659463503
2026-06-29,9.13,10.804669101622116
2026-06-30,8.93,11.028720281021624
2026-07-01,8.89,10.933365170511909
2026-07-02,9.0,10.73239025650485
2026-07-03,9.04,9.645651748756832
2026-07-06,9.07,10.853204190770631
2026-07-07,9.08,10.783517368666026
2026-07-08,9.05,10.71660542955523
2026-07-09,9.06,10.468963540461134
2026-07-10,9.09,10.209915651966316
,,9.747598488410084
,,9.77231211463787
,,9.706834925873167
,,9.751984052221594
,,9.82124633520979
,,9.86534807691055
,,9.98400202289677
,,10.032422479565646
,,10.070328642997062
,,10.120463182550726
,,10.158301770701328
,,10.240496999741731
,,10.354605410966856
,,10.460548608453529
,,10.66607782271183
,,10.790546399597153
,,10.890192754500166
,,10.92695993111854
,,10.896217685049065
,,10.82656319424655
,,10.824841779257538
,,10.893114105331628
,,10.994228916963843
,,11.08248913419846
,,11.13075823025967
,,11.27663424468034
,,11.22041349951476
,,11.098484857292828
,,11.121362096861052
,,11.139938243876852
,,11.039926178860942
,,11.015544296152369
,,10.862101458535951
,,10.899484865911145
,,10.789141196709323
,,10.804253950388675
,,10.934464969948245
,,11.06811616340751
,,11.152624622193713
,,11.275994092618074
,,11.174102914602592
,,11.164217021608833
,,11.040129764608745
,,10.918514862343088
,,10.810742235794038
,,10.674989845329884
,,10.566129884059029
,,10.571756216269144
,,10.579093810608864
,,10.626326624429822
,,10.524455841111784
,,10.377499181966598
,,10.238538705063077
,,10.096884591555447
,,9.822202348770896
,,9.694691392196948
,,9.666318209959826
,,9.562799498035911
,,9.533807583016191
,,9.530874233350886
,,9.570775025948477
,,9.599503036345578
,,9.448585893492613
,,9.437080296709327
,,9.473862406464084
,,9.32239413665423
,,9.321929121748813
,,9.318580664889875
,,9.36288484292054
,,9.407030289726176
,,9.345245466842382
,,9.261951955389316
,,9.22627641633964
,,9.106795153747624
,,9.014241347381857
,,8.931196484701513
,,8.982606400690386
,,9.101141936048643
,,9.12849577452103
,,9.118955725502303
,,9.116717044570972
,,9.227888514448868
,,9.195474720264963
,,9.14251108178838
,,9.085226792394582
,,9.077574753573806
,,8.99924871218883
,,9.017804877195353
,,9.006982941361422
,,9.078501964621523
,,9.07782694289894
,,8.995581142127158
,,9.007067740978187
,,9.01832020586054
,,9.127678347822886
,,9.280593362249649
,,9.410095631875976
,,9.559586454358351
,,9.578829855063647
,,9.596150511702682
,,9.60623618229194
,,9.565312646149358
,,9.541835747761027
,,9.449759466761623
,,9.30686091349112
,,9.11314008794952
,,8.868596990136826
