date,CCI3800out_with_delta,CCI5000_with_delta,CCI3800out_no_delta,CCI5000_no_delta,CCI3800out_actual,CCI5000_actual,CCI3800out_with_delta_error,CCI3800out_no_delta_error,CCI5000_with_delta_error,CCI5000_no_delta_error
2026-07-16,563.94,719.0,577.0406655190594,718.0,563.94,725.0,0.0,13.100665519059362,-6.0,-7.0
2026-07-17,556.64588139724,721.0,569.7465469162993,721.0,563.94,730.0,-7.294118602760022,5.806546916299226,-9.0,-9.0
2026-07-20,562.032199201001,723.0,575.1328647200604,723.0,563.11,734.0,-1.0778007989989646,12.022864720060397,-11.0,-11.0
2026-07-21,566.9108843951225,726.0,580.0115499141818,725.0,563.11,736.0,3.8008843951224662,16.901549914181828,-10.0,-11.0
2026-07-22,571.2819369796036,729.0,584.3826024986631,728.0,563.94,736.0,7.341936979603588,20.442602498663064,-7.0,-8.0
