date,CCI3800out,CCI5000
2026-07-16,577.0406655190594,718.0
2026-07-17,569.7465469162993,721.0
2026-07-20,575.1328647200604,723.0
2026-07-21,580.0115499141818,725.0
2026-07-22,584.3826024986631,728.0
2026-07-23,588.9837754042882,730.0
2026-07-24,594.7177405441437,736.0
2026-07-27,600.3892545748904,743.0
2026-07-28,601.6549083996017,746.0
2026-07-29,610.9984388051816,754.0
2026-07-30,611.571209967178,755.0
2026-07-31,617.9167433150093,760.0
2026-08-03,621.819686286841,764.0
2026-08-04,622.7962724688821,766.0
2026-08-05,631.9021237075253,773.0
2026-08-06,638.5303702789467,780.0
2026-08-07,643.6629166915345,783.0
2026-08-10,652.8517755444882,790.0
2026-08-11,653.8638597592515,792.0
2026-08-12,658.8287160938697,797.0
2026-08-13,659.4960574541012,800.0
2026-08-14,657.1675235983441,800.0
2026-08-17,656.9325046451677,801.0
2026-08-18,656.7150308302421,801.0
2026-08-19,659.9113469803253,801.0
2026-08-20,662.603627900603,802.0
2026-08-21,666.3538721926857,805.0
2026-08-24,666.5277604739491,806.0
2026-08-25,671.9439203555884,812.0
2026-08-26,674.4254896362411,814.0
2026-08-27,677.6721095850577,814.0
2026-08-28,676.9719858511048,814.0
2026-08-31,684.1417686604515,819.0
2026-09-01,689.7288292982857,826.0
2026-09-02,694.1734416538063,829.0
2026-09-03,695.2832719255905,831.0
2026-09-04,703.4300244025055,838.0
2026-09-07,707.4938275248949,840.0
2026-09-08,706.3909796656546,837.0
2026-09-09,701.120239571411,834.0
2026-09-10,703.0073359597759,835.0
2026-09-11,705.089750536509,839.0
2026-09-14,706.5884254418482,839.0
2026-09-15,713.6619642327573,844.0
2026-09-16,715.8143055064814,847.0
2026-09-17,721.5869703951385,851.0
2026-09-18,720.168259790752,850.0
2026-09-20,719.2575058912322,851.0
2026-09-21,712.7342296815661,846.0
2026-09-22,710.05009016375,845.0
2026-09-23,710.1715619810716,845.0
2026-09-24,710.40957334776,846.0
2026-09-28,711.3241113313502,849.0
2026-09-29,717.8458893617304,854.0
2026-09-30,722.2684931728091,858.0
2026-10-08,728.8290825285694,862.0
2026-10-09,729.3425901896596,861.0
2026-10-10,727.5609151434026,859.0
2026-10-12,722.3085475350297,855.0
2026-10-13,721.6661727850044,855.0
