date,CCI3800out_original,CCI3800out_15pct,CCI5000_original,CCI5000_15pct
2026-07-16,563.94,563.94,719.0,719
2026-07-17,556.64588139724,559.674,721.0,721
2026-07-20,562.032199201001,562.824,723.0,722
2026-07-21,566.9108843951225,565.678,726.0,725
2026-07-22,571.2819369796036,568.234,729.0,727
2026-07-23,575.8831098852288,570.925,731.0,728
2026-07-24,581.6170750250844,574.279,737.0,733
2026-07-27,587.2885890558312,577.597,744.0,739
2026-07-28,588.5542428805425,578.337,747.0,741
2026-07-29,597.8977732861223,583.802,755.0,747
2026-07-30,598.4705444481187,584.137,756.0,748
2026-07-31,604.8160777959499,587.848,761.0,752
2026-08-03,608.7190207677818,590.131,765.0,755
2026-08-04,609.6956069498228,590.702,767.0,757
2026-08-05,618.8014581884661,596.028,774.0,762
2026-08-06,625.4297047598873,599.905,781.0,768
2026-08-07,630.5622511724752,602.907,784.0,770
2026-08-10,639.7511100254287,608.282,791.0,776
2026-08-11,640.7631942401922,608.874,793.0,777
2026-08-12,645.7280505748104,611.778,798.0,781
2026-08-13,646.3953919350417,612.168,801.0,784
2026-08-14,644.0668580792848,610.806,801.0,784
2026-08-17,643.8318391261084,610.668,802.0,784
2026-08-18,643.6143653111827,610.541,802.0,784
2026-08-19,646.8106814612661,612.411,802.0,784
2026-08-20,649.5029623815436,613.986,803.0,785
2026-08-21,653.2532066736264,616.179,806.0,787
2026-08-24,653.42709495489,616.281,807.0,788
2026-08-25,658.843254836529,619.449,813.0,793
2026-08-26,661.3248241171816,620.9,815.0,795
2026-08-27,664.5714440659983,622.799,815.0,795
2026-08-28,663.8713203320455,622.39,815.0,795
2026-08-31,671.0411031413921,626.583,820.0,799
2026-09-01,676.6281637792264,629.851,827.0,804
2026-09-02,681.072776134747,632.451,830.0,806
2026-09-03,682.1826064065311,633.1,832.0,808
2026-09-04,690.3293588834463,637.865,839.0,813
2026-09-07,694.3931620058355,640.242,841.0,815
2026-09-08,693.2903141465953,639.597,838.0,813
2026-09-09,688.0195740523518,636.514,835.0,810
2026-09-10,689.9066704407167,637.618,836.0,811
2026-09-11,691.9890850174497,638.836,840.0,814
2026-09-14,693.4877599227889,639.712,840.0,814
2026-09-15,700.561298713698,643.849,845.0,818
2026-09-16,702.7136399874221,645.108,848.0,821
2026-09-17,708.4863048760791,648.485,852.0,824
2026-09-18,707.0675942716927,647.655,851.0,823
2026-09-20,706.1568403721728,647.122,852.0,824
2026-09-21,699.6335641625069,643.307,847.0,820
2026-09-22,696.9494246446907,641.737,846.0,819
2026-09-23,697.0708964620123,641.808,846.0,819
2026-09-24,697.3089078287007,641.947,847.0,820
2026-09-28,698.223445812291,642.482,850.0,822
2026-09-29,704.7452238426711,646.297,855.0,826
2026-09-30,709.1678276537498,648.883,859.0,829
2026-10-08,715.7284170095099,652.721,863.0,832
2026-10-09,716.2419246706004,653.021,862.0,832
2026-10-10,714.4602496243432,651.979,860.0,830
2026-10-12,709.2078820159704,648.907,856.0,827
2026-10-13,708.565507265945,648.531,856.0,827
