date,CCI3800out_retrained,CCI5000_retrained
2026-07-23,576.2601296235185,741.0
2026-07-24,580.2220246776157,745.0
2026-07-27,587.6697082092276,752.0
2026-07-28,593.6244105528228,757.0
2026-07-29,598.0861317084009,763.0
2026-07-30,600.1091278487221,766.0
2026-07-31,603.5432925218796,771.0
2026-08-03,606.0149173717423,775.0
2026-08-04,605.6564669617087,777.0
2026-08-05,613.6415218396314,784.0
2026-08-06,619.8253501256652,788.0
2026-08-07,625.3521755536008,792.0
2026-08-10,629.6073127129603,796.0
2026-08-11,631.0540510339856,798.0
2026-08-12,636.4801641218241,802.0
2026-08-13,638.9475666660984,805.0
2026-08-14,639.1789823815163,805.0
2026-08-17,646.4977795123085,810.0
2026-08-18,648.7078054003055,812.0
2026-08-19,649.018048883985,812.0
2026-08-20,648.3225287989757,812.0
2026-08-21,649.5223344829618,813.0
2026-08-24,650.3495672878767,813.0
2026-08-25,649.071432402237,810.0
2026-08-26,653.4243509590306,812.0
2026-08-27,657.555826160894,815.0
2026-08-28,657.6971648240449,815.0
2026-08-31,657.4206727058279,816.0
2026-09-01,661.0870370214111,820.0
2026-09-02,662.9772790477559,822.0
2026-09-03,664.4664996484523,822.0
2026-09-04,666.153609031202,822.0
2026-09-07,675.8669322876743,831.0
2026-09-08,677.0824944931849,834.0
2026-09-09,677.6015728582104,834.0
2026-09-10,680.1911365613748,837.0
2026-09-11,683.3380810220848,839.0
2026-09-14,683.7380848336957,838.0
2026-09-15,683.3370774618327,837.0
2026-09-16,684.2625092929825,839.0
2026-09-17,686.9562222580299,842.0
2026-09-18,687.2565539667482,845.0
2026-09-20,688.8408238318634,844.0
2026-09-21,693.1928108969023,848.0
2026-09-22,692.934932503346,847.0
2026-09-23,695.658009996145,850.0
2026-09-24,695.5096942283767,849.0
2026-09-28,695.605902930095,849.0
2026-09-29,690.7849283620319,845.0
2026-09-30,688.542714849285,844.0
2026-10-08,688.2429267821208,844.0
2026-10-09,688.4616423315736,845.0
2026-10-10,690.765547077882,848.0
2026-10-12,694.7322453302227,852.0
2026-10-13,698.3444658948857,854.0
2026-10-14,703.5507713513095,858.0
2026-10-15,707.6808699677497,859.0
2026-10-16,705.8254988108494,856.0
2026-10-19,701.3023104167687,851.0
2026-10-20,698.8051674916759,850.0
