"date","CCI3800out","CCI5000"
"2026-07-16",563.94,719.0
"2026-07-17",536.851405835731,692.0
"2026-07-20",526.7703628735685,681.0
"2026-07-21",520.9494828679966,675.0
"2026-07-22",519.3887658190151,672.0
"2026-07-23",528.6825961915133,680.0
"2026-07-24",534.868880559727,686.0
"2026-07-27",538.7290575411595,690.0
"2026-07-28",545.3011533495062,699.0
"2026-07-29",546.4560172920142,701.0
"2026-07-30",547.9270570544571,704.0
"2026-07-31",547.6446372232383,703.0
"2026-08-03",553.0276550875111,709.0
"2026-08-04",560.2701311955765,717.0
"2026-08-05",565.2183389067508,722.0
"2026-08-06",566.9109039317435,723.0
"2026-08-07",575.9480334318343,734.0
"2026-08-10",577.3112253831939,736.0
"2026-08-11",581.4714795110096,741.0
"2026-08-12",579.4451167278112,738.0
"2026-08-13",582.3014404326434,741.0
"2026-08-14",585.0149453021829,745.0
"2026-08-17",585.3238735329553,745.0
"2026-08-18",586.7474659342616,745.0
"2026-08-19",590.6923538523923,749.0
"2026-08-20",589.8135616255422,748.0
"2026-08-21",590.2194183854834,749.0
"2026-08-24",589.6869239241241,748.0
"2026-08-25",595.906355155267,756.0
"2026-08-26",603.7279076598063,765.0
"2026-08-27",608.9447235483408,771.0
"2026-08-28",616.8080606239278,780.0
"2026-08-31",617.252218595883,781.0
"2026-09-01",611.2997041835346,774.0
"2026-09-02",607.4308224708504,770.0
"2026-09-03",602.7085527000954,765.0
"2026-09-04",602.2414099100766,763.0
"2026-09-07",604.8310335599904,766.0
"2026-09-08",610.0961966691925,773.0
"2026-09-09",617.5356973754522,781.0
"2026-09-10",617.5141335078433,782.0
"2026-09-11",617.5043120674221,782.0
"2026-09-14",622.0894733052135,787.0
"2026-09-15",621.0361413905646,786.0
"2026-09-16",621.504717309266,786.0
"2026-09-17",622.0111535366835,786.0
"2026-09-18",626.7079222702922,792.0
"2026-09-20",628.6247896225468,795.0
"2026-09-21",628.9564548187216,795.0
"2026-09-22",633.5133990601983,800.0
"2026-09-23",638.3419730945647,806.0
"2026-09-24",642.7786413863689,811.0
"2026-09-28",642.6693063735572,810.0
"2026-09-29",641.186870019863,808.0
"2026-09-30",643.3826223012404,811.0
"2026-10-08",641.6458869732537,809.0
"2026-10-09",636.806926711719,804.0
"2026-10-10",641.1935599834194,808.0
"2026-10-12",644.3240806858319,812.0
"2026-10-13",644.7674795768519,813.0
