date,真实值,预测值
2025-10-15,555.0,559.364
2025-10-16,562.0,564.06976
2025-10-17,570.0,569.91833
2025-10-20,576.0,571.19214
2025-10-21,582.0,579.28046
2025-10-22,587.0,579.84344
2025-10-23,587.0,578.0201
2025-10-24,587.0,570.8309
2025-10-27,587.0,581.54474
2025-10-28,587.0,581.1234
2025-10-29,587.0,582.42676
2025-10-30,587.0,583.40045
2025-10-31,587.0,581.47266
2025-11-03,592.0,585.5656
2025-11-04,600.0,584.6332
2025-11-05,608.0,592.0
2025-11-06,616.0,603.0
2025-11-07,624.0,610.0
2025-11-10,631.0,620.0
2025-11-11,637.0,629.0
2025-11-12,639.0,633.0
2025-11-13,639.0,635.0
2025-11-14,639.0,643.0
2025-11-17,639.0,641.0
2025-11-18,639.0,635.0
2025-11-19,639.0,641.0
2025-11-20,639.0,642.0
2025-11-21,639.0,641.0
2025-11-24,637.0,641.0
2025-11-25,634.0,636.0
2025-11-26,630.0,631.0
2025-11-27,627.0,627.0
2025-11-28,623.0,622.0
2025-12-01,618.0,616.0
2025-12-02,613.0,612.0
2025-12-03,608.0,608.0
2025-12-04,601.0,605.0
2025-12-05,595.0,525.0
2025-12-08,588.0,594.0
2025-12-09,580.0,575.0
2025-12-10,572.0,566.0
2025-12-11,564.0,559.0
2025-12-12,556.0,552.0
2025-12-15,547.0,545.0
2025-12-16,538.0,535.0
2025-12-17,530.0,525.0
2025-12-18,522.0,519.0
2025-12-19,514.0,513.0
2025-12-22,507.0,505.0
2025-12-23,500.0,497.0
2025-12-24,495.0,490.0
2025-12-25,491.0,486.0
2025-12-26,490.0,483.0
2025-12-29,490.0,484.0
2025-12-30,493.0,486.0
2025-12-31,497.0,487.0
2026-01-01,,715.0
2026-01-02,,716.0
2026-01-05,506.0,547.0
2026-01-06,510.0,551.0
2026-01-07,514.0,552.0
2026-01-08,518.0,551.0
2026-01-09,522.0,551.0
2026-01-12,525.0,534.0
2026-01-13,528.0,551.0
2026-01-14,528.0,539.0
