date,真实值,预测值
2025-10-15,638.0,628.87933
2025-10-16,647.0,634.90155
2025-10-17,655.0,640.58276
2025-10-20,662.0,637.75275
2025-10-21,669.0,651.395
2025-10-22,675.0,656.2643
2025-10-23,678.0,658.28375
2025-10-24,678.0,658.46045
2025-10-27,678.0,681.0173
2025-10-28,678.0,679.97626
2025-10-29,678.0,675.91644
2025-10-30,678.0,675.91644
2025-10-31,678.0,667.90137
2025-11-03,683.0,668.4439
2025-11-04,691.0,688.67487
2025-11-05,700.0,682.0
2025-11-06,709.0,690.0
2025-11-07,718.0,709.0
2025-11-10,726.0,719.0
2025-11-11,733.0,732.0
2025-11-12,735.0,734.0
2025-11-13,735.0,736.0
2025-11-14,735.0,741.0
2025-11-17,735.0,738.0
2025-11-18,735.0,732.0
2025-11-19,735.0,732.0
2025-11-20,735.0,735.0
2025-11-21,735.0,735.0
2025-11-24,733.0,734.0
2025-11-25,730.0,732.0
2025-11-26,727.0,728.0
2025-11-27,725.0,723.0
2025-11-28,722.0,718.0
2025-12-01,717.0,714.0
2025-12-02,712.0,714.0
2025-12-03,707.0,707.0
2025-12-04,701.0,703.0
2025-12-05,695.0,612.0
2025-12-08,688.0,697.0
2025-12-09,680.0,678.0
2025-12-10,672.0,669.0
2025-12-11,664.0,661.0
2025-12-12,656.0,652.0
2025-12-15,647.0,645.0
2025-12-16,638.0,637.0
2025-12-17,630.0,626.0
2025-12-18,622.0,619.0
2025-12-19,614.0,611.0
2025-12-22,607.0,604.0
2025-12-23,600.0,598.0
2025-12-24,595.0,592.0
2025-12-25,590.0,587.0
2025-12-26,586.0,584.0
2025-12-29,586.0,584.0
2025-12-30,588.0,586.0
2025-12-31,591.0,583.0
2026-01-01,,798.0
2026-01-02,,798.0
2026-01-05,599.0,629.0
2026-01-06,603.0,632.0
2026-01-07,607.0,634.0
2026-01-08,611.0,636.0
2026-01-09,615.0,641.0
2026-01-12,618.0,615.0
2026-01-13,620.0,632.0
2026-01-14,620.0,618.0
2026-01-15,620.0,637.0
2026-01-16,617.0,644.0
