date,真实值,预测值
2026-07-03,821.0,850.0
2026-07-06,814.0,785.0
2026-07-07,808.0,763.0
2026-07-08,803.0,744.0
2026-07-09,800.0,730.0
2026-07-10,800.0,719.0
,,864.0
,,863.0
,,861.0
,,859.0
,,857.0
,,854.0
,,852.0
,,852.0
,,852.0
,,848.0
,,846.0
,,845.0
,,846.0
,,848.0
,,850.0
,,851.0
,,850.0
,,847.0
,,847.0
,,846.0
,,848.0
,,849.0
,,849.0
,,847.0
,,845.0
,,844.0
,,845.0
,,845.0
,,845.0
,,844.0
,,843.0
,,842.0
,,840.0
,,841.0
,,842.0
,,841.0
,,841.0
,,840.0
,,840.0
,,841.0
,,839.0
,,841.0
,,841.0
,,840.0
,,840.0
,,840.0
,,839.0
,,839.0
,,838.0
,,840.0
,,840.0
,,841.0
,,841.0
,,841.0
,,843.0
,,843.0
,,843.0
,,844.0
,,845.0
,,845.0
,,844.0
,,843.0
,,843.0
,,842.0
,,842.0
,,843.0
,,844.0
,,847.0
,,848.0
,,847.0
,,847.0
,,847.0
,,847.0
,,847.0
,,848.0
,,850.0
,,851.0
,,850.0
,,851.0
,,853.0
,,854.0
,,854.0
,,855.0
,,855.0
,,855.0
,,855.0
,,857.0
,,858.0
,,859.0
,,857.0
,,858.0
,,858.0
,,857.0
,,857.0
,,858.0
,,858.0
,,858.0
,,857.0
,,857.0
,,857.0
,,857.0
,,857.0
,,856.0
,,856.0
,,856.0
,,855.0
,,855.0
