date,CCI3800out,CCI5000
2026-07-16,563.94,719
2026-07-17,560.29294069862,720
2026-07-20,562.9860996005006,721
2026-07-21,565.4254421975613,722
2026-07-22,567.6109684898018,724
2026-07-23,569.9115549426144,725
2026-07-24,572.7785375125422,728
2026-07-27,575.6142945279156,732
2026-07-28,576.2471214402713,733
2026-07-29,580.9188866430611,737
2026-07-30,581.2052722240594,738
2026-07-31,584.378038897975,740
2026-08-03,586.3295103838909,742
2026-08-04,586.8178034749114,743
2026-08-05,591.3707290942331,746
2026-08-06,594.6848523799437,750
2026-08-07,597.2511255862375,752
2026-08-10,601.8455550127144,755
2026-08-11,602.3515971200961,756
2026-08-12,604.8340252874052,758
2026-08-13,605.1676959675209,760
2026-08-14,604.0034290396425,760
2026-08-17,603.8859195630542,760
2026-08-18,603.7771826555913,760
2026-08-19,605.3753407306331,760
2026-08-20,606.7214811907718,761
2026-08-21,608.5966033368132,762
2026-08-24,608.683547477445,763
2026-08-25,611.3916274182645,766
2026-08-26,612.6324120585908,767
2026-08-27,614.2557220329992,767
2026-08-28,613.9056601660227,767
2026-08-31,617.4905515706961,770
2026-09-01,620.2840818896132,773
2026-09-02,622.5063880673736,774
2026-09-03,623.0613032032657,776
2026-09-04,627.1346794417232,779
2026-09-07,629.1665810029178,780
2026-09-08,628.6151570732977,778
2026-09-09,625.9797870261759,777
2026-09-10,626.9233352203584,778
2026-09-11,627.9645425087249,780
2026-09-14,628.7138799613945,780
2026-09-15,632.250649356849,782
2026-09-16,633.3268199937111,784
2026-09-17,636.2131524380395,786
2026-09-18,635.5037971358463,785
2026-09-20,635.0484201860864,786
2026-09-21,631.7867820812535,783
2026-09-22,630.4447123223454,782
2026-09-23,630.5054482310062,782
2026-09-24,630.6244539143504,783
2026-09-28,631.0817229061455,784
2026-09-29,634.3426119213356,787
2026-09-30,636.5539138268749,789
2026-10-08,639.834208504755,791
2026-10-09,640.0909623353002,790
2026-10-10,639.2001248121717,790
2026-10-12,636.5739410079852,788
2026-10-13,636.2527536329726,788
