时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,地区合计,6328.90,200.60,-346.70,1,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,河北省,260.80,-2.40,-14.80,2,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,山西省,3020.00,255.90,-404.50,3,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,江西省,11.20,0.00,2.20,4,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,山东省,393.60,33.60,23.00,5,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,河南省,485.70,7.30,35.90,6,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,重庆市,0.00,0.00,0.00,7,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,陕西省,1423.30,-96.70,3.30,8,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,甘肃省,186.00,-3.50,9.10,9,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-20,宁夏区,362.40,9.00,7.20,10,2024-06-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,地区合计,3140.50,63.40,-220.50,11,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,河北省,131.10,-0.50,-7.70,12,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,山西省,1522.20,102.10,-72.20,13,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,江西省,5.40,-0.10,0.70,14,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,山东省,196.40,19.80,10.70,15,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,河南省,238.30,1.10,11.10,16,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,重庆市,0.00,0.00,0.00,17,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,陕西省,679.60,-51.20,-172.40,18,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,甘肃省,92.00,-5.00,4.70,19,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-06-10,宁夏区,179.70,-0.70,6.70,20,2024-06-10 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,地区合计,6128.30,263.80,-404.40,21,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,河北省,263.20,1.60,-13.00,22,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,山西省,2764.10,94.40,-526.30,23,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,江西省,11.20,0.40,2.60,24,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,山东省,360.00,8.50,-6.50,25,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,河南省,478.40,65.90,12.50,26,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,重庆市,0.00,0.00,0.00,27,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,陕西省,1520.00,100.00,129.10,28,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,甘肃省,189.50,-13.90,13.20,29,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-20,宁夏区,353.40,17.90,-8.50,30,2024-05-20 00:00:00,1,0,2024-07-20 12:39:14,0,2024-07-20 12:39:14,,,
2024-05-10,地区合计,3077.10,114.10,-318.70,31,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,河北省,131.60,-0.10,-9.60,32,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,山西省,1420.10,97.50,-227.10,33,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,江西省,5.50,0.10,0.70,34,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,山东省,176.60,0.50,-5.50,35,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,河南省,237.20,35.90,0.00,36,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,重庆市,0.00,0.00,0.00,37,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,陕西省,730.80,-22.80,-81.20,38,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,甘肃省,97.00,-4.50,9.30,39,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-05-10,宁夏区,180.40,5.20,-2.60,40,2024-05-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,地区合计,5864.50,203.40,-873.50,41,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,河北省,261.60,-16.90,-16.30,42,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,山西省,2669.70,61.90,-717.90,43,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,江西省,10.80,1.80,-0.20,44,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,山东省,351.50,-8.90,-24.00,45,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,河南省,412.50,-20.20,-61.70,46,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,重庆市,0.00,0.00,0.00,47,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,陕西省,1420.00,192.00,-42.60,48,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,甘肃省,203.40,15.60,17.00,49,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-20,宁夏区,335.50,-46.90,-16.20,50,2024-04-20 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,地区合计,2963.00,118.40,-496.50,51,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,河北省,131.70,-10.10,-12.70,52,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,山西省,1322.60,48.00,-388.50,53,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,江西省,5.40,1.90,-0.40,54,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,山东省,176.10,-3.60,-14.30,55,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,河南省,201.30,-3.20,-44.50,56,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,重庆市,0.00,0.00,0.00,57,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,陕西省,753.60,98.20,-36.20,58,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,甘肃省,101.50,8.00,9.60,59,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-04-10,宁夏区,175.20,-21.40,1.10,60,2024-04-10 00:00:00,1,0,2024-07-20 12:39:17,0,2024-07-20 12:39:17,,,
2024-03-20,地区合计,5661.10,224.00,-1028.70,61,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
2024-03-20,河北省,278.50,7.90,-12.80,62,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
2024-03-20,山西省,2607.80,79.00,-823.20,63,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
2024-03-20,江西省,9.00,2.70,-1.70,64,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
2024-03-20,山东省,360.40,35.00,-6.80,65,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
2024-03-20,河南省,432.70,4.40,-33.60,66,2024-03-20 00:00:00,1,0,2024-07-20 12:39:20,0,2024-07-20 12:39:20,,,
