时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,山东省,60.00,0.00,160.00,54.60,145.70,1,2024-05-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-05,云南省,837.30,130.66,1439.40,118.00,214.00,2,2024-05-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-04,山东省,60.00,50.00,100.00,54.60,91.10,3,2024-04-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-04,云南省,363.00,51.80,602.10,45.40,95.90,4,2024-04-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-03,广东省,2.00,-95.00,2.00,0.40,0.40,5,2024-03-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-03,云南省,239.10,-88.94,239.10,50.50,50.50,6,2024-03-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2024-01,山东省,40.00,-40.30,40.00,36.60,36.60,7,2024-01-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-12,广东省,40.00,66.67,124.80,16.00,50.30,8,2023-12-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-12,云南省,2161.90,589.86,5098.60,199.70,472.40,9,2023-12-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-10,广东省,24.00,1820.00,84.80,4.80,34.30,10,2023-10-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-10,江苏省,40.00,-16.67,88.00,16.00,35.20,11,2023-10-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-10,云南省,313.40,247.54,2936.70,26.50,272.70,12,2023-10-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-08,广东省,1.30,-95.00,60.80,0.50,29.50,13,2023-08-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-08,云南省,90.20,-55.10,2623.30,8.20,246.20,14,2023-08-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-07,广东省,25.00,4.17,59.50,15.20,29.00,15,2023-07-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-07,山东省,67.00,-67.79,317.00,43.50,104.90,16,2023-07-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-07,云南省,200.80,10.62,2533.10,18.10,238.00,17,2023-07-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-06,广东省,24.00,128.57,34.50,9.60,13.80,18,2023-06-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-06,湖北省,52.00,100.00,52.00,13.50,13.50,19,2023-06-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-06,山东省,208.00,10300.00,250.00,27.50,61.50,20,2023-06-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-06,云南省,181.60,-86.68,2332.30,16.10,219.90,21,2023-06-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-05,广东省,10.50,524900.00,10.50,4.20,4.20,22,2023-05-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-05,云南省,1362.80,72.95,2150.70,127.20,203.80,23,2023-05-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-05,浙江省,26.00,-68.31,318.70,10.40,485.00,24,2023-05-31 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
2023-04,黑龙江省,79.00,3850.00,79.00,237.00,237.00,25,2023-04-30 00:00:00,1,0,2024-07-20 15:13:16,0,2024-07-20 15:13:16,,,
