时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,0.00,场地价,28,2024-07-15 00:00:00,1,0,2024-07-17 11:19:05,0,2024-07-17 11:19:05,,,
2024-07-15,1/3焦煤,京唐港,9.00,33.00,0.50,80.00,,1665.00,0.00,场地价,29,2024-07-15 00:00:00,1,0,2024-07-17 11:19:05,0,2024-07-17 11:19:05,,,
2024-07-15,主焦煤,京唐港,11.00,17.50,0.30,83.00,,1750.00,0.00,场地价,30,2024-07-15 00:00:00,1,0,2024-07-17 11:19:05,0,2024-07-17 11:19:05,,,
2024-07-12,气肥煤,天津港,9.50,39.00,0.70,90.00,,1645.00,0.00,场地价,31,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,主焦煤,天津港,11.00,17.50,0.30,83.00,,1860.00,0.00,场地价,32,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,0.00,场地价,33,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,1/3焦煤,京唐港,9.00,33.00,0.50,80.00,,1665.00,0.00,场地价,34,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,主焦煤,京唐港,11.00,17.50,0.30,83.00,,1750.00,0.00,场地价,35,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,动力煤,绥芬河口岸,,,0.70,,5500.00,745.00,0.00,车板价,36,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,褐煤,满洲里口岸,,,0.30,,4000.00,405.00,0.00,车板价,37,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,瘦煤,连云港,11.00,20.00,0.25,80.00,,1850.00,0.00,平仓价,38,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,瘦焦煤,日照港,10.00,15.50,0.30,82.50,,1870.00,0.00,车板价,39,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-12,1/3焦煤,大连港,8.50,33.00,0.75,80.00,,1730.00,0.00,平仓价,40,2024-07-12 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,动力煤,绥芬河口岸,,,0.70,,5500.00,745.00,0.00,车板价,41,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,褐煤,满洲里口岸,,,0.30,,4000.00,405.00,0.00,车板价,42,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,瘦煤,连云港,11.00,20.00,0.25,80.00,,1850.00,0.00,平仓价,43,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,瘦焦煤,日照港,10.00,15.50,0.30,82.50,,1870.00,0.00,车板价,44,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,1/3焦煤,大连港,8.50,33.00,0.75,80.00,,1730.00,0.00,平仓价,45,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,气肥煤,天津港,9.50,39.00,0.70,90.00,,1645.00,0.00,场地价,46,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,主焦煤,天津港,11.00,17.50,0.30,83.00,,1860.00,0.00,场地价,47,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,0.00,场地价,48,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,1/3焦煤,京唐港,9.00,33.00,0.50,80.00,,1665.00,0.00,场地价,49,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-11,主焦煤,京唐港,11.00,17.50,0.30,83.00,,1750.00,0.00,场地价,50,2024-07-11 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,动力煤,绥芬河口岸,,,0.70,,5500.00,745.00,0.00,车板价,51,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,褐煤,满洲里口岸,,,0.30,,4000.00,405.00,0.00,车板价,52,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,瘦煤,连云港,11.00,20.00,0.25,80.00,,1850.00,0.00,平仓价,53,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,瘦焦煤,日照港,10.00,15.50,0.30,82.50,,1870.00,0.00,车板价,54,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,1/3焦煤,大连港,8.50,33.00,0.75,80.00,,1730.00,0.00,平仓价,55,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,气肥煤,天津港,9.50,39.00,0.70,90.00,,1645.00,0.00,场地价,56,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,主焦煤,天津港,11.00,17.50,0.30,83.00,,1860.00,0.00,场地价,57,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,15.00,场地价,58,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
2024-07-10,1/3焦煤,京唐港,9.00,33.00,0.50,80.00,,1665.00,0.00,场地价,59,2024-07-10 00:00:00,1,0,2024-07-17 11:19:08,0,2024-07-17 11:19:08,,,
