时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,波罗的海超灵便运价指数(BSI),1361.00,1353.00,8.00,0.59%,29,2024-07-11 00:00:00,1,0,2024-07-20 09:22:22,0,2024-07-20 09:22:22,,,
2024-07-11,波罗的海灵便型船指数(BHSI),740.00,735.00,5.00,0.68%,30,2024-07-11 00:00:00,1,0,2024-07-20 09:22:22,0,2024-07-20 09:22:22,,,
2024-07-10,波罗的海干散货指数(BDI),1939.00,1894.00,45.00,2.38%,31,2024-07-10 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-10,波罗的海海岬型指数(BCI),3215.00,3119.00,96.00,3.08%,32,2024-07-10 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-10,波罗的海巴拿马指数(BPI),1579.00,1536.00,43.00,2.8%,33,2024-07-10 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-10,波罗的海超灵便运价指数(BSI),1353.00,1347.00,6.00,0.45%,34,2024-07-10 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-10,波罗的海灵便型船指数(BHSI),735.00,737.00,-2.00,-0.27%,35,2024-07-10 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-09,波罗的海干散货指数(BDI),1894.00,1966.00,-72.00,-3.66%,36,2024-07-09 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-09,波罗的海海岬型指数(BCI),3119.00,3339.00,-220.00,-6.59%,37,2024-07-09 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-09,波罗的海巴拿马指数(BPI),1536.00,1546.00,-10.00,-0.65%,38,2024-07-09 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
