时间,报价点,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-10,黄骅港,外购5500,,,,,,853.00,平仓价,1,2024-07-10 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-10,黄骅港,外购5000,,,,,,753.00,平仓价,2,2024-07-10 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-10,黄骅港,外购4500,,,,,,652.00,平仓价,3,2024-07-10 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-10,黄骅港,外购5800,,,,,,915.00,平仓价,4,2024-07-10 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-09,巴图塔,外购5500,,,,,,460.00,车板价,5,2024-07-09 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-09,巴图塔,外购5000,,,,,,420.00,车板价,6,2024-07-09 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-05,巴图塔,外购5500,,,,,,460.00,车板价,7,2024-07-05 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-05,巴图塔,外购5000,,,,,,420.00,车板价,8,2024-07-05 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-03,黄骅港,外购5500,,,,,,850.00,平仓价,9,2024-07-03 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-03,黄骅港,外购5800,,,,,,912.00,平仓价,10,2024-07-03 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-03,黄骅港,外购4500,,,,,,647.00,平仓价,11,2024-07-03 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-03,黄骅港,外购5000,,,,,,747.00,平仓价,12,2024-07-03 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-02,巴图塔,外购4500,,,,,,357.20,车板价,13,2024-07-02 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-02,巴图塔,外购5000,,,,,,420.00,车板价,14,2024-07-02 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-02,巴图塔,外购5500,,,,,,460.00,车板价,15,2024-07-02 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-07-01,神华集团,神混1, - , - , - , - ,5500.00,700.00,年度长协价,16,2024-07-01 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-29,黄骅港,外购5500,,,,,,858.00,平仓价,17,2024-06-29 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-29,黄骅港,外购4500,,,,,,654.00,平仓价,18,2024-06-29 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-29,黄骅港,外购5000,,,,,,755.00,平仓价,19,2024-06-29 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-29,黄骅港,外购5800,,,,,,920.00,平仓价,20,2024-06-29 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-28,巴图塔,外购4500,,,,,,357.20,车板价,21,2024-06-28 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-28,巴图塔,外购5000,,,,,,420.00,车板价,22,2024-06-28 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-28,巴图塔,外购5500,,,,,,460.00,车板价,23,2024-06-28 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-26,黄骅港,外购5800,,,,,,934.00,平仓价,24,2024-06-26 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-26,黄骅港,外购5500,,,,,,872.00,平仓价,25,2024-06-26 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-26,黄骅港,外购4500,,,,,,676.00,平仓价,26,2024-06-26 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-26,黄骅港,外购5000,,,,,,771.00,平仓价,27,2024-06-26 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-25,巴图塔,外购4500,,,,,,357.20,车板价,28,2024-06-25 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-25,巴图塔,外购5500,,,,,,460.00,车板价,29,2024-06-25 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-25,巴图塔,外购5000,,,,,,420.00,车板价,30,2024-06-25 00:00:00,1,0,2024-07-17 09:09:14,0,2024-07-17 09:09:14,,,
2024-06-21,黄骅港,外购5800,,,,,,934.00,平仓价,31,2024-06-21 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-21,黄骅港,外购5000,,,,,,771.00,平仓价,32,2024-06-21 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-21,黄骅港,外购5500,,,,,,872.00,平仓价,33,2024-06-21 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-21,黄骅港,外购4500,,,,,,676.00,平仓价,34,2024-06-21 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-20,巴图塔,外购5000,,,,,,420.00,车板价,35,2024-06-20 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-20,巴图塔,外购4500,,,,,,357.20,车板价,36,2024-06-20 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-20,巴图塔,外购5500,,,,,,460.00,车板价,37,2024-06-20 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-19,黄骅港,外购5500,,,,,,879.00,平仓价,38,2024-06-19 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-19,黄骅港,外购4500,,,,,,685.00,平仓价,39,2024-06-19 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-19,黄骅港,外购5000,,,,,,780.00,平仓价,40,2024-06-19 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-19,黄骅港,外购5800,,,,,,975.00,平仓价,41,2024-06-19 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-18,巴图塔,外购5500,,,,,,460.00,车板价,42,2024-06-18 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-18,巴图塔,外购5000,,,,,,420.00,车板价,43,2024-06-18 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-18,巴图塔,外购4500,,,,,,357.20,车板价,44,2024-06-18 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-11,巴图塔,外购4500,,,,,,357.20,车板价,45,2024-06-11 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-11,巴图塔,外购5000,,,,,,420.00,车板价,46,2024-06-11 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-11,巴图塔,外购5500,,,,,,460.00,车板价,47,2024-06-11 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-08,黄骅港,外购4500,,,,,,685.00,平仓价,48,2024-06-08 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-08,黄骅港,外购5000,,,,,,780.00,平仓价,49,2024-06-08 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-08,黄骅港,外购5800,,,,,,975.00,平仓价,50,2024-06-08 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-08,黄骅港,外购5500,,,,,,879.00,平仓价,51,2024-06-08 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-04,巴图塔,外购5000,,,,,,420.00,车板价,52,2024-06-04 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-04,巴图塔,外购4500,,,,,,357.20,车板价,53,2024-06-04 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-04,巴图塔,外购5500,,,,,,460.00,车板价,54,2024-06-04 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-06-01,神华集团,神混1, - , - , - , - ,5500.00,700.00,年度长协价,55,2024-06-01 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-29,黄骅港,外购4500,,,,,,690.00,平仓价,56,2024-05-29 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-29,黄骅港,外购5500,,,,,,882.00,平仓价,57,2024-05-29 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-29,黄骅港,外购5800,,,,,,975.00,平仓价,58,2024-05-29 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-29,黄骅港,外购5000,,,,,,787.00,平仓价,59,2024-05-29 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-28,巴图塔,外购5500,,,,,,460.00,车板价,60,2024-05-28 00:00:00,1,0,2024-07-17 09:09:17,0,2024-07-17 09:09:17,,,
2024-05-28,巴图塔,外购5000,,,,,,420.00,车板价,61,2024-05-28 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-28,巴图塔,外购4500,,,,,,357.20,车板价,62,2024-05-28 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-25,黄骅港,外购5500,,,,,,882.00,平仓价,63,2024-05-25 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-25,黄骅港,外购5000,,,,,,787.00,平仓价,64,2024-05-25 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-25,黄骅港,外购4500,,,,,,690.00,平仓价,65,2024-05-25 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-25,黄骅港,外购5800,,,,,,975.00,平仓价,66,2024-05-25 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-24,巴图塔,外购4500,,,,,,357.20,车板价,67,2024-05-24 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-24,巴图塔,外购5500,,,,,,460.00,车板价,68,2024-05-24 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-24,巴图塔,外购5000,,,,,,420.00,车板价,69,2024-05-24 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-22,黄骅港,外购5500,,,,,,869.00,平仓价,70,2024-05-22 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-22,黄骅港,外购5000,,,,,,773.00,平仓价,71,2024-05-22 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-22,黄骅港,外购4500,,,,,,681.00,平仓价,72,2024-05-22 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-22,黄骅港,外购5800,,,,,,951.00,平仓价,73,2024-05-22 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-21,巴图塔,外购5500,,,,,,460.00,车板价,74,2024-05-21 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-21,巴图塔,外购4500,,,,,,357.20,车板价,75,2024-05-21 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-21,巴图塔,外购5000,,,,,,420.00,车板价,76,2024-05-21 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-11,黄骅港,外购5000,,,,,,758.00,平仓价,77,2024-05-11 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-11,黄骅港,外购4500,,,,,,666.00,平仓价,78,2024-05-11 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-11,黄骅港,外购5500,,,,,,854.00,平仓价,79,2024-05-11 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-11,黄骅港,外购5800,,,,,,936.00,平仓价,80,2024-05-11 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-10,巴图塔,外购5000,,,,,,420.00,车板价,81,2024-05-10 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-10,巴图塔,外购4500,,,,,,357.20,车板价,82,2024-05-10 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-10,巴图塔,外购5500,,,,,,460.00,车板价,83,2024-05-10 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-08,黄骅港,外购5000,,,,,,742.00,平仓价,84,2024-05-08 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-08,黄骅港,外购5500,,,,,,837.00,平仓价,85,2024-05-08 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-08,黄骅港,外购4500,,,,,,650.00,平仓价,86,2024-05-08 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-08,黄骅港,外购5800,,,,,,913.00,平仓价,87,2024-05-08 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-07,巴图塔,外购5000,,,,,,420.00,车板价,88,2024-05-07 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-07,巴图塔,外购4500,,,,,,357.20,车板价,89,2024-05-07 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-07,巴图塔,外购5500,,,,,,460.00,车板价,90,2024-05-07 00:00:00,1,0,2024-07-17 09:09:21,0,2024-07-17 09:09:21,,,
2024-05-01,黄骅港,外购4500,,,,,,640.00,平仓价,91,2024-05-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-05-01,神华集团,神混1, - , - , - , - ,5500.00,697.00,年度长协价,92,2024-05-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-05-01,黄骅港,外购5000,,,,,,735.00,平仓价,93,2024-05-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-05-01,黄骅港,外购5800,,,,,,912.00,平仓价,94,2024-05-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-05-01,黄骅港,外购5500,,,,,,831.00,平仓价,95,2024-05-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-30,巴图塔,外购5500,,,,,,460.00,车板价,96,2024-04-30 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-30,巴图塔,外购5000,,,,,,420.00,车板价,97,2024-04-30 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-30,巴图塔,外购4500,,,,,,357.20,车板价,98,2024-04-30 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-24,黄骅港,外购5500,,,,,,828.00,平仓价,99,2024-04-24 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-24,黄骅港,外购5800,,,,,,908.00,平仓价,100,2024-04-24 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-24,黄骅港,外购4500,,,,,,633.00,平仓价,101,2024-04-24 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-24,黄骅港,外购5000,,,,,,727.00,平仓价,102,2024-04-24 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-23,巴图塔,外购5500,,,,,,460.00,车板价,103,2024-04-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-23,巴图塔,外购5000,,,,,,420.00,车板价,104,2024-04-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-23,巴图塔,外购4500,,,,,,357.20,车板价,105,2024-04-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-03,黄骅港,外购5800,,,,,,908.00,平仓价,106,2024-04-03 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-03,黄骅港,外购4500,,,,,,627.00,平仓价,107,2024-04-03 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-03,黄骅港,外购5500,,,,,,828.00,平仓价,108,2024-04-03 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-03,黄骅港,外购5000,,,,,,723.00,平仓价,109,2024-04-03 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-02,巴图塔,外购5500,,,,,,460.00,车板价,110,2024-04-02 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-02,巴图塔,外购4500,,,,,,357.20,车板价,111,2024-04-02 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-02,巴图塔,外购5000,,,,,,420.00,车板价,112,2024-04-02 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-04-01,神华集团,神混1, - , - , - , - ,5500.00,701.00,年度长协价,113,2024-04-01 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-23,黄骅港,外购5800,,,,,,939.00,平仓价,114,2024-03-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-23,黄骅港,外购4500,,,,,,642.00,平仓价,115,2024-03-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-23,黄骅港,外购5500,,,,,,853.00,平仓价,116,2024-03-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-23,黄骅港,外购5000,,,,,,739.00,平仓价,117,2024-03-23 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-22,巴图塔,外购4500,,,,,,392.00,车板价,118,2024-03-22 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-22,巴图塔,外购5000,,,,,,457.00,车板价,119,2024-03-22 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-22,巴图塔,外购5500,,,,,,521.00,车板价,120,2024-03-22 00:00:00,1,0,2024-07-17 09:09:25,0,2024-07-17 09:09:25,,,
2024-03-19,黄骅港,外购4500,,,,,,658.00,平仓价,121,2024-03-19 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-19,黄骅港,外购5500,,,,,,872.00,平仓价,122,2024-03-19 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-19,黄骅港,外购5000,,,,,,755.00,平仓价,123,2024-03-19 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-19,黄骅港,外购5800,,,,,,959.00,平仓价,124,2024-03-19 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-18,巴图塔,外购5500,,,,,,521.00,车板价,125,2024-03-18 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-18,巴图塔,外购4500,,,,,,392.00,车板价,126,2024-03-18 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-18,巴图塔,外购5000,,,,,,457.00,车板价,127,2024-03-18 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-14,黄骅港,外购5000,,,,,,790.00,平仓价,128,2024-03-14 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-14,黄骅港,外购5500,,,,,,904.00,平仓价,129,2024-03-14 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-14,黄骅港,外购5800,,,,,,992.00,平仓价,130,2024-03-14 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-14,黄骅港,外购4500,,,,,,687.00,平仓价,131,2024-03-14 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-13,巴图塔,外购4500,,,,,,392.00,车板价,132,2024-03-13 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-13,巴图塔,外购5000,,,,,,457.00,车板价,133,2024-03-13 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-13,巴图塔,外购5500,,,,,,521.00,车板价,134,2024-03-13 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-08,黄骅港,外购5800,,,,,,1021.00,平仓价,135,2024-03-08 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-08,黄骅港,外购5500,,,,,,918.00,平仓价,136,2024-03-08 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-08,黄骅港,外购4500,,,,,,704.00,平仓价,137,2024-03-08 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-08,黄骅港,外购5000,,,,,,810.00,平仓价,138,2024-03-08 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-07,巴图塔,外购4500,,,,,,392.00,车板价,139,2024-03-07 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-07,巴图塔,外购5500,,,,,,521.00,车板价,140,2024-03-07 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-07,巴图塔,外购5000,,,,,,457.00,车板价,141,2024-03-07 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-01,神华集团,神混1, - , - , - , - ,5500.00,708.00,年度长协价,142,2024-03-01 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-01,黄骅港,外购5500,,,,,,934.00,平仓价,143,2024-03-01 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-01,黄骅港,外购4500,,,,,,715.00,平仓价,144,2024-03-01 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-03-01,黄骅港,外购5000,,,,,,824.00,平仓价,145,2024-03-01 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-02-29,巴图塔,外购4500,,,,,,392.00,车板价,146,2024-02-29 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
2024-02-29,巴图塔,外购5000,,,,,,457.00,车板价,147,2024-02-29 00:00:00,1,0,2024-07-17 09:09:28,0,2024-07-17 09:09:28,,,
