时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-17,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,28,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,29,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,30,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,31,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,32,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,33,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,34,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1440.00,出厂价,35,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,36,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1400.00,出厂价,37,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,大武口区,9.00,7.50,0.45,,,1450.00,出厂价,38,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-17,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1330.00,出厂价,39,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,40,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,41,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,42,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,43,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1390.00,出厂价,44,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1330.00,出厂价,45,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,大武口区,9.00,7.50,0.45,,,1400.00,出厂价,46,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,47,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,48,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,49,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,50,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,51,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-16,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1400.00,出厂价,52,2024-07-16 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,53,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,54,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,55,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,56,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,57,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,58,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,59,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,60,2024-07-15 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
2024-07-15,喷吹煤,大武口区,9.00,7.50,0.45,,,1400.00,出厂价,61,2024-07-15 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-15,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,62,2024-07-15 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-15,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,63,2024-07-15 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-15,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1400.00,出厂价,64,2024-07-15 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-15,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,65,2024-07-15 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,66,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,67,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,68,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
