时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,甘肃省,45.20,19.60,178.20,5.20,36,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,陕西省,17.70,-7.40,77.10,-12.60,37,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,云南省,25.50,-12.30,226.80,49.20,39,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,贵州省,9.80,-24.70,57.20,6.30,40,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,四川省,13.20,-21.10,105.50,24.40,41,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,重庆市,3.60,-19.10,15.90,-0.50,42,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,海南省,0.20,-40.40,1.90,-9.30,43,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,广西区,18.40,-16.30,119.00,8.90,44,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,广东省,28.10,-9.60,163.60,5.90,45,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,湖南省,13.90,-27.30,83.40,-7.40,46,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,湖北省,11.90,-26.90,65.10,-14.80,47,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,河南省,30.80,-18.60,162.90,-6.90,48,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,山东省,51.20,6.50,272.00,14.50,49,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,江西省,8.20,-31.20,48.60,-13.90,50,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,福建省,16.30,5.00,92.90,-1.70,51,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,安徽省,10.60,-6.00,55.00,-9.50,52,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,浙江省,9.30,15.10,54.70,33.40,53,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,江苏省,38.10,-19.40,245.60,-1.50,54,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
