时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-08,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,28,2024-07-08 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-05,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,29,2024-07-05 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-05,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,30,2024-07-05 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-05,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,31,2024-07-05 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-05,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,32,2024-07-05 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-04,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,33,2024-07-04 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-04,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,34,2024-07-04 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-04,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,35,2024-07-04 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-04,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,36,2024-07-04 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-03,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,37,2024-07-03 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-03,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,38,2024-07-03 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-03,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,39,2024-07-03 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-03,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,40,2024-07-03 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-02,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,41,2024-07-02 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-02,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,42,2024-07-02 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-02,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,43,2024-07-02 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-02,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,44,2024-07-02 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-01,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,45,2024-07-01 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-01,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,46,2024-07-01 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-01,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,47,2024-07-01 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-07-01,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,48,2024-07-01 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-28,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,49,2024-06-28 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
