时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,湖北省,532095.00,75.25,1735038.00,35809.50,113535.20,32,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,湖南省,657970.00,39.51,1605929.00,37387.60,100814.30,33,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,吉林省,144268.50,7289.67,275284.00,9623.10,18276.40,34,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,江苏省,647011.00,12.96,3039966.00,38774.40,184771.70,35,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,江西省,46310.00,-53.60,240150.00,2872.20,13614.10,36,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,辽宁省,5464.10,-95.41,294831.80,211.60,15085.40,37,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,内蒙古区,169143.40,-23.37,646848.80,8806.50,29017.50,38,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,山东省,183420.00,-60.97,1696351.10,11322.00,109894.80,39,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,山西省,256224.00,-45.90,1530892.00,13403.30,90008.10,40,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,陕西省,458948.00,69.59,840978.00,32348.80,56233.70,41,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,上海市,216944.00,53.62,1010507.00,15346.90,71036.90,42,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,四川省,69506.00,-33.34,1344376.00,4205.20,86585.80,43,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,天津市,75470.00,43.94,322320.00,6611.20,25474.00,44,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,云南省,44699.70,29.58,126048.20,1857.40,5416.70,45,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-04,浙江省,1029360.00,16.13,3546307.00,65385.70,222229.80,46,2024-04-30 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
