时间,数据项目,总体情况,年粗钢产量≤200,年粗钢产量200-600,年粗钢产量≥600,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-09-13,高炉开工率(%),77.63,,,,37,2024-09-13 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-09-06,高炉开工率(%),77.63,,,,38,2024-09-06 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-08-30,高炉开工率(%),76.41,,,,39,2024-08-30 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-08-23,高炉开工率(%),77.47,,,,40,2024-08-23 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-08-16,高炉开工率(%),78.84,,,,41,2024-08-16 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-08-09,高炉开工率(%),80.21,,,,42,2024-08-09 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-08-02,高炉开工率(%),81.28,,,,43,2024-08-02 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-07-26,高炉开工率(%),82.33,,,,44,2024-07-26 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-07-19,高炉开工率(%),82.63,,,,45,2024-07-19 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-07-12,高炉开工率(%),82.50,,,,46,2024-07-12 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-07-05,高炉开工率(%),82.81,,,,47,2024-07-05 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-06-28,高炉开工率(%),83.11,,,,48,2024-06-28 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-06-21,高炉开工率(%),82.81,,,,49,2024-06-21 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-06-14,高炉开工率(%),82.05,,,,50,2024-06-14 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-06-07,高炉开工率(%),81.50,,,,51,2024-06-07 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-05-31,高炉开工率(%),81.65,,,,52,2024-05-31 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-05-24,高炉开工率(%),81.50,,,,53,2024-05-24 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-05-17,高炉开工率(%),81.50,,,,54,2024-05-17 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-05-10,高炉开工率(%),81.50,,,,55,2024-05-10 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-04-26,高炉开工率(%),79.73,,,,56,2024-04-26 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-04-19,高炉开工率(%),78.86,,,,57,2024-04-19 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-04-12,高炉开工率(%),78.41,,,,58,2024-04-12 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-03-29,高炉开工率(%),76.60,,,,59,2024-03-29 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-03-22,高炉开工率(%),76.90,,,,60,2024-03-22 00:00:00,1,0,2025-06-06 23:19:16,0,2025-06-06 23:19:16,,,
2024-03-15,高炉开工率(%),76.15,,,,61,2024-03-15 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-03-08,高炉开工率(%),75.60,,,,62,2024-03-08 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-03-01,高炉开工率(%),75.19,,,,63,2024-03-01 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-02-23,高炉开工率(%),75.63,,,,64,2024-02-23 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-02-09,高炉开工率(%),76.76,,,,65,2024-02-09 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-02-02,高炉开工率(%),76.52,,,,66,2024-02-02 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-01-26,高炉开工率(%),76.82,,,,67,2024-01-26 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-01-19,高炉开工率(%),76.23,,,,68,2024-01-19 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2024-01-12,高炉开工率(%),76.08,,,,69,2024-01-12 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2023-12-29,高炉开工率(%),75.19,,,,70,2023-12-29 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
2023-12-22,高炉开工率(%),77.71,,,,71,2023-12-22 00:00:00,1,0,2025-06-06 23:19:20,0,2025-06-06 23:19:20,,,
