时间,哈密6000K,哈密5500K,昌吉5000K,玉门5500K,玉门5000K,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-11-06,380.00,302.00,166.00,491.00,402.00,1,2024-11-06 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-11-05,380.00,302.00,166.00,491.00,402.00,2,2024-11-05 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-11-04,380.00,302.00,166.00,491.00,402.00,3,2024-11-04 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-11-01,380.00,302.00,166.00,491.00,402.00,4,2024-11-01 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-31,380.00,302.00,166.00,491.00,402.00,5,2024-10-31 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-30,380.00,302.00,166.00,491.00,402.00,6,2024-10-30 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-29,380.00,302.00,169.00,491.00,402.00,7,2024-10-29 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-28,380.00,302.00,169.00,491.00,402.00,8,2024-10-28 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-25,380.00,302.00,169.00,491.00,402.00,9,2024-10-25 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-24,380.00,302.00,169.00,491.00,402.00,10,2024-10-24 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-23,380.00,302.00,169.00,491.00,402.00,11,2024-10-23 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-22,380.00,302.00,169.00,491.00,402.00,12,2024-10-22 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-21,380.00,302.00,169.00,491.00,402.00,13,2024-10-21 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-18,380.00,302.00,169.00,491.00,402.00,14,2024-10-18 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-17,380.00,302.00,169.00,491.00,402.00,15,2024-10-17 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-16,380.00,302.00,169.00,491.00,402.00,16,2024-10-16 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-15,380.00,302.00,169.00,491.00,402.00,17,2024-10-15 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-14,380.00,302.00,169.00,491.00,402.00,18,2024-10-14 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-12,380.00,302.00,169.00,491.00,402.00,19,2024-10-12 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-11,380.00,302.00,168.00,491.00,402.00,20,2024-10-11 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-10,380.00,302.00,168.00,491.00,402.00,21,2024-10-10 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-09,380.00,302.00,168.00,491.00,402.00,22,2024-10-09 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-10-08,380.00,302.00,168.00,490.00,400.00,23,2024-10-08 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-30,378.00,300.00,167.00,490.00,400.00,24,2024-09-30 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-29,378.00,300.00,167.00,490.00,400.00,25,2024-09-29 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-27,376.00,299.00,167.00,490.00,400.00,26,2024-09-27 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-26,375.00,298.00,167.00,490.00,400.00,27,2024-09-26 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-25,374.00,298.00,167.00,490.00,400.00,28,2024-09-25 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-24,372.00,298.00,167.00,490.00,400.00,29,2024-09-24 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-23,370.00,298.00,167.00,490.00,400.00,30,2024-09-23 00:00:00,1,0,2024-11-07 01:30:51,0,2024-11-07 01:30:51,,,
2024-09-20,370.00,298.00,167.00,490.00,400.00,31,2024-09-20 00:00:00,1,0,2024-11-07 01:30:55,0,2024-11-07 01:30:55,,,
2024-09-19,370.00,298.00,170.00,490.00,400.00,32,2024-09-19 00:00:00,1,0,2024-11-07 01:30:55,0,2024-11-07 01:30:55,,,
2024-09-18,370.00,300.00,170.00,490.00,400.00,33,2024-09-18 00:00:00,1,0,2024-11-07 01:30:55,0,2024-11-07 01:30:55,,,
2024-09-14,370.00,300.00,170.00,490.00,400.00,34,2024-09-14 00:00:00,1,0,2024-11-07 01:30:55,0,2024-11-07 01:30:55,,,
2024-09-13,370.00,300.00,170.00,490.00,400.00,35,2024-09-13 00:00:00,1,0,2024-11-07 01:30:55,0,2024-11-07 01:30:55,,,
2024-11-07,380.00,302.00,166.00,491.00,402.00,36,2024-11-07 00:00:00,1,0,2024-11-07 23:14:23,0,2024-11-07 23:14:23,,,
2024-11-08,380.00,302.00,166.00,491.00,402.00,37,2024-11-08 00:00:00,1,0,2024-11-08 23:14:45,0,2024-11-08 23:14:45,,,
2024-11-11,380.00,302.00,166.00,491.00,402.00,38,2024-11-11 00:00:00,1,0,2024-11-11 23:15:12,0,2024-11-11 23:15:12,,,
2024-11-12,380.00,302.00,163.00,491.00,400.00,39,2024-11-12 00:00:00,1,0,2024-11-12 23:15:58,0,2024-11-12 23:15:58,,,
2024-11-13,380.00,302.00,162.00,491.00,400.00,40,2024-11-13 00:00:00,1,0,2024-11-13 23:14:29,0,2024-11-13 23:14:29,,,
2024-11-14,380.00,302.00,162.00,490.00,400.00,41,2024-11-14 00:00:00,1,0,2024-11-14 23:14:17,0,2024-11-14 23:14:17,,,
2024-11-15,380.00,302.00,162.00,490.00,400.00,42,2024-11-15 00:00:00,1,0,2024-11-15 23:14:42,0,2024-11-15 23:14:42,,,
2024-11-18,380.00,302.00,162.00,490.00,400.00,43,2024-11-18 00:00:00,1,0,2024-11-18 23:14:20,0,2024-11-18 23:14:20,,,
2024-11-19,380.00,302.00,162.00,490.00,400.00,44,2024-11-19 00:00:00,1,0,2024-11-19 23:14:18,0,2024-11-19 23:14:18,,,
2024-11-20,380.00,302.00,162.00,490.00,400.00,45,2024-11-20 00:00:00,1,0,2024-11-20 23:14:24,0,2024-11-20 23:14:24,,,
2024-11-21,380.00,302.00,162.00,490.00,400.00,46,2024-11-21 00:00:00,1,0,2024-11-21 23:14:34,0,2024-11-21 23:14:34,,,
2024-11-22,380.00,302.00,162.00,490.00,400.00,47,2024-11-22 00:00:00,1,0,2024-11-22 23:14:57,0,2024-11-22 23:14:57,,,
2024-11-25,380.00,302.00,162.00,487.00,397.00,48,2024-11-25 00:00:00,1,0,2024-11-25 23:14:26,0,2024-11-25 23:14:26,,,
2024-11-26,380.00,302.00,162.00,487.00,397.00,49,2024-11-26 00:00:00,1,0,2024-11-26 23:14:34,0,2024-11-26 23:14:34,,,
2024-11-27,380.00,302.00,162.00,487.00,397.00,50,2024-11-27 00:00:00,1,0,2024-11-27 23:14:25,0,2024-11-27 23:14:25,,,
2024-11-28,380.00,302.00,162.00,487.00,397.00,51,2024-11-28 00:00:00,1,0,2024-11-28 23:14:44,0,2024-11-28 23:14:44,,,
2024-11-29,380.00,302.00,162.00,487.00,397.00,52,2024-11-29 00:00:00,1,0,2024-11-29 23:14:55,0,2024-11-29 23:14:55,,,
2024-12-02,380.00,299.00,160.00,485.00,395.00,53,2024-12-02 00:00:00,1,0,2024-12-02 23:15:23,0,2024-12-02 23:15:23,,,
2024-12-04,380.00,299.00,160.00,485.00,395.00,54,2024-12-04 00:00:00,1,0,2024-12-04 23:14:35,0,2024-12-04 23:14:35,,,
2024-12-03,380.00,299.00,160.00,485.00,395.00,55,2024-12-03 00:00:00,1,0,2024-12-04 23:14:35,0,2024-12-04 23:14:35,,,
2024-12-05,380.00,299.00,160.00,485.00,395.00,56,2024-12-05 00:00:00,1,0,2024-12-05 23:15:22,0,2024-12-05 23:15:22,,,
2024-12-06,380.00,299.00,160.00,480.00,395.00,57,2024-12-06 00:00:00,1,0,2024-12-06 23:15:13,0,2024-12-06 23:15:13,,,
2024-12-09,380.00,299.00,160.00,480.00,395.00,58,2024-12-09 00:00:00,1,0,2024-12-09 23:15:34,0,2024-12-09 23:15:34,,,
2024-12-10,380.00,299.00,160.00,480.00,395.00,59,2024-12-10 00:00:00,1,0,2024-12-10 23:14:05,0,2024-12-10 23:14:05,,,
2024-12-11,380.00,299.00,160.00,480.00,395.00,60,2024-12-11 00:00:00,1,0,2024-12-11 23:14:42,0,2024-12-11 23:14:42,,,
2024-12-12,380.00,299.00,160.00,480.00,395.00,61,2024-12-12 00:00:00,1,0,2024-12-12 23:14:30,0,2024-12-12 23:14:30,,,
2024-12-13,380.00,299.00,160.00,480.00,395.00,62,2024-12-13 00:00:00,1,0,2024-12-13 23:14:45,0,2024-12-13 23:14:45,,,
2024-12-16,380.00,299.00,160.00,480.00,395.00,63,2024-12-16 00:00:00,1,0,2024-12-16 23:15:41,0,2024-12-16 23:15:41,,,
2024-12-17,380.00,299.00,160.00,480.00,395.00,64,2024-12-17 00:00:00,1,0,2024-12-17 23:14:25,0,2024-12-17 23:14:25,,,
2024-12-18,380.00,299.00,160.00,480.00,395.00,65,2024-12-18 00:00:00,1,0,2024-12-18 23:15:23,0,2024-12-18 23:15:23,,,
2024-12-19,380.00,299.00,160.00,480.00,395.00,66,2024-12-19 00:00:00,1,0,2024-12-19 23:14:25,0,2024-12-19 23:14:25,,,
2024-12-20,380.00,299.00,160.00,480.00,395.00,67,2024-12-20 00:00:00,1,0,2024-12-20 23:15:12,0,2024-12-20 23:15:12,,,
2024-12-23,380.00,299.00,160.00,480.00,395.00,68,2024-12-23 00:00:00,1,0,2024-12-23 23:14:18,0,2024-12-23 23:14:18,,,
2024-12-24,380.00,299.00,160.00,480.00,395.00,69,2024-12-24 00:00:00,1,0,2024-12-24 23:15:07,0,2024-12-24 23:15:07,,,
2024-12-25,380.00,299.00,160.00,480.00,395.00,70,2024-12-25 00:00:00,1,0,2024-12-25 23:14:30,0,2024-12-25 23:14:30,,,
2024-12-26,380.00,299.00,160.00,480.00,395.00,71,2024-12-26 00:00:00,1,0,2024-12-26 23:14:24,0,2024-12-26 23:14:24,,,
2024-12-27,380.00,299.00,160.00,480.00,395.00,72,2024-12-27 00:00:00,1,0,2024-12-28 23:01:56,0,2024-12-28 23:01:56,,,
2024-12-30,380.00,299.00,160.00,480.00,395.00,73,2024-12-30 00:00:00,1,0,2024-12-30 23:15:46,0,2024-12-30 23:15:46,,,
2024-12-31,380.00,299.00,158.00,480.00,395.00,74,2024-12-31 00:00:00,1,0,2024-12-31 23:14:32,0,2024-12-31 23:14:32,,,
2025-01-02,380.00,299.00,158.00,480.00,395.00,75,2025-01-02 00:00:00,1,0,2025-01-02 23:14:25,0,2025-01-02 23:14:25,,,
2025-01-03,380.00,299.00,158.00,480.00,395.00,76,2025-01-03 00:00:00,1,0,2025-01-03 23:14:56,0,2025-01-03 23:14:56,,,
2025-01-06,380.00,298.00,155.00,478.00,391.00,77,2025-01-06 00:00:00,1,0,2025-01-06 23:14:39,0,2025-01-06 23:14:39,,,
2025-01-07,380.00,296.00,155.00,478.00,389.00,78,2025-01-07 00:00:00,1,0,2025-01-07 23:14:22,0,2025-01-07 23:14:22,,,
2025-01-08,380.00,296.00,155.00,478.00,389.00,79,2025-01-08 00:00:00,1,0,2025-01-08 23:14:15,0,2025-01-08 23:14:15,,,
2025-01-09,380.00,296.00,155.00,478.00,389.00,80,2025-01-09 00:00:00,1,0,2025-01-09 23:14:40,0,2025-01-09 23:14:40,,,
2025-01-10,380.00,296.00,155.00,478.00,385.00,81,2025-01-10 00:00:00,1,0,2025-01-10 23:14:42,0,2025-01-10 23:14:42,,,
2025-01-13,380.00,296.00,155.00,478.00,385.00,82,2025-01-13 00:00:00,1,0,2025-01-13 23:14:29,0,2025-01-13 23:14:29,,,
2025-01-14,380.00,296.00,155.00,478.00,385.00,83,2025-01-14 00:00:00,1,0,2025-01-14 23:15:14,0,2025-01-14 23:15:14,,,
2025-01-15,380.00,296.00,155.00,478.00,385.00,84,2025-01-15 00:00:00,1,0,2025-01-15 23:15:38,0,2025-01-15 23:15:38,,,
2025-01-16,380.00,296.00,155.00,478.00,385.00,85,2025-01-16 00:00:00,1,0,2025-01-16 23:14:03,0,2025-01-16 23:14:03,,,
2025-01-17,380.00,296.00,155.00,478.00,385.00,86,2025-01-17 00:00:00,1,0,2025-01-17 23:14:40,0,2025-01-17 23:14:40,,,
2025-01-20,380.00,296.00,155.00,478.00,385.00,87,2025-01-20 00:00:00,1,0,2025-01-20 23:15:09,0,2025-01-20 23:15:09,,,
2025-01-21,380.00,296.00,155.00,478.00,385.00,88,2025-01-21 00:00:00,1,0,2025-01-21 23:14:03,0,2025-01-21 23:14:03,,,
2025-01-22,380.00,296.00,155.00,478.00,385.00,89,2025-01-22 00:00:00,1,0,2025-01-22 23:14:22,0,2025-01-22 23:14:22,,,
2025-01-23,380.00,296.00,155.00,478.00,385.00,90,2025-01-23 00:00:00,1,0,2025-01-23 23:14:16,0,2025-01-23 23:14:16,,,
2025-01-24,380.00,296.00,155.00,478.00,385.00,91,2025-01-24 00:00:00,1,0,2025-01-24 23:14:40,0,2025-01-24 23:14:40,,,
2025-01-26,380.00,296.00,155.00,478.00,385.00,92,2025-01-26 00:00:00,1,0,2025-01-26 23:14:16,0,2025-01-26 23:14:16,,,
2025-01-27,380.00,296.00,155.00,478.00,385.00,93,2025-01-27 00:00:00,1,0,2025-02-04 23:15:20,0,2025-02-04 23:15:20,,,
2025-02-05,380.00,296.00,155.00,478.00,385.00,94,2025-02-05 00:00:00,1,0,2025-02-05 23:14:21,0,2025-02-05 23:14:21,,,
2025-02-06,380.00,296.00,155.00,478.00,385.00,95,2025-02-06 00:00:00,1,0,2025-02-06 23:14:11,0,2025-02-06 23:14:11,,,
2025-02-07,380.00,296.00,155.00,478.00,385.00,96,2025-02-07 00:00:00,1,0,2025-02-07 23:14:30,0,2025-02-07 23:14:30,,,
2025-02-08,380.00,296.00,155.00,478.00,385.00,97,2025-02-08 00:00:00,1,0,2025-02-08 23:14:14,0,2025-02-08 23:14:14,,,
2025-02-10,380.00,296.00,152.00,476.00,382.00,98,2025-02-10 00:00:00,1,0,2025-02-10 23:14:59,0,2025-02-10 23:14:59,,,
2025-02-11,380.00,296.00,152.00,476.00,382.00,99,2025-02-11 00:00:00,1,0,2025-02-11 23:14:14,0,2025-02-11 23:14:14,,,
2025-02-12,380.00,296.00,152.00,474.00,379.00,100,2025-02-12 00:00:00,1,0,2025-02-12 23:14:24,0,2025-02-12 23:14:24,,,
2025-02-13,380.00,296.00,152.00,474.00,379.00,101,2025-02-13 00:00:00,1,0,2025-02-13 23:14:13,0,2025-02-13 23:14:13,,,
2025-02-14,380.00,293.00,150.00,470.00,376.00,102,2025-02-14 00:00:00,1,0,2025-02-14 23:15:00,0,2025-02-14 23:15:00,,,
2025-02-17,380.00,291.00,150.00,468.00,373.00,103,2025-02-17 00:00:00,1,0,2025-02-17 23:14:14,0,2025-02-17 23:14:14,,,
2025-02-18,380.00,291.00,150.00,468.00,373.00,104,2025-02-18 00:00:00,1,0,2025-02-18 23:14:11,0,2025-02-18 23:14:11,,,
2025-02-19,380.00,291.00,150.00,468.00,373.00,105,2025-02-19 00:00:00,1,0,2025-02-19 23:15:41,0,2025-02-19 23:15:41,,,
2025-02-20,380.00,291.00,150.00,468.00,373.00,106,2025-02-20 00:00:00,1,0,2025-02-20 23:14:44,0,2025-02-20 23:14:44,,,
2025-02-21,380.00,291.00,150.00,468.00,373.00,107,2025-02-21 00:00:00,1,0,2025-02-21 23:14:39,0,2025-02-21 23:14:39,,,
2025-02-24,380.00,286.00,147.00,465.00,370.00,108,2025-02-24 00:00:00,1,0,2025-02-24 23:15:12,0,2025-02-24 23:15:12,,,
2025-02-25,380.00,286.00,147.00,465.00,370.00,109,2025-02-25 00:00:00,1,0,2025-02-25 23:14:24,0,2025-02-25 23:14:24,,,
2025-02-26,380.00,286.00,147.00,465.00,370.00,110,2025-02-26 00:00:00,1,0,2025-02-26 23:14:12,0,2025-02-26 23:14:12,,,
2025-02-27,380.00,286.00,147.00,465.00,370.00,111,2025-02-27 00:00:00,1,0,2025-02-27 23:13:59,0,2025-02-27 23:13:59,,,
2025-02-28,380.00,286.00,147.00,465.00,370.00,112,2025-02-28 00:00:00,1,0,2025-02-28 23:14:47,0,2025-02-28 23:14:47,,,
2025-03-03,380.00,286.00,145.00,460.00,365.00,113,2025-03-03 00:00:00,1,0,2025-03-03 23:15:12,0,2025-03-03 23:15:12,,,
2025-03-04,380.00,286.00,145.00,460.00,365.00,114,2025-03-04 00:00:00,1,0,2025-03-04 23:14:21,0,2025-03-04 23:14:21,,,
2025-03-05,380.00,286.00,145.00,460.00,365.00,115,2025-03-05 00:00:00,1,0,2025-03-05 23:14:26,0,2025-03-05 23:14:26,,,
2025-03-06,380.00,286.00,145.00,460.00,365.00,116,2025-03-06 00:00:00,1,0,2025-03-06 23:14:22,0,2025-03-06 23:14:22,,,
