时间,气精煤,环比增加,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-22,1220.00,-58.00,41,2024-05-22 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-05-15,1278.00,-65.00,42,2024-05-15 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-05-08,1343.00,10.00,43,2024-05-08 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-04-30,1333.00,53.00,44,2024-04-30 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-04-24,1280.00,90.00,45,2024-04-24 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-04-17,1190.00,58.00,46,2024-04-17 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-04-10,1132.00,-26.00,47,2024-04-10 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-04-03,1158.00,-14.00,48,2024-04-03 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-03-27,1172.00,9.00,49,2024-03-27 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-03-20,1163.00,-88.00,50,2024-03-20 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-03-13,1251.00,-109.00,51,2024-03-13 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-03-06,1360.00,11.00,52,2024-03-06 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-02-28,1349.00,-51.00,53,2024-02-28 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-02-21,1400.00,-17.00,54,2024-02-21 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-02-07,1417.00,0.00,55,2024-02-07 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-01-31,1417.00,6.00,56,2024-01-31 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-01-24,1411.00,12.00,57,2024-01-24 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-01-17,1399.00,-21.00,58,2024-01-17 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-01-10,1420.00,-23.00,59,2024-01-10 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2024-01-03,1443.00,-83.00,60,2024-01-03 00:00:00,1,0,2025-03-07 23:20:10,0,2025-03-07 23:20:10,,,
2023-12-27,1526.00,-11.00,61,2023-12-27 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-12-20,1537.00,-6.00,62,2023-12-20 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-12-13,1543.00,0.00,63,2023-12-13 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-12-06,1543.00,7.00,64,2023-12-06 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-11-29,1536.00,17.00,65,2023-11-29 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-11-22,1519.00,77.00,66,2023-11-22 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-11-15,1442.00,145.00,67,2023-11-15 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-11-08,1297.00,13.00,68,2023-11-08 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-11-01,1284.00,-136.00,69,2023-11-01 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-10-25,1420.00,-47.00,70,2023-10-25 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-10-18,1467.00,-5.00,71,2023-10-18 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-10-11,1472.00,17.00,72,2023-10-11 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-09-27,1455.00,4.00,73,2023-09-27 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-09-20,1451.00,110.00,74,2023-09-20 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-09-13,1341.00,98.00,75,2023-09-13 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-09-06,1243.00,14.00,76,2023-09-06 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-08-30,1229.00,2.00,77,2023-08-30 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-08-23,1227.00,6.00,78,2023-08-23 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-08-16,1221.00,-100.00,79,2023-08-16 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-08-09,1321.00,-33.00,80,2023-08-09 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-08-02,1354.00,-67.00,81,2023-08-02 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-07-26,1421.00,93.00,82,2023-07-26 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-07-19,1328.00,92.00,83,2023-07-19 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-07-12,1236.00,24.00,84,2023-07-12 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-07-05,1212.00,3.00,85,2023-07-05 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-06-28,1209.00,-10.00,86,2023-06-28 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-06-21,1219.00,85.00,87,2023-06-21 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-06-14,1134.00,20.00,88,2023-06-14 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-06-07,1114.00,-118.00,89,2023-06-07 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-05-31,1232.00,-4.00,90,2023-05-31 00:00:00,1,0,2025-03-07 23:20:14,0,2025-03-07 23:20:14,,,
2023-05-24,1236.00,25.00,91,2023-05-24 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-05-17,1211.00,-10.00,92,2023-05-17 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-05-10,1221.00,-70.00,93,2023-05-10 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
