时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-30,理查兹港,动力煤,,5500(NAR),98.55,0.90,FOB,31,2024-05-30 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-29,理查兹港,动力煤,,5500(NAR),97.65,1.85,FOB,32,2024-05-29 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-28,理查兹港,动力煤,,5500(NAR),95.80,-0.45,FOB,33,2024-05-28 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-27,理查兹港,动力煤,,5500(NAR),96.25,0.00,FOB,34,2024-05-27 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-24,理查兹港,动力煤,,5500(NAR),96.25,4.25,FOB,35,2024-05-24 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-23,理查兹港,动力煤,,5500(NAR),92.00,-4.25,FOB,36,2024-05-23 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-22,理查兹港,动力煤,,5500(NAR),96.25,0.45,FOB,37,2024-05-22 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-21,理查兹港,动力煤,,5500(NAR),95.80,1.85,FOB,38,2024-05-21 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-20,理查兹港,动力煤,,5500(NAR),93.95,1.00,FOB,39,2024-05-20 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-17,理查兹港,动力煤,,5500(NAR),92.95,1.05,FOB,40,2024-05-17 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-16,理查兹港,动力煤,,5500(NAR),91.90,0.90,FOB,41,2024-05-16 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-15,理查兹港,动力煤,,5500(NAR),91.00,1.50,FOB,42,2024-05-15 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-14,理查兹港,动力煤,,5500(NAR),89.50,-0.45,FOB,43,2024-05-14 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-13,理查兹港,动力煤,,5500(NAR),89.95,-0.55,FOB,44,2024-05-13 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-10,理查兹港,动力煤,,5500(NAR),90.50,0.45,FOB,45,2024-05-10 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-09,理查兹港,动力煤,,5500(NAR),90.05,-2.10,FOB,46,2024-05-09 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-08,理查兹港,动力煤,,5500(NAR),92.15,0.00,FOB,47,2024-05-08 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-07,理查兹港,动力煤,,5500(NAR),92.15,1.15,FOB,48,2024-05-07 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-06,理查兹港,动力煤,,5500(NAR),91.00,0.00,FOB,49,2024-05-06 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-03,理查兹港,动力煤,,5500(NAR),91.00,0.95,FOB,50,2024-05-03 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-02,理查兹港,动力煤,,5500(NAR),90.05,2.75,FOB,51,2024-05-02 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-05-01,理查兹港,动力煤,,5500(NAR),87.30,0.20,FOB,52,2024-05-01 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-30,理查兹港,动力煤,,5500(NAR),87.10,4.70,FOB,53,2024-04-30 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-29,理查兹港,动力煤,,5500(NAR),82.40,-4.70,FOB,54,2024-04-29 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-26,理查兹港,动力煤,,5500(NAR),87.10,0.00,FOB,55,2024-04-26 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-25,理查兹港,动力煤,,5500(NAR),87.10,-4.15,FOB,56,2024-04-25 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-24,理查兹港,动力煤,,5500(NAR),91.25,3.25,FOB,57,2024-04-24 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-23,理查兹港,动力煤,,5500(NAR),88.00,-1.00,FOB,58,2024-04-23 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-22,理查兹港,动力煤,,5500(NAR),89.00,-2.65,FOB,59,2024-04-22 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-19,理查兹港,动力煤,,5500(NAR),91.65,0.00,FOB,60,2024-04-19 00:00:00,1,0,2024-07-17 13:19:55,0,2024-07-17 13:19:55,,,
2024-04-18,理查兹港,动力煤,,5500(NAR),91.65,-3.75,FOB,61,2024-04-18 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-17,理查兹港,动力煤,,5500(NAR),95.40,0.05,FOB,62,2024-04-17 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-16,理查兹港,动力煤,,5500(NAR),95.35,6.35,FOB,63,2024-04-16 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-15,理查兹港,动力煤,,5500(NAR),89.00,-1.00,FOB,64,2024-04-15 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-12,理查兹港,动力煤,,5500(NAR),90.00,0.15,FOB,65,2024-04-12 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-11,理查兹港,动力煤,,5500(NAR),89.85,0.00,FOB,66,2024-04-11 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-10,理查兹港,动力煤,,5500(NAR),89.85,0.95,FOB,67,2024-04-10 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-09,理查兹港,动力煤,,5500(NAR),88.90,2.90,FOB,68,2024-04-09 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-08,理查兹港,动力煤,,5500(NAR),86.00,-1.95,FOB,69,2024-04-08 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-05,理查兹港,动力煤,,5500(NAR),87.95,0.20,FOB,70,2024-04-05 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
