时间,航线,船型(吨),当期值,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-08-22,江阴—铜陵(元/吨),10000-15000,9.93,0.17,33,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,南京—合肥(元/吨),单机1000-1500,27.24,0.03,34,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,镇江—蚌埠(元/吨),单机1000-2000,29.78,0.20,35,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-22,镇江—宿迁(元/吨)  ,拖队10000,13.47,0.00,36,2025-08-22 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,综合指数(点),,838.33,2.85,37,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—武汉(元/吨),10000-15000,11.80,0.31,38,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—荆州(元/吨),5000-6000,21.37,0.06,39,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—九江(元/吨),10000-12000,9.97,-0.12,40,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—城陵矶(元/吨),10000-15000,15.06,0.28,41,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,江阴—铜陵(元/吨),10000-15000,9.76,-0.06,42,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,南京—合肥(元/吨),单机1000-1500,27.21,-0.04,43,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,镇江—蚌埠(元/吨),单机1000-2000,29.58,0.03,44,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-21,镇江—宿迁(元/吨)  ,拖队10000,13.47,0.01,45,2025-08-21 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,综合指数(点),,835.48,-9.17,46,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,江阴—武汉(元/吨),10000-15000,11.49,-0.50,47,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,江阴—荆州(元/吨),5000-6000,21.31,-0.03,48,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,江阴—九江(元/吨),10000-12000,10.09,0.02,49,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,江阴—城陵矶(元/吨),10000-15000,14.78,-0.47,50,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,江阴—铜陵(元/吨),10000-15000,9.82,-0.06,51,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,南京—合肥(元/吨),单机1000-1500,27.25,-0.07,52,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,镇江—蚌埠(元/吨),单机1000-2000,29.55,0.13,53,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-20,镇江—宿迁(元/吨)  ,拖队10000,13.46,0.12,54,2025-08-20 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,综合指数(点),,844.65,0.72,55,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,江阴—武汉(元/吨),10000-15000,11.99,0.23,56,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,江阴—荆州(元/吨),5000-6000,21.34,-0.55,57,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,江阴—九江(元/吨),10000-12000,10.07,-0.05,58,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,江阴—城陵矶(元/吨),10000-15000,15.25,0.24,59,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,江阴—铜陵(元/吨),10000-15000,9.88,0.04,60,2025-08-19 00:00:00,1,0,2025-08-27 23:15:00,0,2025-08-27 23:15:00,,,
2025-08-19,南京—合肥(元/吨),单机1000-1500,27.32,0.38,61,2025-08-19 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-19,镇江—蚌埠(元/吨),单机1000-2000,29.42,-0.15,62,2025-08-19 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-19,镇江—宿迁(元/吨)  ,拖队10000,13.34,-0.13,63,2025-08-19 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,综合指数(点),,843.93,-4.81,64,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,江阴—武汉(元/吨),10000-15000,11.76,-0.02,65,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,江阴—荆州(元/吨),5000-6000,21.89,-0.09,66,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,江阴—九江(元/吨),10000-12000,10.12,-0.23,67,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,江阴—城陵矶(元/吨),10000-15000,15.01,-0.17,68,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,江阴—铜陵(元/吨),10000-15000,9.84,0.03,69,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,南京—合肥(元/吨),单机1000-1500,26.94,-0.17,70,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,镇江—蚌埠(元/吨),单机1000-2000,29.57,-0.02,71,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-18,镇江—宿迁(元/吨)  ,拖队10000,13.47,-0.18,72,2025-08-18 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,综合指数(点),,848.74,0.53,73,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,江阴—武汉(元/吨),10000-15000,11.78,-0.10,74,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,江阴—荆州(元/吨),5000-6000,21.98,0.00,75,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,江阴—九江(元/吨),10000-12000,10.35,0.09,76,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,江阴—城陵矶(元/吨),10000-15000,15.18,0.11,77,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,江阴—铜陵(元/吨),10000-15000,9.81,-0.04,78,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,南京—合肥(元/吨),单机1000-1500,27.11,0.18,79,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,镇江—蚌埠(元/吨),单机1000-2000,29.59,-0.01,80,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-15,镇江—宿迁(元/吨)  ,拖队10000,13.65,0.06,81,2025-08-15 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,综合指数(点),,848.21,-4.12,82,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,江阴—武汉(元/吨),10000-15000,11.88,-0.05,83,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,江阴—荆州(元/吨),5000-6000,21.98,-0.35,84,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,江阴—九江(元/吨),10000-12000,10.26,-0.02,85,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,江阴—城陵矶(元/吨),10000-15000,15.07,-0.14,86,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,江阴—铜陵(元/吨),10000-15000,9.85,0.03,87,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,南京—合肥(元/吨),单机1000-1500,26.93,-0.21,88,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,镇江—蚌埠(元/吨),单机1000-2000,29.60,-0.06,89,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-14,镇江—宿迁(元/吨)  ,拖队10000,13.59,-0.05,90,2025-08-14 00:00:00,1,0,2025-08-27 23:15:03,0,2025-08-27 23:15:03,,,
2025-08-13,综合指数(点),,852.33,-2.26,91,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,江阴—武汉(元/吨),10000-15000,11.93,0.03,92,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,江阴—荆州(元/吨),5000-6000,22.33,-0.04,93,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,江阴—九江(元/吨),10000-12000,10.28,-0.04,94,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,江阴—城陵矶(元/吨),10000-15000,15.21,-0.15,95,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,江阴—铜陵(元/吨),10000-15000,9.82,-0.01,96,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,南京—合肥(元/吨),单机1000-1500,27.14,0.12,97,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,镇江—蚌埠(元/吨),单机1000-2000,29.66,0.04,98,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-13,镇江—宿迁(元/吨)  ,拖队10000,13.64,-0.22,99,2025-08-13 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,综合指数(点),,854.59,-4.52,100,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,江阴—武汉(元/吨),10000-15000,11.90,0.02,101,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,江阴—荆州(元/吨),5000-6000,22.37,-0.70,102,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,江阴—九江(元/吨),10000-12000,10.32,0.06,103,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,江阴—城陵矶(元/吨),10000-15000,15.36,-0.01,104,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,江阴—铜陵(元/吨),10000-15000,9.83,0.00,105,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,南京—合肥(元/吨),单机1000-1500,27.02,-0.21,106,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,镇江—蚌埠(元/吨),单机1000-2000,29.62,-0.12,107,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-12,镇江—宿迁(元/吨)  ,拖队10000,13.86,-0.02,108,2025-08-12 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,综合指数(点),,859.11,-7.55,109,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,江阴—武汉(元/吨),10000-15000,11.88,0.07,110,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,江阴—荆州(元/吨),5000-6000,23.07,-0.98,111,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,江阴—九江(元/吨),10000-12000,10.26,0.11,112,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,江阴—城陵矶(元/吨),10000-15000,15.37,-0.41,113,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,江阴—铜陵(元/吨),10000-15000,9.83,0.00,114,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,南京—合肥(元/吨),单机1000-1500,27.23,-0.01,115,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,镇江—蚌埠(元/吨),单机1000-2000,29.74,0.00,116,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-11,镇江—宿迁(元/吨)  ,拖队10000,13.88,0.15,117,2025-08-11 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-08,综合指数(点),,866.66,1.94,118,2025-08-08 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-08,江阴—武汉(元/吨),10000-15000,11.81,-0.12,119,2025-08-08 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-08,江阴—荆州(元/吨),5000-6000,24.05,0.26,120,2025-08-08 00:00:00,1,0,2025-08-27 23:15:06,0,2025-08-27 23:15:06,,,
2025-08-08,江阴—九江(元/吨),10000-12000,10.15,0.07,121,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-08,江阴—城陵矶(元/吨),10000-15000,15.78,-0.02,122,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-08,江阴—铜陵(元/吨),10000-15000,9.83,0.03,123,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-08,南京—合肥(元/吨),单机1000-1500,27.24,-0.03,124,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-08,镇江—蚌埠(元/吨),单机1000-2000,29.74,0.08,125,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-08,镇江—宿迁(元/吨)  ,拖队10000,13.73,0.00,126,2025-08-08 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,综合指数(点),,864.72,1.77,127,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,江阴—武汉(元/吨),10000-15000,11.93,-0.05,128,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,江阴—荆州(元/吨),5000-6000,23.79,0.09,129,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,江阴—九江(元/吨),10000-12000,10.08,-0.01,130,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,江阴—城陵矶(元/吨),10000-15000,15.80,0.14,131,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,江阴—铜陵(元/吨),10000-15000,9.80,0.03,132,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,南京—合肥(元/吨),单机1000-1500,27.27,-0.01,133,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,镇江—蚌埠(元/吨),单机1000-2000,29.66,0.05,134,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-07,镇江—宿迁(元/吨)  ,拖队10000,13.73,0.00,135,2025-08-07 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,综合指数(点),,862.95,3.62,136,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,江阴—武汉(元/吨),10000-15000,11.98,0.14,137,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,江阴—荆州(元/吨),5000-6000,23.70,-0.12,138,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,江阴—九江(元/吨),10000-12000,10.09,0.02,139,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,江阴—城陵矶(元/吨),10000-15000,15.66,0.07,140,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,江阴—铜陵(元/吨),10000-15000,9.77,0.12,141,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,南京—合肥(元/吨),单机1000-1500,27.28,0.03,142,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,镇江—蚌埠(元/吨),单机1000-2000,29.61,-0.06,143,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-06,镇江—宿迁(元/吨)  ,拖队10000,13.73,-0.03,144,2025-08-06 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,综合指数(点),,859.33,1.74,145,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,江阴—武汉(元/吨),10000-15000,11.84,0.02,146,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,江阴—荆州(元/吨),5000-6000,23.82,0.32,147,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
