时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-26,焦炭,收盘价,2277.00,3.08%,35,2024-06-26 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-26,焦炭,结算价,2235.00,1.41%,36,2024-06-26 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-25,焦炭,收盘价,2209.00,0.64%,37,2024-06-25 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-25,焦炭,结算价,2204.00,-0.09%,38,2024-06-25 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-24,焦炭,收盘价,2195.00,-0.9%,39,2024-06-24 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-24,焦炭,结算价,2206.00,-1.65%,40,2024-06-24 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-21,焦炭,收盘价,2215.00,-1.53%,41,2024-06-21 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-21,焦炭,结算价,2243.00,-0.75%,42,2024-06-21 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-20,焦炭,收盘价,2249.50,-1.75%,43,2024-06-20 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-20,焦炭,结算价,2260.00,-1.18%,44,2024-06-20 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-19,焦炭,收盘价,2289.50,0.84%,45,2024-06-19 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-19,焦炭,结算价,2287.00,-0.2%,46,2024-06-19 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-18,焦炭,收盘价,2270.50,-0.24%,47,2024-06-18 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-18,焦炭,结算价,2291.50,-0.04%,48,2024-06-18 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-17,焦炭,收盘价,2276.00,-2.36%,49,2024-06-17 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-17,焦炭,结算价,2292.50,-0.41%,50,2024-06-17 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-14,焦炭,收盘价,2331.00,3.%,51,2024-06-14 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-14,焦炭,结算价,2302.00,2.63%,52,2024-06-14 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-13,焦炭,收盘价,2263.00,1.21%,53,2024-06-13 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-13,焦炭,结算价,2243.00,0.61%,54,2024-06-13 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-12,焦炭,收盘价,2236.00,1.57%,55,2024-06-12 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-12,焦炭,结算价,2229.50,0.68%,56,2024-06-12 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-11,焦炭,收盘价,2201.50,-2.24%,57,2024-06-11 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-11,焦炭,结算价,2214.50,-2.27%,58,2024-06-11 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-07,焦炭,收盘价,2252.00,0.42%,59,2024-06-07 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-07,焦炭,结算价,2266.00,1.48%,60,2024-06-07 00:00:00,1,0,2024-07-20 12:04:31,0,2024-07-20 12:04:31,,,
2024-06-06,焦炭,收盘价,2242.50,0.25%,61,2024-06-06 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-06,焦炭,结算价,2233.00,-0.53%,62,2024-06-06 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-05,焦炭,收盘价,2237.00,-0.6%,63,2024-06-05 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-05,焦炭,结算价,2245.00,-0.62%,64,2024-06-05 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-04,焦炭,收盘价,2250.50,-0.82%,65,2024-06-04 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-04,焦炭,结算价,2259.00,-0.53%,66,2024-06-04 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-03,焦炭,收盘价,2269.00,-0.18%,67,2024-06-03 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-06-03,焦炭,结算价,2271.00,-1.62%,68,2024-06-03 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-31,焦炭,收盘价,2273.00,-2.63%,69,2024-05-31 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-31,焦炭,结算价,2308.50,-2.49%,70,2024-05-31 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-30,焦炭,收盘价,2334.50,-1.37%,71,2024-05-30 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-30,焦炭,结算价,2367.50,1.15%,72,2024-05-30 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-29,焦炭,收盘价,2367.00,2.18%,73,2024-05-29 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-29,焦炭,结算价,2340.50,-0.74%,74,2024-05-29 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-28,焦炭,收盘价,2316.50,-1.03%,75,2024-05-28 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
