时间,产地,热值,价格(元/吨),环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07-31,榆林,5800.00,530.00,5.00,1,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,鄂尔多斯,5500.00,470.00,10.00,2,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,鄂尔多斯,5000.00,405.00,10.00,3,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,鄂尔多斯,4500.00,335.00,5.00,4,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,大同,5000.00,455.00,5.00,5,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,朔州,5500.00,510.00,5.00,6,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,朔州,5000.00,445.00,5.00,7,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,朔州,4500.00,390.00,0.00,8,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,忻州,5000.00,435.00,5.00,9,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-31,榆林,6000.00,575.00,15.00,10,2025-07-31 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,大同,5000.00,450.00,0.00,11,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,忻州,5000.00,430.00,5.00,12,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,朔州,4500.00,390.00,0.00,13,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,朔州,5000.00,440.00,0.00,14,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,朔州,5500.00,505.00,0.00,15,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,鄂尔多斯,4500.00,330.00,0.00,16,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,鄂尔多斯,5000.00,395.00,5.00,17,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,鄂尔多斯,5500.00,460.00,5.00,18,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,榆林,5800.00,525.00,5.00,19,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-30,榆林,6000.00,560.00,5.00,20,2025-07-30 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,榆林,6000.00,555.00,20.00,21,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,榆林,5800.00,520.00,10.00,22,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,鄂尔多斯,5500.00,455.00,0.00,23,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,鄂尔多斯,5000.00,390.00,5.00,24,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,鄂尔多斯,4500.00,330.00,5.00,25,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,大同,5000.00,450.00,0.00,26,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,朔州,5500.00,505.00,0.00,27,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,朔州,5000.00,440.00,0.00,28,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,朔州,4500.00,390.00,0.00,29,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-29,忻州,5000.00,425.00,5.00,30,2025-07-29 00:00:00,1,0,2025-08-01 23:14:22,0,2025-08-01 23:14:22,,,
2025-07-28,榆林,6000.00,535.00,5.00,31,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,忻州,5000.00,420.00,0.00,32,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,朔州,4500.00,390.00,5.00,33,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,朔州,5000.00,440.00,0.00,34,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,朔州,5500.00,505.00,5.00,35,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,鄂尔多斯,4500.00,325.00,0.00,36,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,鄂尔多斯,5000.00,385.00,0.00,37,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,鄂尔多斯,5500.00,455.00,5.00,38,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,榆林,5800.00,510.00,5.00,39,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-28,大同,5000.00,450.00,5.00,40,2025-07-28 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,朔州,4500.00,385.00,0.00,41,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,忻州,5000.00,420.00,0.00,42,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,朔州,5000.00,440.00,0.00,43,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,朔州,5500.00,500.00,0.00,44,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,大同,5000.00,445.00,0.00,45,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,鄂尔多斯,4500.00,325.00,0.00,46,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
2025-07-25,鄂尔多斯,5000.00,385.00,0.00,47,2025-07-25 00:00:00,1,0,2025-08-01 23:14:24,0,2025-08-01 23:14:24,,,
