时间,数据项目,航线名称,载重,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-28,煤炭货种运价指数,,,950.44,950.49,-0.05,-0.01%,26,2024-06-28 00:00:00,1,0,2024-07-20 09:07:43,0,2024-07-20 09:07:43,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),887.89,888.51,-0.62,-0.07%,27,2024-06-28 00:00:00,1,0,2024-07-20 09:07:43,0,2024-07-20 09:07:43,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),703.10,703.16,-0.06,-0.01%,28,2024-06-28 00:00:00,1,0,2024-07-20 09:07:43,0,2024-07-20 09:07:43,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),977.42,976.90,0.52,0.05%,29,2024-06-28 00:00:00,1,0,2024-07-20 09:07:43,0,2024-07-20 09:07:43,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),938.23,936.62,1.61,0.17%,30,2024-06-28 00:00:00,1,0,2024-07-20 09:07:43,0,2024-07-20 09:07:43,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),984.96,985.28,-0.32,-0.03%,31,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-28,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),956.37,956.76,-0.39,-0.04%,32,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-28,煤炭运价分航线指数,天津-上海,(2-3万DWT),987.83,987.87,-0.04,0.%,33,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-28,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1180.58,1181.17,-0.59,-0.05%,34,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-28,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),661.94,661.95,-0.01,0.%,35,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-28,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),940.20,939.80,0.40,0.04%,36,2024-06-28 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,散货运价综合指数,,,967.56,969.19,-1.63,-0.17%,37,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭货种运价指数,,,950.49,949.19,1.30,0.14%,38,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),888.51,886.78,1.73,0.2%,39,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),703.16,702.51,0.65,0.09%,40,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),976.90,976.44,0.46,0.05%,41,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),936.62,936.08,0.54,0.06%,42,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),985.28,984.52,0.76,0.08%,43,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
