时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,宁夏区,109.20,-0.90,459.00,1.30,35,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,青海省,89.00,7.90,364.90,9.40,36,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,甘肃省,136.50,4.00,575.00,7.30,37,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,陕西省,185.90,2.30,836.20,6.20,38,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,西藏区,12.50,12.00,50.90,15.60,39,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,云南省,211.30,21.00,840.30,10.00,40,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,贵州省,141.30,8.00,633.20,10.30,41,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,四川省,291.70,2.00,1193.50,6.40,42,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,重庆市,111.00,5.10,462.80,5.80,43,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,海南省,46.80,20.10,160.40,16.10,44,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,广西区,201.90,6.70,799.90,8.60,45,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,广东省,731.90,14.90,2548.30,12.70,46,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,湖南省,161.50,-0.50,749.00,6.70,47,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,湖北省,207.20,4.90,881.00,8.30,48,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,河南省,302.80,4.00,1354.80,7.30,49,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,山东省,632.50,3.10,2636.90,5.10,50,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,江西省,160.20,9.30,656.20,9.00,51,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,福建省,258.70,10.10,966.80,11.30,52,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,安徽省,252.60,8.70,1095.80,13.60,53,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
