时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-01-28,现货4500,872.00,-31.00,-3.43,36,2022-01-28 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,长协5500,927.00,-31.00,-3.24,37,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,长协5000,818.00,-50.00,-5.76,38,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,长协4500,743.00,-45.00,-5.71,39,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,现货5500,1154.00,-30.00,-2.53,40,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,现货5000,1049.00,9.00,0.87,41,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-21,现货4500,903.00,-26.00,-2.80,42,2022-01-21 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,长协5500,958.00,21.00,2.24,43,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,长协5000,868.00,32.00,3.83,44,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,长协4500,788.00,12.00,1.55,45,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,现货5500,1184.00,-4.00,-0.34,46,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,现货5000,1040.00,-33.00,-3.08,47,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-14,现货4500,929.00,-35.00,-3.63,48,2022-01-14 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-07,长协5500,937.00,23.00,2.52,49,2022-01-07 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-07,长协5000,836.00,13.00,1.58,50,2022-01-07 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-07,长协4500,776.00,25.00,3.33,51,2022-01-07 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
2022-01-07,现货5500,1188.00,-25.00,-2.06,52,2022-01-07 00:00:00,1,0,2024-07-20 06:23:41,0,2024-07-20 06:23:41,,,
