时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-04,斯里兰卡,24.00,100.00,24.00,72.00,72.00,33,2023-04-30 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-04,泰国,12.10,100.00,12.10,4.80,4.80,34,2023-04-30 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-04,土耳其,13.10,-86.41,163.10,43.10,275.90,35,2023-04-30 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-04,约旦,13.00,100.00,13.00,45.50,45.50,36,2023-04-30 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-03,阿拉伯联合酋长国,16.50,-40.96,44.50,6.60,17.80,37,2023-03-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-03,孟加拉国,52.00,100.00,52.00,25.30,25.30,38,2023-03-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-03,土耳其,96.00,77.78,150.00,211.20,232.80,39,2023-03-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-03,越南,12.00,-73.91,58.00,4.80,23.20,40,2023-03-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,巴基斯坦,26.00,100.00,39.00,10.40,15.60,41,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,巴西,10.00,900.00,10.00,4.00,4.00,42,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,秘鲁,35.00,-41.67,35.00,27.30,27.30,43,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,土耳其,54.00,100.00,54.00,21.60,21.60,44,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,乌兹别克斯坦,26.00,-66.67,104.00,10.40,41.60,45,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,西班牙,24.00,5900.00,24.00,9.60,9.60,46,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-02,印度,16.00,185.71,16.00,6.40,6.40,47,2023-02-28 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,阿拉伯联合酋长国,28.00,288.89,28.00,11.20,11.20,48,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,澳大利亚,20.00,100.00,20.00,8.00,8.00,49,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,巴基斯坦,13.00,100.00,13.00,5.20,5.20,50,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,沙特阿拉伯,55.00,100.00,55.00,22.00,22.00,51,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,苏丹,40.00,100.00,40.00,41.60,41.60,52,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,土库曼斯坦,20.00,100.00,20.00,20.70,20.70,53,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,危地马拉,5.00,100.00,5.00,2.00,2.00,54,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,乌兹别克斯坦,78.00,100.00,78.00,31.20,31.20,55,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
2023-01,越南,46.00,100.00,46.00,18.40,18.40,56,2023-01-31 00:00:00,1,0,2024-07-20 15:01:46,0,2024-07-20 15:01:46,,,
