时间,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,107.10,106.28,0.82,0.77,1,2024-07-12 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-07-05,106.28,106.43,-0.15,-0.14,2,2024-07-05 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-06-28,106.43,112.88,-6.45,-5.71,3,2024-06-28 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-06-21,112.88,112.88,0.00,0.00,4,2024-06-21 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-06-14,112.88,112.88,0.00,0.00,5,2024-06-14 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-06-07,112.88,106.60,6.28,5.89,6,2024-06-07 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-05-31,106.60,106.45,0.15,0.14,7,2024-05-31 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-05-24,106.45,104.10,2.35,2.26,8,2024-05-24 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-05-17,104.10,102.88,1.22,1.19,9,2024-05-17 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-05-10,102.88,101.34,1.54,1.52,10,2024-05-10 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-05-03,101.34,103.13,-1.79,-1.74,11,2024-05-03 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-04-26,103.13,101.88,1.25,1.23,12,2024-04-26 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-04-19,101.88,101.88,0.00,0.00,13,2024-04-19 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-04-12,101.88,102.13,-0.25,-0.24,14,2024-04-12 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-04-05,102.13,102.50,-0.37,-0.36,15,2024-04-05 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-03-29,102.50,102.18,0.32,0.31,16,2024-03-29 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-03-22,102.18,97.38,4.80,4.93,17,2024-03-22 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-03-15,97.38,91.75,5.63,6.14,18,2024-03-15 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-03-08,91.75,91.75,0.00,0.00,19,2024-03-08 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-03-01,91.75,92.09,-0.34,-0.37,20,2024-03-01 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-02-23,92.09,93.30,-1.21,-1.30,21,2024-02-23 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-02-16,93.30,92.63,0.67,0.72,22,2024-02-16 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-02-09,92.63,91.88,0.75,0.82,23,2024-02-09 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-02-02,91.88,91.88,0.00,0.00,24,2024-02-02 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-01-26,91.88,96.20,-4.32,-4.49,25,2024-01-26 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-01-19,96.20,100.90,-4.70,-4.66,26,2024-01-19 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-01-12,100.90,114.00,-13.10,-11.49,27,2024-01-12 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2024-01-05,114.00,114.00,0.00,0.00,28,2024-01-05 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
2023-12-29,114.00,114.00,0.00,0.00,29,2023-12-29 00:00:00,1,0,2024-07-20 06:31:25,0,2024-07-20 06:31:25,,,
