时间,煤种,累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,洗精煤,31009.60,-3.40,1,2024-04-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2024-04,原煤,99581.80,-3.40,2,2024-04-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2024-03,原煤,74224.20,-4.40,3,2024-03-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2024-03,洗精煤,23141.70,-2.40,4,2024-03-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2024-02,原煤,48051.70,-4.70,5,2024-02-29 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2024-02,洗精煤,14200.40,-3.30,6,2024-02-29 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-11,洗精煤,90404.30,-0.10,7,2023-11-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-11,原煤,288962.60,4.50,8,2023-11-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-10,洗精煤,81652.80,-0.70,9,2023-10-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-10,原煤,261547.30,4.50,10,2023-10-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-09,洗精煤,73429.40,-1.00,11,2023-09-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-09,原煤,234462.60,4.10,12,2023-09-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-08,洗精煤,65084.10,-7.10,13,2023-08-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-08,原煤,207709.50,3.80,14,2023-08-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-07,洗精煤,55490.80,-1.70,15,2023-07-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-07,原煤,181348.00,4.60,16,2023-07-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-06,洗精煤,48477.10,-2.10,17,2023-06-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-06,原煤,155677.43,4.90,18,2023-06-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-05,原煤,129106.60,4.10,19,2023-05-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-05,洗精煤,39957.70,-0.80,20,2023-05-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-04,原煤,102720.50,3.60,21,2023-04-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-04,洗精煤,32190.10,-2.30,22,2023-04-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-03,原煤,77485.10,4.40,23,2023-03-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-03,洗精煤,23965.80,-9.70,24,2023-03-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-02,原煤,50163.90,3.70,25,2023-02-28 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2023-02,洗精煤,15272.60,0.60,26,2023-02-28 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2022-10,原煤,250126.80,6.50,27,2022-10-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2022-10,洗精煤,87995.50,4.20,28,2022-10-31 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2022-09,原煤,224705.00,8.10,29,2022-09-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2022-09,洗精煤,82040.50,5.50,30,2022-09-30 00:00:00,1,0,2024-07-20 13:12:45,0,2024-07-20 13:12:45,,,
2022-08,原煤,199999.70,8.10,31,2022-08-31 00:00:00,1,0,2024-07-20 13:12:47,0,2024-07-20 13:12:47,,,
2022-08,洗精煤,72937.10,5.40,32,2022-08-31 00:00:00,1,0,2024-07-20 13:12:47,0,2024-07-20 13:12:47,,,
